[LXX | EL | OT | Isaiah | Chapter 21 | Verse 1] Ὡς καταιγὶς διʼ ἐρήμου διέλθοι, ἐξ ἐρήμου ἐρχομένη ἐκ γῆς φοβερὸν
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 2] τὸ ὅραμα, καὶ σκληρὸν ἀνηγγέλη μοι· ὁ ἀθετῶν ἀθετεῖ, ὁ ἀνομῶν ἀνομεῖ· ἐπʼ ἐμοὶ οἱ Ἐλαμῖται, καὶ οἱ πρέσβεις τῶν Περσῶν ἐπʼ ἐμὲ ἔρχονται· νῦν στενάξω καὶ παρακαλέσω ἐμαυτόν.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 3] Διατοῦτο ἐνεπλήσθη ἡ ὀσφύς μου ἐκλύσεως, καὶ ὠδῖνες ἔλαβόν με ὡς τὴν τίκτουσαν· ἠδίκησα τοῦ μὴ ἀκοῦσαι, ἐσπούδασα τοῦ μὴ βλέπειν.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 4] Ἡ καρδία μου πλανᾶται, καὶ ἡ ἀνομία με βαπτίζει, ἡ ψυχή μου ἐφέστηκεν εἰς φόβον.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 5] Ἑτοίμασον τὴν τράπεζαν, φάγετε, πίετε· ἀναστάντες οἱ ἄρχοντες, ἑτοιμάσατε θυρεοὺς,
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 6] ὅτι οὕτως εἶπε πρὸς μὲ Κύριος, Βαδίσας σεαυτῷ στῆσον σκοπὸν, καὶ ὃ ἂν ἴδῃς ἀνάγγειλον.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 7] Καὶ εἶδον ἀναβάτας ἱππεῖς δύο, καὶ ἀναβάτη ὄνου, καὶ ἀναβάτην καμήλου· ἀκρόασαι ἀκρόασιν πολλήν,
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 8] καὶ κάλεσον Οὐρίαν εἰς τὴν σκοπιάν· Κύριος εἶπεν, ἔστην διαπαντὸς ἡμέρας, καὶ ἐπὶ τῆς παρεμβολῆς ἐγὼ ἔστην ὅλην τὴν νύκτα,
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 9] καὶ ἰδοὺ αὐτὸς ἔρχεται ἀναβάτης ξυνωρίδος· καὶ ἀποκριθεὶς εἶπε, πέπτωκε πέπτωκε Βαβυλὼν, καὶ πάντα τὰ ἀγάλματα αὐτῆς, καὶ τὰ χειροποίητα αὐτῆς συνετρίβησαν εἰς τὴν γῆν.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 10] Ἀκούσατε οἱ καταλελειμμένοι, καὶ οἱ ὀδυνώμενοι ἀκούσατε ἃ ἤκουσα παρὰ Κυρίου σαβαὼθ, ὁ Θεὸς τοῦ Ἰσραὴλ ἀνήγγειλεν ἡμῖν. ΤΟ ὍΡΑΜΑ ΤΗΣ ἸΔΟΥΜΑΙΑΣ.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 11] Πρὸς ἐμὲ κάλει παρὰ τοῦ Σηεὶρ, φυλάσσετε ἐπάλξεις.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 12] Φυλάσσω τοπρωῒ καὶ τὴν νύκτα· ἐὰν ζητῇς ζήτει, καὶ παρʼ ἐμοὶ οἴκει,
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 13] ἐν τῷ δρυμῷ ἑσπέρας κοιμηθῇς, ἢ ἐν τῇ ὁδῷ Δαιδάν.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 14] Εἰς συνάντησιν διψῶντι ὕδωρ φέρετε οἱ ἐνοικοῦντες ἐν χώρᾳ Θαιμὰν, ἄρτοις συναντᾶτε τοῖς φεύγουσι
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 15] διὰ τὸ πλῆθος τῶν πεφονευμένων, καὶ διὰ τὸ πλῆθος τῶν πλανωμένων, καὶ διὰ τὸ πλῆθος τῆς μαχαίρας, καὶ διὰ τὸ πλῆθος τῶν τοξευμάτων τῶν διατεταμένων, καὶ διὰ τὸ πλῆθος τῶν πεπτωκότων ἐν τῷ πολέμῳ.
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 16] Διότι οὕτως εἶπέ μοι Κύριος, ἔτι ἐνιαυτὸς ὡς ἐνιαυτὸς μισθωτοῦ, ἐκλείψει ἡ δόξα τῶν υἱῶν Κηδὰρ,
[LXX | EL | OT | Isaiah | Chapter 21 | Verse 17] καὶ τὸ κατάλοιπον τῶν τοξευμάτων τῶν ἰσχυρῶν υἱῶν Κηδὰρ ἔσται ὀλίγον, ὅτι Κύριος ὁ Θεὸς Ἰσραὴλ ἐλάλησε. ΤΟ ῬΗΜΑ ΤΗΣ ΦΑΡΑΓΓΟΣ ΣΙΩΝ.
