[LXX | EL | OT | Isaiah | Chapter 54 | Verse 1] Εὐφράνθητι στεῖρα ἡ οὐ τίκτουσα, ῥῆξον καὶ βόησον ἡ οὐκ ὠδίνουσα, ὅτι πολλὰ τὰ τέκνα τῆς ἐρήμου, μᾶλλον ἢ τῆς ἐχούσης τὸν ἄνδρα· εἶπε γὰρ Κύριος,
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 2] πλάτυνον τὸν τόπον τῆς σκηνῆς σου, καὶ τῶν αὐλαιῶν σου, πῆξον, μὴ φείσῃ, μάκρυνον τὰ σχοινίσματά σου, καὶ τοὺς πασσάλους σου κατίσχυσον,
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 3] ἔτι εἰς τὰ δεξιὰ καὶ τὰ ἀριστερὰ ἐκπέτασον· καὶ τὸ σπέρμα σου ἔθνη κληρονομήσει, καὶ πόλεις ἠρημωμένας κατοικιεῖς.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 4] Μὴ φοβοῦ, ὅτι κατῃσχύνθης, μηδὲ ἐντραπῇς, ὅτι ὠνειδίσθης, ὅτι αἰσχύνην αἰώνιον ἐπιλήσῃ, καὶ ὄνειδος τῆς χηρείας σου οὐ μὴ μνησθήσῃ ἔτι.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 5] Ὅτι Κύριος ὁ ποιῶν σε, Κύριος σαβαὼθ ὄνομα αὐτῷ· καὶ ὁ ῥυσάμενός σε, αὐτὸς Θεὸς Ἰσραὴλ, πάσῃ τῇ γῇ κληθήσεται.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 6] Οὐχ ὡς γυναῖκα καταλελειμμένην καὶ ὀλιγόψυχον κέκληκέ σε ὁ Κύριος, οὐδʼ ὡς γυναῖκα ἐκ νεότητος μεμισημένην, εἶπεν ὁ Θεός σου.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 7] Χρόνον μικρὸν κατέλιπόν σε, καὶ μετʼ ἐλέους μεγάλου ἐλεήσω σε.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 8] Ἐν θυμῷ μικρῷ ἀπέστρεψα τὸ πρόσωπόν μου ἀπὸ σοῦ, καὶ ἐν ἐλέει αἰωνίῳ ἐλεήσω σε, εἶπεν ὁ ῥυσάμενός σε Κύριος·
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 9] Ἀπὸ τοῦ ὕδατος τοῦ ἐπὶ Νῶε τοῦτό μοι ἐστί· καθότι ὤμοσα αὐτῷ ἐν τῷ χρόνῳ ἐκείνῳ, τῇ γῇ μὴ θυμωθήσεσθαι ἐπὶ σοὶ ἔτι, μηδὲ ἐν ἀπειλῇ σου τὰ ὄρη μεταστήσεσθαι,
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 10] οὐδʼ οἱ βουνοί σου μετακινηθήσονται· οὕτως οὐδὲ τὸ παρʼ ἐμοῦ σοι ἔλεος ἐκλείψει, οὐδὲ ἡ διαθήκη τῆς εἰρήνης σου οὐ μὴ μεταστῇ· εἶπε γὰρ ἵλεώς σοι Κύριε.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 11] Ταπεινὴ καὶ ἀκατάστατος οὐ παρεκλήθης· ἰδοὺ, ἐγὼ ἑτοιμάζω σοι ἄνθρακα τὸν λίθον σου, καὶ τὰ θεμέλιά σου σάπφειρον,
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 12] καὶ θήσω τὰς ἐπάλξεις σου ἴασπιν, καὶ τὰς πύλας σου λίθους κρυστάλλου, καὶ τὸν περίβολόν σου λίθους ἐκλεκτούς·
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 13] καὶ πάντας τοὺς υἱοὺς σου διδακτοὺς Θεοῦ, καὶ ἐν πολλῇ εἰρήνῃ τὰ τέκνα σου.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 14] Καὶ ἐν δικαιοσύνῃ οἰκοδομηθήσῃ· ἀπέχου ἀπὸ ἀδίκου, καὶ οὐ φοβηθήσῃ, καὶ τρόμος οὐκ ἐγγιεῖ σοι.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 15] Ἰδοὺ προσήλυτοι προσελεύσονταί σοι διʼ ἐμοῦ, καὶ παροικήσουσί σοι, καὶ ἐπὶ σὲ καταφεύξονται.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 16] Ἰδοὺ ἐγὼ ἔκτισά σε, οὐχ ὡς χαλκεὺς φυσῶν ἄνθρακας, καὶ ἐκφέρων σκεῦος εἰς ἔργον· ἐγὼ δὲ ἔκτισά σε, οὐκ εἰς ἀπώλειαν φθεῖραι.
[LXX | EL | OT | Isaiah | Chapter 54 | Verse 17] Πᾶν σκεῦος σκευαστὸν ἐπὶ σὲ, οὐκ εὐοδώσω· καὶ πᾶσα φωνὴ ἀναστήσεται ἐπὶ σὲ εἰς κρίσιν, πάντας αὐτοὺς ἡττήσεις, οἱ δὲ ἔνοχοί σου ἔσονται ἐν αὐτῇ. Ἔστι κληρονομία τοῖς θεραπεύουσι Κύριον· καὶ ὑμεῖς ἔσεσθέ μοι δίκαιοι, λέγει Κύριος.
