[LXX | EL | OT | Isaiah | Chapter 50 | Verse 1] Οὕτως λέγει Κύριος, ποῖον τὸ βιβλίον τοῦ ἀποστασίου τῆς μητρὸς ὑμῶν, ᾧ ἐξαπέστειλα αὐτήν; ἢ τίνι ὑπόχρεῳ πέπρακα ὑμᾶς; ἰδοὺ ταῖς ἁμαρτίαις ὑμῶν ἐπράθητε, καὶ ταῖς ἀνομίαις ὑμῶν ἐξαπέστειλα τὴν μητέρα ὑμῶν.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 2] Τί ὅτι ἦλθον, καὶ οὐκ ἦν ἄνθρωπος; ἐκάλεσα, καὶ οὐκ ἦν ὁ ὑπακούων; μὴ οὐκ ἰσχύει ἡ χείρ μου τοῦ ῥύσασθαι; ἢ οὐκ ἰσχύω τοῦ ἐξελέσθαι; ἰδοὺ τῷ ἐλεγμῷ μου ἐξερημώσω τὴν θάλασσαν, καὶ θήσω ποταμοὺς ἐρήμους, καὶ ξηρανθήσονται οἱ ἰχθύες αὐτῶν ἀπὸ τοῦ μὴ εἶναι ὕδωρ, καὶ ἀποθανοῦνται ἐν δίψει.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 3] Ἐνδύσω τὸν οὐρανὸν σκότος, καὶ ὡς σάκκον θήσω τὸ περιβόλαιον αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 4] Κύριος Κύριος δίδωσί μοι γλῶσσαν παιδείας, τοῦ γνῶναι ἡνίκα δεῖ εἰπεῖν λόγον· ἔθηκέ μοι πρωῒ, προσέθηκέ μοι ὠτίον ἀκούειν,
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 5] καὶ ἡ παιδεία Κυρίου Κυρίου ἀνοίγει μου τὰ ὦτα· ἐγὼ δὲ οὐκ ἀπειθῶ, οὐδὲ ἀντιλέγω.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 6] Τὸν νῶτόν μου ἔδωκα εἰς μάστιγας, τὰς δὲ σιαγόνας μου εἰς ῥαπίσματα, τὸ δὲ πρόσωπόν μου οὐκ ἀπέστρεψα ἀπὸ αἰσχύνης ἐμπτυσμάτων,
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 7] καὶ Κύριος Κύριος βοηθός μοι ἐγενήθη· διατοῦτο οὐκ ἐνετράπην, ἀλλὰ ἔθηκα τὸ πρόσωπόν μου ὡς στερεὰν πέτραν, καὶ ἔγνων ὅτι οὐ μὴ αἰσχυνθῶ,
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 8] ὅτι ἐγγίζει ὁ δικαιώσας με· τίς ὁ κρινόμενός μοι; ἀντιστήτω μοι ἅμα· καὶ τις ὁ κρινόμενός μοι; ἐγγισάτω μοι.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 9] Ἰδοὺ Κύριος Κύριος βοηθήσει μοι· τίς κακώσει με; ἰδοὺ πάντες ὑμεῖς ὡς ἱμάτιον παλαιωθήσεσθε, καὶ σὴς καταφάγεται ὑμᾶς.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 10] Τίς ἐν ὑμῖν ὁ φοβούμενος τὸν Κύριον; ὑπακουσάτω τῆς φωνῆς τοῦ παιδὸς αὐτοῦ· οἱ πορευόμενοι ἐν σκότει, καὶ οὐκ ἔστιν αὐτοῖς φῶς, πεποίθατε ἐπὶ τῷ ὀνόματι Κυρίου, καὶ ἀντιστηρίσασθε ἐπὶ τῷ Θεῷ.
[LXX | EL | OT | Isaiah | Chapter 50 | Verse 11] Ἰδοὺ πάντες ὑμεῖς πῦρ καίετε, καὶ κατισχύετε φλόγα· πορεύεσθε τῷ φωτὶ τοῦ πυρὸς ὑμῶν, καὶ τῇ φλογὶ ᾗ ἐξεκαύσατε· διʼ ἐμὲ ἐγένετο ταῦτα ὑμῖν, ἐν λύπῃ κοιμηθήσεσθε.
