[LXX | EL | OT | Isaiah | Chapter 61 | Verse 1] Πνεῦμα Κυρίου ἐπʼ ἐμὲ, οὗ εἵνεκε ἔχρισέν με, εὐαγγελίσασθαι πτωχοῖς ἀπέσταλκέ με, ἰάσασθαι τοὺς συντετριμμένους τὴν καρδίαν, κηρῦξαι αἰχμαλώτοις ἄφεσιν, καὶ τυφλοῖς ἀνάβλεψιν,
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 2] καλέσαι ἐνιαυτὸν Κυρίου δεκτὸν, καὶ ἡμέραν ἀνταποδόσεως, παρακαλέσαι πάντας τοὺς πενθοῦντας,
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 3] δοθῆναι τοῖς πενθοῦσι Σιὼν αὐτοῖς δόξαν ἀντὶ σποδοῦ, ἄλειμμα εὐφροσύνης τοῖς πενθοῦσι, κατὰ στολὴν δόξης ἀντὶ πνεύματος ἀκηδίας· καὶ κληθήσονται γενεαὶ δικαιοσύνης, φύτευμα Κυρίου εἰς δόξαν.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 4] Καὶ οἰκοδομήσουσιν ἐρήμους αἰωνίας, ἐξηρημωμένας πρότερον ἐξαναστήσουσι, καὶ καινιοῦσι πόλεις ἐρήμους, ἐξηρημωμένας εἰς γενεάς.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 5] Καὶ ἥξουσιν ἀλλογενεῖς ποιμαίνοντες τὰ πρόβατά σου, καὶ ἀλλόφυλοι ἀροτῆρες, καὶ ἀμπελουργοί.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 6] Ὑμεῖς δὲ ἱερεῖς Κυρίου κληθήσεσθε, λειτουργοὶ Θεοῦ, ἰσχὺν ἐθνῶν κατέδεσθε, καὶ ἐν τῷ πλούτῳ αὐτῶν θαυμασθήσεσθε.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 7] Οὕτως ἐκ δευτέρας κληρονομήσουσι τὴν γῆν, καὶ εὐφροσύνη αἰώνιος ὑπὲρ κεφαλῆς αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 8] Ἐγὼ γάρ εἰμι Κύριος ὁ ἀγαπῶν δικαιοσύνην, καὶ μισῶν ἁρπάγματα ἐξ ἀδικίας· καὶ δώσω τὸν μόχθον αὐτῶν δικαίοις, καὶ διαθήκην αἰώνιον διαθήσομαι αὐτοῖς.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 9] Καὶ γνωσθήσεται ἐν τοῖς ἔθνεσι τὸ σπέρμα αὐτῶν, καὶ τὰ ἔκγονα αὐτῶν ἐν μέσῳ τῶν λαῶν· πᾶς ὁ ὁρῶν αὐτοὺς ἐπιγνώσεται αὐτοὺς, ὅτι οὗτοί εἰσι σπέρμα ηὐλογημένον ὑπὸ Θεοῦ,
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 10] καὶ εὐφροσύνῃ εὐφρανθήσονται ἐπὶ Κύριον. Ἀγαλλιάσθω ἡ ψυχή μου ἐπὶ τῷ Κυρίῳ, ἐνέδυσε γάρ με ἱμάτιον σωτηρίου, καὶ χιτῶνα εὐφροσύνης, ὡς νυμφίῳ περιέθηκέ μοι μίτραν, καὶ ὡς νύμφην κατεκόσμησέ με κόσμῳ.
[LXX | EL | OT | Isaiah | Chapter 61 | Verse 11] Καὶ ὡς γῆν αὔξουσαν τὸ ἄνθος αὐτῆς, καὶ ὡς κῆπος τὰ σπέρματα αὐτοῦ, οὕτως ἀνατελεῖ Κύριος Κύριος δικαιοσύνην, καὶ ἀγαλλίαμα ἐναντίον πάντων τῶν ἐθνῶν.
