[LXX | EL | OT | Isaiah | Chapter 24 | Verse 1] Ἰδοὺ Κύριος καταφθείρει τὴν οἰκουμένην, καὶ ἐρημώσει αὐτὴν, καὶ ἀνακαλύψει τὸ πρόσωπον αὐτῆς, καὶ διασπερεῖ τοὺς ἐνοικοῦντας ἐν αὐτῇ.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 2] Καὶ ἔσται ὁ λαὸς ὡς ἱερεύς, καὶ ὁ παῖς ὡς ὁ κύριος, καὶ ἡ θεράπαινα ὡς ἡ κυρία· ἔσται ὁ ἀγοράζων ὡς ὁ πωλῶν, ὁ δανείζων ὡς ὁ δανειζόμενος, καὶ ὁ ὀφείλων ὡς ᾧ ὀφείλει.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 3] Φθορᾷ φθαρήσεται ἡ γῆ, καὶ προνομῇ προνομευθήσεται ἡ γῆ· τὸ γὰρ στόμα Κυρίου ἐλάλησε ταῦτα.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 4] Ἐπένθησεν ἡ γῆ, καὶ ἐφθάρη ἡ οἰκουμένη, ἐπένθησαν οἱ ὑψηλοὶ τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 5] Ἡ δὲ ἠνόμησε διὰ τοὺς κατοικοῦντας αὐτήν, διότι παρήλθοσαν τὸν νόμον, καὶ ἤλλαξαν τὰ προστάγματα διαθήκην αἰώνιον.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 6] Διατοῦτο ἀρὰ ἔδεται τὴν γῆν, ὅτι ἡμάρτοσαν οἱ κατοικοῦντες αὐτήν· διατοῦτο πτωχοὶ ἔσονται οἱ ἐνοικοῦντες ἐν τῇ γῇ, καὶ καταλειφθήσονται ἄνθρωποι ὀλίγοι.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 7] Πενθήσει οἶνος, πενθήσει ἄμπελος, στενάξουσιν πάντες οἱ εὐφραινόμενοι τὴν ψυχήν.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 8] Πέπαυται εὐφροσύνη τυμπάνων, πέπαυται φωνὴ κιθάρας.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 9] Ἠσχύνθησαν, οὐκ ἔπιον οἶνον, πικρὸν ἐγένετο τὸ σίκερα τοῖς πίνουσιν.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 10] Ἠρημώθη πᾶσα πόλις, κλείσει οἰκίαν τοῦ μὴ εἰσελθεῖν.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 11] Ὀλολύζεται περὶ τοῦ οἴνου πανταχῇ, πέπαυται πᾶσα εὐφροσύνη τῆς γῆς, ἀπῆλθε πᾶσα εὐφροσύνη τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 12] Καὶ καταλειφθήσονται πόλεις ἔρημοι, καὶ οἶκοι ἐγκαταλελειμμένοι ἀπολοῦνται.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 13] Ταῦτα πάντα ἔσονται ἐν τῇ γῇ ἐν μέσῳ τῶν ἐθνῶν· ὃν τρόπον ἐάν τις καλαμήσηται ἐλαίαν, οὕτως καλαμήσονται αὐτούς· καὶ ἐὰν παύσηται ὁ τρυγητὸς,
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 14] οὗτοι βοῇ φωνήσουσιν. οἱ δὲ καταλειφθέντες ἐπὶ τῆς γῆς εὐφρανθήσονται ἅμα τῇ δόξῃ Κυρίου, ταραχθήσεται τὸ ὕδωρ τῆς θαλάσσης.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 15] Διατοῦτο ἡ δόξα Κυρίου ἐν ταῖς νήσοις ἔσται τῆς θαλάσσης, τὸ ὄνομα Κυρίου ἔνδοξον ἔσται.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 16] Κύριε ὁ Θεὸς Ἰσραὴλ, ἀπὸ τῶν πτερύγων τῆς γῆς τέρατα ἠκούσαμεν, ἐλπὶς τῷ εὐσεβεῖ· καὶ ἐροῦσιν, οὐαὶ τοῖς ἀθετοῦσιν, οἱ ἀθετοῦντες τὸν νόμον.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 17] Φόβος καὶ βόθυνος καὶ παγὶς ἐφʼ ὑμᾶς τοὺς ἐνοικοῦντας ἐπὶ τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 18] Καὶ ἔσται ὁ φεύγων τὸν φόβον, ἐμπεσεῖται εἰς τὸν βόθυνον· καὶ ὁ ἐκβαίνων ἐκ τοῦ βοθύνου, ἁλώσεται ὑπὸ τῆς παγίδος· ὅτι θυρίδες ἐκ τοῦ οὐρανοῦ ἀνεῴχθησαν, καὶ σεισθήσεται τὰ θεμέλια τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 19] Ταραχῇ ταραχθήσεται ἡ γῆ, καὶ ἀπορίᾳ ἀπορηθήσεται ἡ γῆ.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 20] Ἔκλινεν ὡς ὁ μεθύων καὶ κραιπαλῶν, καὶ σεισθήσεται ὡς ὀπωροφυλάκιον ἡ γῆ· κατίσχυσεν γὰρ ἐπʼ αὐτῆς ἡ ἀνομία, καὶ πεσεῖται, καὶ οὐ μὴ δύνηται ἀναστῆναι.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 21] Καὶ ἐπάξει ὁ Θεὸς ἐπὶ τὸν κόσμον τοῦ οὐρανοῦ τὴν χεῖρα, καὶ ἐπὶ τοὺς βασιλεῖς τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 22] Καὶ συνάξουσι συναγωγὴν αὐτῆς εἰς δεσμωτήριον, καὶ ἀποκλείσουσιν εἰς ὀχύρωμα· διὰ πολλῶν γενεῶν ἐπισκοπὴ ἔσται αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 24 | Verse 23] Καὶ τακήσεται ἡ πλίνθος, καὶ πεσεῖται τὸ τεῖχος· ὅτι βασιλεύσει Κύριος ἐκ Σιὼν, καὶ ἐξ Ἱερουσαλὴμ, καὶ ἐνώπιον τῶν πρεσβυτέρων δοξασθήσεται.
