[LXX | EL | OT | Isaiah | Chapter 40 | Verse 1] Παρακαλεῖτε παρακαλεῖτε τὸν λαόν μου, λέγει ὁ Θεός.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 2] Ἱερεῖς λαλήσατε εἰς τὴν καρδίαν Ἱερουσαλὴμ, παρακαλέσατε αὐτὴν, ὅτι ἐπλήσθη ἡ ταπείνωσις αὐτῆς, λέλυται αὐτῆς ἡ ἁμαρτία, ὅτι ἐδέξατο ἐκ χειρὸς Κυρίου διπλᾶ τὰ ἁμαρτήματα αὐτῆς.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 3] Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 4] Πᾶσα φάραγξ πληρωθήσεται, καὶ πᾶν ὄρος καὶ βουνὸς ταπεινωθήσεται· καὶ ἔσται πάντα τὰ σκολιὰ εἰς εὐθεῖαν, καὶ ἡ τραχεῖα εἰς πεδία.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 5] Καὶ ὀφθήσεται ἡ δόξα Κυρίου, καὶ ὄψεται πᾶσα σὰρξ τὸ σωτήριον τοῦ Θεοῦ, ὅτι Κύριος ἐλάλησε.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 6] Φωνὴ λέγοντος, βόησον· καὶ εἶπα, τί βοήσω; πᾶσα σὰρξ χορτὸς, καὶ πᾶσα δόξα ἀνθρώπου ὡς ἄνθος χόρτου·
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 7] Ἐξηράνθη ὁ χόρτος, καὶ τὸ ἄνθος ἐξέπεσε·
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 8] τὸ δὲ ῥῆμα τοῦ Θεοῦ ἡμῶν μένει εἰς τὸν αἰῶνα.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 9] Ἐπʼ ὄρος ὑψηλὸν ἀνάβηθι ὁ εὐαγγελιζόμενος Σιὼν, ὕψωσον τῇ ἰσχύϊ τὴν φωνήν σου ὁ εὐαγγελιζόμενος Ἱερουσαλήμ· ὑψώσατε, μὴ φοβεῖσθε· εἰπὸν ταῖς πόλεσιν Ἰούδα, ἰδοὺ ὁ Θεὸς ὑμῶν, ἰδοὺ Κύριος·
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 10] Κύριος μετὰ ἰσχύος ἔρχεται, καὶ ὁ βραχίων μετὰ κυρίας· ἰδοὺ ὁ μισθὸς αὐτοῦ μετʼ αὐτοῦ, καὶ τὸ ἔργον ἐναντίον αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 40 | Verse 11] Ὡς ποιμὴν ποιμανεῖ τὸ ποίμνιον αὐτοῦ, καὶ τῷ βραχίονι αὐτοῦ συνάξει ἄρνας, καὶ ἐν γαστρὶ ἐχούσας παρακαλέσει.
