[LXX | EL | OT | Isaiah | Chapter 57 | Verse 1] Ἴδετε ὡς ὁ δίκαιος ἀπώλετο, καὶ οὐδεὶς ἐκδέχεται τῇ καρδίᾳ, καὶ ἄνδρες δίκαιοι αἴρονται, καὶ οὐδεὶς κατανοεῖ· ἀπὸ γὰρ προσώπου ἀδικίας ᾖρται ὁ δίκαιος.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 2] Ἔσται ἐν εἰρήνῃ ἡ ταφὴ αὐτοῦ, ᾖρται ἐκ τοῦ μέσου.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 3] Ὑμεῖς δὲ προσαγάγετε ὧδε υἱοὶ ἄνομοι, σπέρμα μοιχῶν καὶ πόρνης.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 4] Ἐν τίνι ἐνετρυφήσατε; καὶ ἐπὶ τίνα ἠνοίξατε τὸ στόμα ὑμῶν; καὶ ἐπὶ τίνα ἐχαλάσατε τὴν γλῶσσαν ὑμῶν; οὐχ ὑμεῖς ἐστέ τέκνα ἀπωλείας; σπέρμα ἄνομον;
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 5] Οἱ παρακαλοῦντες εἴδωλα ὑπὸ δένδρα δασέα, σφάζοντες τὰ τέκνα αὐτῶν ἐν ταῖς φάραγξιν ἀναμέσον τῶν πετρῶν;
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 6] Ἐκείνη σου ἡ μερίς, οὗτός σου ὁ κλῆρος, κᾀκείνοις ἐξέχεας σπονδὰς, καὶ τούτοις ἀνήνεγκας θυσίας· ἐπὶ τούτοις οὖν οὐκ ὀργισθήσομαι;
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 7] Ἐπʼ ὄρος ὑψηλὸν καὶ μετέωρον, ἐκεῖ σου ἡ κοίτη, καὶ ἐκεῖ ἀνεβίβασας θυσίας σου,
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 8] καὶ ὀπίσω τῶν σταθμῶν τῆς θύρας σου ἔθηκας μνημόσυνά σου· ᾤου, ὅτι ἐὰν ἀπʼ ἐμοῦ ἀποστῇς, πλεῖόν τι ἕξεις; ἠγάπησας τοὺς κοιμωμένους μετὰ σοῦ,
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 9] καὶ ἐπλήθυνας τὴν πορνείαν σου μετʼ αὐτῶν, καὶ πολλοὺς ἐποίησας τοὺς μακρὰν ἀπὸ σοῦ, καὶ ἀπέστειλας πρέσβεις ὑπὲρ τὰ ὅριά σου, καὶ ἐταπεινώθης ἕως ᾅδου.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 10] Ταῖς πολυοδίαις σου ἐκοπίασας, καὶ οὐκ εἶπας παύσομαι ἐνισχύουσα· ὅτι ἔπραξας ταῦτα, διατοῦτο οὐ κατεδεήθης μου σύ.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 11] Τίνα εὐλαβηθεῖσα ἐφοβήθης, καὶ ἐψεύσω με, καὶ οὐκ ἐμνήσθης, οὐδὲ ἔλαβές με εἰς τὴν διάνοιαν, οὐδὲ εἰς τὴν καρδίαν σου; καὶ ἐγώ σε ἰδὼν παρορῶ, καὶ ἐμὲ οὐκ ἐφοβήθης.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 12] Καὶ ἐγὼ ἀπαγγελῶ τὴν δικαιοσύνην σου, καὶ τὰ κακά σου, ἃ οὐκ ὠφελήσει σε,
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 13] ὅταν ἀναβοήσῃς ἐξελέσθωσάν σε ἐν τή θλίψει σου· τούτους γὰρ πάντας ἄνεμος λήψεται, καὶ ἀποίσει καταιγίς· οἱ δὲ ἀντεχόμενοί μου κτήσονται γῆν, καὶ κληρονομήσουσι τὸ ὄρος τὸ ἅγιόν μου·
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 14] Καὶ ἐροῦσι, καθαρίσατε ἀπὸ προσώπου αὐτοῦ ὁδοὺς, καὶ ἄρατε σκῶλα ἀπὸ τῆς ὁδοῦ τοῦ λαοῦ μου.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 15] Τάδε λέγει ὁ ὕψιστος, ἐν ὑψηλοῖς κατοικῶν τὸν αἰῶνα, ἅγιος ἐν ἁγίοις, ὄνομα αὐτῷ, ὕψιστος ἐν ἁγίοις ἀναπαυόμενος, καὶ ὀλιγοψύχοις διδοὺς μακροθυμίαν, καὶ διδοὺς ζωὴν τοῖς συντετριμμένοις τὴν καρδίαν.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 16] Οὐκ εἰς τὸν αἰῶνα ἐκδικήσω ὑμᾶς, οὐδὲ διαπαντὸς ὀργισθήσομαι ὑμῖν· πνεῦμα γὰρ παρʼ ἐμοῦ ἐξελεύσεται, καὶ πνοὴν πᾶσαν ἐγὼ ἐποίησα.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 17] Διʼ ἁμαρτίαν βραχύ τι ἐλύπησα αὐτὸν, καὶ ἐπάταξα αὐτὸν, καὶ ἀπέστρεψα τὸ πρόσωπόν μου ἀπʼ αὐτοῦ, καὶ ἐλυπήθη, καὶ ἐπορεύθη στυγνὸς ἐν ταῖς ὁδοῖς αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 18] Τὰς ὁδοὺς αὐτοῦ ἑώρακα, καὶ ἰασάμην αὐτὸν, καὶ παρεκάλεσα αὐτὸν, καὶ ἔδωκα αὐτῷ παράκλησιν ἀληθινὴν,
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 19] εἰρήνην ἐπʼ εἰρήνῃ τοῖς μακρὰν καὶ τοῖς ἐγγὺς οὖσι· καὶ εἶπε Κύριος, ἰάσομαι αὐτοὺς.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 20] Οἱ δὲ ἄδικοι κλυδωνισθήσονται, καὶ ἀναπαύσασθαι οὐ δυνήσονται.
[LXX | EL | OT | Isaiah | Chapter 57 | Verse 21] Οὐκ ἔστι χαίρειν τοῖς ἀσεβέσιν, εἶπεν ὁ Θεός.
