[LXX | EL | OT | Isaiah | Chapter 63 | Verse 1] Τίς οὗτος ὁ παραγνόμενος ἐξ Ἐδὼμ, ἐρύθημα ἱματίων ἐκ Βοσόρ; οὕτως ὡραῖος ἐν στολῇ, βίᾳ μετὰ ἰσχύος; ἐγὼ διαλέγομαι δικαιοσύνην καὶ κρίσιν σωτηρίου.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 2] Διατί σου ἐρυθρὰ τὰ ἱμάτια, καὶ τὰ ἐνδύματά σου ὡς ἀπὸ πατητοῦ ληνοῦ;
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 3] Πλήρης καταπεπατημένης, καὶ τῶν ἐθνῶν οὐκ ἔστιν ἀνὴρ μετʼ ἐμοῦ, καὶ κατεπάτησα αὐτοὺς ἐν θυμῷ μου, καὶ κατέθλασα αὐτοὺς ὡς γῆν, καὶ κατήγαγον τὸ αἷμα αὐτῶν εἰς γῆν.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 4] Ἡμέρα γὰρ ἀνταποδόσεως ἐπῆλθεν αὐτοῖς, καὶ ἐνιαυτὸς λυτρώσεως πάρεστι.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 5] Καὶ ἐπέβλεψα, καὶ οὐκ ἦν βοηθός· καὶ προσενόησα, καὶ οὐθεὶς ἀντελαμβάνετο· καὶ ἐῤῥύσατο αὐτοὺς ὁ βραχίων μου, καὶ ὁ θυμός μου ἐπέστη.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 6] Καὶ κατεπάτησα αὐτοὺς τῇ ὀργῇ μου, καὶ κατήγαγον τὸ αἷμα αὐτῶν εἰς γῆν.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 7] Τὸν ἔλεον Κυρίου ἐμνήσθην, τὰς ἀρετὰς Κυρίου ἐν πᾶσιν οἷς ἡμῖν ἀνταποδίδωσι· Κύριος κριτὴν ἀγαθὸς τῷ οἴκῳ Ἰσραὴλ, ἐπάγει ἡμῖν κατὰ τὸ ἔλεος αὐτοῦ, καὶ κατὰ τὸ πλῆθος τῆς δικαιοσύνης αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 8] Καὶ εἶπεν, οὐχ ὁ λαός μου; τέκνα οὐ μὴ ἀθετήσωσι· καὶ ἐγένετο αὐτοῖς εἰς σωτηρίαν
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 9] ἐκ πάσης θλίψεως αὐτῶν· οὐ πρέσβυς, οὐδὲ ἄγγελος, ἀλλʼ αὐτὸς ἔσωσεν αὐτοὺς, διὰ τὸ ἀγαπᾷν αὐτοὺς καὶ φείδεσθαι αὐτῶν· αὐτὸς ἐλυτρώσατο αὐτοὺς, καὶ ἀνέλαβεν αὐτοὺς, καὶ ὕψωσεν αὐτοὺς πάσας τὰς ἡμέρας τοῦ αἰῶνος·
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 10] Αὐτοὶ δὲ ἠπείθησαν, καὶ παρώξυναν τὸ πνεῦμα τὸ ἅγιον αὐτοῦ· καὶ ἐστράφη αὐτοῖς εἰς ἔχθραν, αὐτὸς ἐπολέμησεν αὐτούς.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 11] Καὶ ἐμνήσθη ἡμερῶν αἰωνίων· ποῦ ὁ ἀναβιβάσας ἐκ τῆς θαλάσσης τὸν ποιμένα τῶν προβάτων; ποῦ ἐστιν ὁ θεὶς ἐν αὐτοῖς τὸ πνεῦμα τὸ ἅγιον;
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 12] ὁ ἀγαγὼν τῇ δεξιᾷ Μωσῆν, ὁ βραχίων τῆς δόξης αὐτοῦ; κατίσχυσεν ὕδωρ ἀπὸ προσώπου αὐτοῦ, ποιῆσαι ἑαυτῷ ὄνομα αἰώνιον.
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 13] Ἤγαγεν αὐτοὺς διʼ ἀβύσσου, ὡς ἵππον διʼ ἐρήμου, καὶ οὐκ ἐκοπίασαν,
[LXX | EL | OT | Isaiah | Chapter 63 | Verse 14] καὶ ὡς κτήνη διὰ πεδίου· κατέβη πνεῦμα παρὰ Κυρίου, καὶ ὡδήγησεν αὐτούς· οὕτως ἤγαγες τὸν λαόν σου ποιῆσαι σεαυτῷ ὄνομα δόξης.
