[LXX | EL | OT | Isaiah | Chapter 32 | Verse 1] Ἰδοὺ γὰρ βασιλεὺς δίκαιος βασιλεύσει, καὶ ἄρχοντες μετὰ κρίσεως ἄρξουσι.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 2] Καὶ ἔσται ὁ ἄνθρωπος κρύπτων τοὺς λόγους αὐτοῦ, καὶ κρυβήσεται, ὡς ἀφʼ ὕδατος φερομένου· καὶ φανήσεται ἐν Σειὼν ὡς ποταμὸς φερόμενος ἔνδοξος ἐν γῇ διψώσῃ.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 3] Καὶ οὐκέτι ἔσονται πεποιθότες ἐπʼ ἀνθρώποις, ἀλλὰ τὰ ὦτα ἀκούειν δώσουσι.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 4] Καὶ ἡ καρδία τῶν ἀσθενούντων προσέξει τῷ ἀκούειν, καὶ αἱ γλῶσσαι αἱ ψελλίζουσαι ταχὺ μαθήσονται λαλεῖν εἰρήνην.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 5] Καὶ οὐκέτι μὴ εἴπωσι τῷ μωρῷ ἄρχειν, καὶ οὐκέτι μὴ εἴπωσιν οἱ ὑπηρέται σου, σίγα.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 6] Ὁ γὰρ μωρὸς μωρὰ λαλήσει, καὶ ἡ καρδία αὐτοῦ μάταια νοήσει, τοῦ συντελεῖν ἄνομα, καὶ λαλεῖν πρὸς Κύριον πλάνησιν, τοῦ διασπεῖραι ψυχὰς πεινώσας, καὶ τὰς ψυχὰς τὰς διψώσας κενὰς ποιήσει.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 7] Ἡ γὰρ βουλὴ τῶν πονηρῶν ἄνομα βουλεύσεται, καταφθεῖραι ταπεινοὺς ἐν λόγοις ἀδίκοις, καὶ διασκεδάσαι λόγους ταπεινῶν ἐν κρίσει.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 8] Οἱ δὲ εὐσεβεῖς συνετὰ ἐβουλεύσαντο, καὶ αὕτη ἡ βουλὴ μενεῖ.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 9] Γυναῖκες πλούσιαι ἀνάστητε, καὶ ἀκούσατε τῆς φωνῆς μου· θυγατέρες ἐν ἐλπίδι εἰσακούσατε λόγους μου.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 10] Ἡμέρας ἐνιαυτοῦ μνείαν ποιήσασθε ἐν ὀδύνῃ μετʼ ἐλπίδος· ἀνήλωται ὁ τρυγητὸς, πέπαυται, οὐκέτι μὴ ἔλθῃ.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 11] Ἔκστητε, λυπήθητε αἱ πεποιθυῖαι, ἐκδύσασθε, γυμναὶ γένεσθε, περιζώσασθε τὰς ὀσφῦας,
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 12] καὶ ἐπὶ τῶν μαστῶν κόπτεσθε, ἀπὸ ἀγροῦ ἐπιθυμήματος, καὶ ἀμπέλου γεννήματος.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 13] Ἡ γῆ τοῦ λαοῦ μου, ἄκανθα καὶ χόρτος ἀναβήσεται, καὶ ἐκ πάσης οἰκίας εὐφροσύνη ἀρθήσεται.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 14] Πόλις πλουσία, οἶκοι ἐγκαταλελειμμένοι πλοῦτον πόλεως ἀφήσουσιν, οἴκους ἐπιθυμήματος· καὶ ἔσονται αἱ κῶμαι σπήλαια ἕως τοῦ αἰῶνος, εὐφροσύνη ὄνων ἀγρίων, βοσκήματα ποιμένων,
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 15] ἕως ἂν ἔλθῃ ἐφʼ ὑμᾶς πνεῦμα ἀφʼ ὑψηλοῦ· καὶ ἔσται ἔρημος ὁ Χέρμελ, καὶ ὁ Χέρμελ εἰς δρυμὸν λογισθήσεται.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 16] Καὶ ἀναπαύσεται ἐν τῇ ἐρήμῳ κρίμα, καὶ δικαιοσύνη ἐν τῷ Καρμήλῳ κατοικήσει.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 17] Καὶ ἔσται τὰ ἔργα τῆς δικαιοσύνης, εἰρήνη· καὶ κρατήσει ἡ δικαιοσύνη ἀνάπαυσιν, καὶ πεποιθότες ἕως τοῦ αἰῶνος.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 18] Καὶ κατοικήσει ὁ λαὸς αὐτοῦ ἐν πόλει εἰρήνης, καὶ ἐνοικήσει πεποιθὼς, καὶ ἀναπαύσονται μετὰ πλούτου.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 19] Ἡ δὲ χάλαζα ἐὰν καταβῇ, οὐκ ἐφʼ ὑμᾶς ἥξει· καὶ ἔσονται οἱ ἐνοικοῦντες ἐν τοῖς δρυμοῖς πεποιθότες, ὡς οἱ ἐν τῷ πεδινῇ.
[LXX | EL | OT | Isaiah | Chapter 32 | Verse 20] Μακάριοι οἱ σπείροντες ἐπὶ πᾶν ὕδωρ, οὗ βοῦς καὶ ὄνος πατεῖ.
