[LXX | EL | OT | Isaiah | Chapter 3 | Verse 1] Ἰδοὺ δὴ ὁ δεσπότης Κύριος σαβαὼθ ἀφελεῖ ἀπὸ Ἱερουσαλὴμ, καὶ ἀπὸ τῆς Ἰουδαίας, ἰσχύοντα καὶ ἰσχύουσαν, ἰσχὺν ἄρτου καὶ ἰσχὺν ὕδατος,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 2] γίγαντα καὶ ἰσχύοντα, καὶ ἄνθρωπον πολεμιστὴν, καὶ δικαστὴν, καὶ προφήτην, καὶ στοχαστὴν, καὶ πρεσβύτερον,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 3] καὶ πεντηκόνταρχον, καὶ θαυμαστὸν σύμβουλον, καὶ σοφὸν ἀρχιτέκτονα, καὶ συνετὸν ἀκροατήν.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 4] Καὶ ἐπιστήσω νεανίσκους ἄρχοντας αὐτῶν, καὶ ἐμπαίκται κυριεύσουσιν αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 5] Καὶ συμπεσεῖται ὁ λαὸς, ἄνθρωπος πρὸς ἄνθρωπον, καὶ ἄνθρωπος πρὸς τὸν πλησίον αὐτοῦ· προσκόψει τὸ παιδίον πρὸς τὸν πρεσβύτην, ὁ ἄτιμος πρὸς τὸν ἔντιμον.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 6] Ὅτι ἐπιλήψεται ἄνθρωπος τοῦ ἀδελφοῦ αὐτοῦ, ἢ τοῦ οἰκείου τοῦ πατρὸς αὐτοῦ, λέγων, ἱμάτιον ἔχεις, ἀρχηγὸς γενοῦ ἡμῶν, καὶ τὸ βρῶμα τὸ ἐμὸν ὑπὸ σὲ ἔστω.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 7] Καὶ ἀποκριθεὶς ἐν τῇ ἡμέρᾳ ἐκείνῃ ἐρεῖ, οὐκ ἔσομαί σου ἀρχηγός· οὐ γάρ ἐστιν ἐν τῷ οἴκῳ μου ἄρτος, οὐδὲ ἱμάτιον· οὐκ ἔσομαι ἀρχηγὸς τοῦ λαοῦ τούτου.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 8] Ὅτι ἀνεῖται Ἱερουσαλὴμ, καὶ ἡ Ἰουδαία συμπέπτωκε, καὶ αἱ γλῶσσαι αὐτῶν μετὰ ἀνομίας, τὰ πρὸς Κύριον ἀπειθοῦντες. Διότι νῦν ἐταπεινώθη ἡ δόξα αὐτῶν,
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 9] καὶ ἡ αἰσχύνη τοῦ προσώπου αὐτῶν ἀντέστη αὐτοῖς· τὴν δὲ ἁμαρτίαν αὐτῶν ὡς Σοδόμων ἀνήγγειλαν καὶ ἐνεφάνισαν· οὐαὶ τῇ ψυχῇ αὐτῶν, διότι βεβούλευνται βουλὴν πονηρὰν, καθʼ ἑαυτῶν
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 10] εἰπόντες, δήσωμεν τὸν δίκαιον, ὅτι δύσχρηστος ἡμῖν ἐστι· τοίνυν τὰ γεννήματα τῶν ἔργων αὐτῶν φάγονται.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 11] Οὐαὶ τῷ ἀνόμῳ, πονηρὰ κατὰ τὰ ἔργα τῶν χειρῶν αὐτοῦ συμβήσεται αὐτῷ.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 12] Λαός μου, οἱ πράκτορες ὑμῶν καλαμῶνται ὑμᾶς, καὶ οἱ ἀπαιτοῦντες κυριεύουσιν ὑμῶν· λαός μου, οἱ μακαρίζοντες ὑμᾶς πλανῶσιν ὑμᾶς, καὶ τὸν τρίβον τῶν ποδῶν ὑμῶν ταράσσουσιν.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 13] Ἀλλὰ νῦν καταστήσεται εἰς κρίσιν Κύριος, καὶ στήσει εἰς κρίσιν τὸν λαὸν αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 14] Αὐτὸς Κύριος εἰς κρίσιν ἥξει μετὰ τῶν πρεσβυτέρων τοῦ λαοῦ, καὶ μετὰ τῶν ἀρχόντων αὐτοῦ· ὑμεῖς δὲ τί ἐνεπυρίσατε τὸν ἀμπελῶνά μου, καὶ ἡ ἁρπαγὴ τοῦ πτωχοῦ ἐν τοῖς οἴκοις ὑμῶν;
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 15] Τί ὑμεῖς ἀδικεῖτε τὸν λαόν μου, καὶ τὸ πρόσωπον τῶν πτωχῶν καταισχύνετε;
[LXX | EL | OT | Isaiah | Chapter 3 | Verse 16] Τάδε λέγει Κύριος, ἀνθʼ ὧν ὑψώθησαν αἱ θυγατέρες Σιών, καὶ ἐπορεύθησαν ὑψηλῷ τραχήλῳ καὶ ἐν νεύμασιν ὀφθαλμῶν, καὶ τῇ πορείᾳ τῶν ποδῶν ἅμα σύρουσαι τοὺς χιτῶνας, καὶ τοῖς ποσὶν ἅμα παίζουσαι·
