[LXX | EL | OT | Isaiah | Chapter 64 | Verse 1] ὡς κηρὸς ἀπὸ προσώπου πυρὸς τήκεται, καὶ κατακαύσει πῦρ τοὺς ὑπεναντίους, καὶ φανερὸν ἔσται τὸ ὄνομά σου ἐν τοῖς ὑπεναντίοις· ἀπὸ προσώπου σου ἔθνη ταραχθήσονται,
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 2] ὅταν ποιῇς τὰ ἔνδοξα· τρόμος λήψεται ἀπὸ σοῦ ὄρη.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 3] Ἀπὸ τοῦ αἰῶνος οὐκ ἠκούσαμεν, οὐδὲ οἱ ὀφθαλμοὶ ἡμῶν εἶδον Θεὸν πλήν σου, καὶ τὰ ἔργα σου, ἃ ποιήσεις τοῖς ὑπομένουσιν ἔλεον.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 4] Συναντήσεται γὰρ τοῖς ποιοῦσι τὸ δίκαιον, καὶ τῶν ὁδῶν σου μνησθήσονται· ἰδοὺ σὺ ὠργίσθης, καὶ ἡμεῖς ἡμάρτομεν· διατοῦτο ἐπλανήθημεν,
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 5] καὶ ἐγενήθημεν ὡς ἀκάθαρτοι πάντες ἡμεῖς, ὡς ῥάκος ἀποκαθημένης πᾶσα ἡ δικαιοσύνη ἡμῶν· καὶ ἐξεῤῥύημεν ὡς φύλλα διὰ τὰς ἀνομίας ἡμῶν· οὕτως ἄνεμος οἴσει ἡμᾶς.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 6] Καὶ οὐκ ἔστιν ὁ ἐπικαλούμενος τὸ ὄνομά σου, καὶ ὁ μνησθεὶς ἀντιλαβέσθαι σου· ὅτι ἀπέστρεψας τὸ πρόσωπόν σου ἀφʼ ἡμῶν, καὶ παρέδωκας ἡμᾶς διὰ τὰς ἁμαρτίας ἡμῶν.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 7] Καὶ νῦν Κύριε, πατὴρ ἡμῶν σὺ, ἡμεῖς δὲ πηλός, ἔργα τῶν χειρῶν σου πάντες.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 8] Μὴ ὀργίζου ἡμῖν σφόδρα, καὶ μὴ ἐν καιρῷ μνησθῇς ἁμαρτιῶν ἡμῶν· καὶ νῦν ἐπίβλεψον, ὅτι λαός σου πάντες ἡμεῖς.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 9] Πόλις τοῦ ἁγίου σου ἐγενήθη ἔρημος, Σιὼν ὡς ἔρημος ἐγενήθη, Ἱερουσαλὴμ εἰς κατάραν.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 10] Ὁ οἶκος τὸ ἅγιον ἡμῶν, καὶ ἡ δόξα ἣν εὐλόγησαν οἱ πατέρες ἡμῶν, ἑγενήθη πυρίκαυστος, καὶ πάντα ἔνδοξα ἡμῶν συνέπεσε.
[LXX | EL | OT | Isaiah | Chapter 64 | Verse 11] Καὶ ἐπὶ πᾶσι τούτοις ἀνέσχου Κύριε, καὶ ἐσιώπησας, καὶ ἐταπείνωσας ἡμᾶς σφόδρα.
