[LXX | EL | OT | Isaiah | Chapter 41 | Verse 1] Ἐγκαινίζεσθε πρὸς μὲ νῆσοι, οἱ γὰρ ἄρχοντες ἀλλάξουσιν ἰσχύν· ἐγγισάτωσαν καὶ λαλησάτωσαν ἅμα, τότε κρίσιν ἀναγγειλάτωσαν.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 2] Τίς ἐξήγειρεν ἀπὸ ἀνατολῶν δικαιοσύνην, ἐκάλεσεν αὐτὴν κατὰ πόδας αὐτοῦ, καὶ πορεύσεται; δώσει ἐναντίον ἐθνῶν, καὶ βασιλεῖς ἐκστήσει· καὶ δώσει εἰς γῆν τὰς μαχαίρας αὐτῶν, καὶ ὡς φρύγανα ἐξωσμένα τὰ τόξα αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 3] Καὶ διώξεται αὐτοὺς, διελεύσεται ἐν εἰρήνῃ ἡ ὁδὸς τῶν ποδῶν αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 4] Τίς ἐνήργησε, καὶ ἐποίησε ταῦτα; ἐκάλεσεν αὐτὴν ὁ καλῶν αὐτὴν ἀπὸ γενεῶν ἀρχῆς· ἐγὼ Θεὸς πρῶτος, καὶ εἰς τὰ ἐπερχόμενα ἐγώ εἰμι.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 5] Εἴδοσαν ἔθνη καὶ ἐφοβηθήσαν, τὰ ἄκρα τῆς γῆς ἤγγισαν, καὶ ἦλθον ἅμα,
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 6] κρίνων ἕκαστος τῷ πλησίον, καὶ τῷ ἀδελφῷ βοηθῆσαι·
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 7] καὶ ἐρεῖ, ἴσχυσεν ἀνὴρ τέκτων, καὶ χαλκεὺς τύπτων σφύρῃ, ἅμα ἐλαύνων· πότε μὲν ἐρεῖ, σύμβλημα καλόν ἐστιν, ἰσχύρωσαν αὐτὰ ἐν ἥλοις, θήσουσιν αὐτὰ, καὶ οὐ κινηθήσονται.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 8] Σὺ δὲ, Ἰσραὴλ παῖς μου Ἰακὼβ, καὶ ὃν ἐξελεξάμην, σπέρμα Ἁβραὰμ, ὃν ἠγάπησα·
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 9] Οὗ ἀντελαβόμην ἀπʼ ἄκρων τῆς γῆς, καὶ ἐκ τῶν σκοπιῶν αὐτῆς ἐκάλεσά σε, καὶ εἶπά σοι, παῖς μου εἶ, ἐξελεξάμην σε, καὶ οὐκ ἐγκατέλιπόν σε.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 10] Μὴ φοβοῦ, μετὰ σοῦ γάρ εἰμι, μὴ πλανῶ· ἐγὼ γάρ εἰμι ὁ Θεός σου, ὁ ἐνισχύσας σε, καὶ ἐβοήθησά σοι, καὶ ἠσφαλισάμην σε τῇ δεξιᾷ τῇ δικαίᾳ μου.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 11] Ἰδοὺ αἰσχυνθήσονται καὶ ἐντραπήσονται πάντες οἱ ἀντικείμενοί σοι· ἔσονται γὰρ ὡς οὐκ ὄντες, καὶ ἀπολοῦνται πάντες οἱ ἀντίδικοί σου.
[LXX | EL | OT | Isaiah | Chapter 41 | Verse 12] Ζητήσεις αὐτοὺς, καὶ οὐ μὴ εὕρῃς τοὺς ἀνθρώπους οἳ παροινήσουσιν εἰς σέ· ἔσονται γὰρ ὡς οὐκ ὄντες, καὶ οὐκ ἔσονται οἱ ἀντιπολεμοῦντές σε·
