[LXX | EL | OT | Isaiah | Chapter 10 | Verse 1] Οὐαὶ τοῖς γράφουσι πονηρίαν, γράφοντες γὰρ, πονηρίαν γράφουσιν·
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 2] Ἐκκλίνοντες κρίσιν πτωχῶν, ἁρπάζοντες κρίμα πενήτων τοῦ λαοῦ μου, ὥστε εἶναι αὐτοῖς χήραν εἰς διαρπαγὴν, καὶ ὀρφανὸν εἰς προνομήν.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 3] Καὶ τί ποιήσουσιν ἐν τῇ ἡμέρᾳ τῆς ἐπισκοπῆς; ἡ γὰρ θλίψις ὑμῖν πόῤῥωθεν ἥξει· καὶ πρὸς τίνα καταφεύξεσθε τοῦ βοηθηθῆναι; καὶ ποῦ καταλείψετε τὴν δόξαν ὑμῶν, τοῦ μὴ ἐμπεσεῖν εἰς ἀπαγωγήν;
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 4] Ἐπὶ πᾶσι τούτοις οὐκ ἀπεστράφη ἡ ὀργή, ἀλλʼ ἔτι ἡ χεὶρ ὑψηλή.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 5] Οὐαὶ Ἀσσυρίοις, ἡ ῥάβδος τοῦ θυμοῦ μου, καὶ ὀργή ἐστιν ἐν ταῖς χερσὶν αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 6] Τὴν ὀργήν μου εἰς ἔθνος ἄνομον ἀποστελῶ, καὶ τῷ ἐμῷ λαῷ συντάξω ποιῆσαι σκῦλα καὶ προνομήν, καὶ καταπατεῖν τὰς πόλεις, καὶ θεῖναι αὐτὰς εἰς κονιορτόν.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 7] Αὐτὸς δὲ οὐχ οὕτως ἐνεθυμήθη, καὶ τῇ ψυχῇ οὐχ οὕτως λελόγισται, ἀλλὰ ἀπαλλάξει ὁ νοῦς αὐτοῦ, καὶ τοῦ ἔθνη ἐξολοθρεῦσαι οὐκ ὀλίγα.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 8] Καὶ ἐὰν εἴπωσιν αὐτῷ, σὺ μόνος εἶ ἄρχων·
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 9] Καὶ ἐρεῖ, οὐκ ἔλαβον τὴν χώραν τὴν ἐπάνω Βαβυλῶνος καὶ Χαλάνης, οὗ ὁ πύργος ᾠκοδομήθη, καὶ ἔλαβον Ἀραβίαν καὶ Δαμασκὸν καὶ Σαμάρειαν;
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 10] Ὃν τρόπον ταύτας ἔλαβον, καὶ πάσας τὰς ἀρχὰς λήψομαι· ὀλολύξατε τὰ γλυπτὰ ἐν Ἱερουσαλὴμ, καὶ ἐν Σαμαρείᾳ.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 11] Ὃν τρόπον γὰρ ἐποίησα Σαμαρείᾳ, καὶ τοῖς χειροποιήτοις αὐτῆς, οὕτω ποιήσω καὶ Ἱερουσαλὴμ, καὶ τοῖς εἰδώλοις αὐτῆς.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 12] Καὶ ἔσται ὅταν συντελέσῃ Κύριος πάντα ποιῶν ἐν τῷ ὄρει Σιὼν καὶ Ἱερουσαλήμ, ἐπισκέψομαι ἐπὶ τὸν νοῦν τὸν μέγαν ἐπὶ τὸν ἄρχοντα τῶν Ἀσσυρίων, καὶ ἐπὶ τὸ ὕψος τῆς δόξης τῶν ὀφθαλμῶν αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 10 | Verse 13] Εἶπε γὰρ, ἐν τῇ ἰσχύϊ ποιήσω, καὶ ἐν τῇ σοφίᾳ τῆς συνέσεως ἀφελῶ ὅρια ἐθνῶν, καὶ τὴν ἰσχὺν αὐτῶν προνομεύσω·
