[LXX | EL | OT | Isaiah | Chapter 17 | Verse 1] Ἰδοὺ Δαμασκὸς ἀρθήσεται ἀπὸ πόλεων, καὶ ἔσται εἰς πτῶσιν,
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 2] καταλελειμμένη εἰς τὸν αἰῶνα, εἰς κοίτην ποιμνίων καὶ ἀνάπαυσιν, καὶ οὐκ ἔσται ὁ διώκων.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 3] Καὶ οὐκέτι ἔσται ὀχυρὰ τοῦ καταφυγεῖν Ἐφραίμ· καὶ οὐκέτι βασιλεία ἐν Δαμασκῷ, καὶ τὸ λοιπὸν τῶν Σύρων οὐ γὰρ σὺ βελτίων εἶ τῶν υἱῶν Ἰσραὴλ, τῆς δόξης αὐτῶν· τάδε λέγει Κύριος σαβαώθ.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 4] Ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ ἔκλειψις δόξης Ἰακὼβ, καὶ τὰ πίονα τῆς δόξης αὐτοῦ σεισθήσεται.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 5] Καὶ ἔσται ὃν τρόπον ἐάν τις συναγάγῃ ἀμητὸν ἑστηκότα, καὶ σπέρμα σταχύων ἀμήσῃ· καὶ ἔσται ὃν τρόπον ἐάν τις συναγάγῃ στάχυν ἐν φάραγγι στερεᾷ.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 6] Καὶ καταλειφθῇ ἐν αὐτῇ καλάμη, ἢ ὡς ῥῶγες ἐλαίας δύο ἢ τρεῖς ἐπʼ ἄκρου μετεώρου, ἢ τέσσαρες ἢ πέντε ἀπὶ τῶν κλάδων αὐτῶν καταλειφθῇ· τὰδε λέγει Κύριος ὁ Θεὸς Ἰσραήλ.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 7] Τῇ ἡμέρᾳ ἐκείνῃ πεποιθὼς ἔσται ὁ ἄνθρωπος ἐπὶ τῷ ποιήσαντι αὐτὸν, οἱ δὲ ὀφθαλμοὶ αὐτοῦ εἰς τὸν ἅγιον τοῦ Ἰσραὴλ ἐμβλέψονται,
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 8] καὶ οὐ μὴ πεποιθότες ὦσιν ἐπὶ τοῖς βωμοῖς, οὐδὲ ἐπὶ τοῖς ἔργοις τῶν χειρῶν αὐτῶν, ἃ ἐποίησαν οἱ δάκτυλοι αὐτῶν, καὶ οὐκ ὄψονται τὰ δένδρα, οὐδὲ τὰ βδελύγματα αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 9] Τῇ ἡμέρᾳ ἐκείνῃ ἔσονται αἱ πόλεις σου ἐγκαταλελειμμέναι, ὃν τρόπον κατέλιπον οἱ Ἀμοῤῥαῖοι καὶ οἱ Εὐαῖοι ἀπὸ προσώπου τῶν νἱῶν Ἰσραήλ· καὶ ἔσονται ἔρημοι,
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 10] διότι κατέλιπες τὸν Θεὸν τὸν σωτῆρά σου, καὶ Κυρίου τοῦ βοηθοῦ σου οὐκ ἐμνήσθης· διὰτοῦτο φυτεύσεις φύτευμα ἄπιστον, καὶ σπέρμα ἄπιστον.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 11] Τῇ ἡμέρᾳ, ᾗ ἂν φυτεύσῃς, πλανηθήσῃ· τὸ δὲ πρωῒ ἐὰν σπείρῃς, ἀνθήσει εἰς ἀμητὸν ᾗ ἂν ἡμέρᾳ κληρώσῃ, καὶ ὡς πατὴρ ἀνθρώπου κληρώσῃ τοῖς υἱοῖς σου.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 12] Οὐαὶ πλῆθος ἐθνῶν πολλῶν· ὡς θάλασσα κυμαίνουσα, οὕτω ταραχθήσεσθε· καὶ νῶτος ἐθνῶν πολλῶν, ὡς ὕδωρ ἠχήσει.
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 13] Ὡς ὕδωρ πολὺ ἔθνη πολλὰ, ὡς ὕδατος πολλοῦ βίᾳ φερομένου· καὶ ἀποσκορακιεῖ αὐτὸν, καὶ πόῤῥω αὐτὸν διώξεται, ὡς χνοῦν ἀχύρου λικμώντων ἀπέναντι ἀνέμου, καὶ ὡς κονιορτὸν τροχοῦ καταιγὶς φέρουσα,
[LXX | EL | OT | Isaiah | Chapter 17 | Verse 14] Πρὸς ἑσπέραν καὶ ἔσται πένθος, πριν ἢ πρωῒ, καὶ οὐκ ἔσται· αὕτη ἡ μερὶς τῶν προνομευσάντων ὑμᾶς, καὶ κληρονομία τοῖς ὑμᾶς κληρονομήσασιν.
