[LXX | EL | OT | Isaiah | Chapter 7 | Verse 1] Καὶ ἐγένετο ἐν ταῖς ἡμέραις Ἄχαζ τοῦ Ἰωάθαμ τοῦ υἱοῦ Ὀζίου βασιλέως Ἰούδα, ἀνέβη Ῥασὶν βασιλεὺς Ἀραμ, καὶ Φακεὲ υἱὸς Ῥομελίου βασιλεὺς Ἰσραὴλ ἐπὶ Ἱερουσαλὴμ πολεμῆσαι αὐτὴν, καὶ οὐκ ἠδυνήθησαν πολιορκῆσαι αὐτήν.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 2] Καὶ ἀνηγγέλη εἰς τὸν οἶκον Δαυὶδ, λέγων, συνεφώνησεν Ἀρὰμ πρὸς τὸν Ἐφραίμ· καὶ ἐξέστη ἡ ψυχὴ αὐτοῦ, καὶ ἡ ψυχὴ τοῦ λαοῦ αὐτοῦ, ὃν τρόπον ἐν δρυμῷ ξύλον ὑπὸ πνεύματος σαλευθῇ·
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 3] Καὶ εἶπε Κύριος πρὸς Ἡσαΐαν, ἔξελθε εἰς συνάντησιν Ἄχαζ σὺ, καὶ ὁ καταλειφθεὶς Ἰασοὺβ ὁ υἱός σου, πρὸς τὴν κολυμβήθραν τῆς ἄνω ὁδοῦ ἀγροῦ τοῦ κναφέως.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 4] Καὶ ἐρεῖς αὐτῷ, φύλαξαι τοῦ ἡσυχάσαι, καὶ μὴ φοβοῦ, μηδὲ ἡ ψυχή σου ἀσθενείτω ἀπὸ τῶν δύο ξύλων τῶν δαλῶν τῶν καπνιζομένων τούτων· ὅταν γὰρ ὀργὴ τοῦ θυμοῦ μου γένηται, πάλιν ἰάσομαι.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 5] Καὶ ὁ υἱὸς τοῦ Ἀρὰμ, καὶ ὁ υἱὸς τοῦ Ῥομελίου, ὅτι ἐβουλεύσαντο βουλὴν πονηράν·
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 6] Ἀναβησόμεθα εἰς τὴν Ἰουδαίαν, καὶ συλλαλήσαντες αὐτοῖς, ἀποστρέψομεν αὐτοὺς πρὸς ἡμᾶς, καὶ βασιλεύσομεν αὐτῆς τὸν υἱὸν Ταβεήλ·
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 7] Τάδε λέγει Κύριος σαβαὼθ, οὐ μὴ μείνῃ ἡ βουλὴ αὕτη, οὐδὲ ἔσται,
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 8] ἀλλʼ ἡ κεφαλὴ Ἀρὰμ, Δαμασκὸς, καὶ ἡ κεφαλὴ Δαμασκοῦ, Ῥασίμ· ἀλλʼ ἔτι ἐξήκοντα καὶ πέντε ἐτῶν ἐκλείψει ἡ βασιλεία Ἐφραίμ ἀπὸ λαοῦ,
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 9] καὶ ἡ κεφαλὴ Ἐφραὶμ Σομόρων, καὶ ἡ κεφαλὴ Σομορων, υἱὸς τοῦ Ῥομελίου, καὶ ἐὰν μὴ πιστεύσητε, οὐδὲ μὴ συνῆτε.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 10] Καὶ προσέθετο Κύριος λαλῆσαι τῷ Ἄχαζ, λέγων,
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 11] αἴτησαι σεαυτῷ σημεῖον παρὰ Κυρίου Θεοῦ σου εἰς βάθος, ἢ εἰς ὕψος.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 12] Καὶ εἶπεν Ἄχαζ, οὐ μὴ αἰτήσω, οὐδὲ μὴ πειράσω Κύριον.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 13] Καὶ εἶπεν, ἀκούσατε δὴ οἶκος Δαυίδ· μὴ μικρὸν ὑμῖν ἀγῶνα παρέχειν ἀνθρώποις, καὶ πῶς Κυρίῳ παρέχετε ἀγῶνα;
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 14] Διατοῦτο δώσει Κύριος αὐτὸς ὑμῖν σημεῖον· ἰδοὺ ἡ παρθένος ἐν γαστρὶ λήψεται, καὶ τέξεται υἱὸν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἐμμανουήλ.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 15] Βούτυρον καὶ μέλι φάγεται πρινὴ γνῶναι αὐτὸν ἢ προελέσθαι πονηρὰ, ἐκλέξασθαι τὸ ἀγαθόν·
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 16] Διότι πρινὴ γνῶναι τὸ παιδίον ἀγαθὸν ἢ κακὸν, ἀπειθεῖ πονηρίᾳ, ἐκλέξασθαι τὸ ἀγαθόν· καὶ καταλειφθήσεται ἡ γῆ ἣν σὺ φοβῇ, ἀπὸ προσώπου τῶν δύο βασιλέων.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 17] Ἀλλὰ ἐπάξει ὁ Θεὸς ἐπὶ σὲ καὶ ἐπὶ τὸν λαόν σου καὶ ἐπὶ τὸν οἶκον τοῦ πατρός σου ἡμέρας, αἳ οὔπω ἥκασιν ἀφʼ ἧς ἡμέρας ἀφεῖλεν Ἐφραὶμ ἀπὸ Ἰούδα τὸν βασιλέα τῶν Ἀσσυρίων.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 18] Καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ συριεῖ Κύριος μυίαις, ὃ κυριεύσει μέρος ποταμοῦ Αἰγύπτου, καὶ τῇ μελίσσῃ, ἥ ἐστιν ἐν χώρᾳ Ἀσσυρίων·
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 19] Καὶ ἐλεύσονται πάντες ἐν ταῖς φάραγξι τῆς χώρας, καὶ ἐν ταῖς τρώγλαις τῶν πετρῶν, καὶ εἰς τὰ σπήλαια, καὶ εἰς πᾶσαν ῥαγάδα.
[LXX | EL | OT | Isaiah | Chapter 7 | Verse 20] Ἐν τῇ ἡμέρᾳ ἐκείνῃ ξυρήσει Κύριος ἐν τῷ ξυρῷ τῷ μεμισθωμένῳ πέραν τοῦ ποταμοῦ βασιλέως Ἀσσυρίων τὴν κεφαλὴν, καὶ τὰς τρίχας τῶν ποδῶν, καὶ τὸν πώγωνα ἀφελεῖ.
