[LXX | EL | OT | Isaiah | Chapter 6 | Verse 1] Καὶ ἐγένετο τοῦ ἐνιαυτοῦ οὗ ἀπέθανεν Ὀζίας ὁ βασιλεὺς, εἶδον τὸν Κύριον καθήμενον ἐπὶ θρόνου ὑψηλοῦ καὶ ἐπῃρμένου· καὶ πλήρης ὁ οἶκος τῆς δόξης αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 2] Καὶ σεραφὶμ εἱστήκεισαν κύκλῳ αὐτοῦ, ἓξ πτέρυγες τῷ ἑνὶ, καὶ ἓξ πτέρυγες τῷ ἑνί· καὶ ταῖς μὲν δυσὶ, κατεκάλυπτον τὸ πρόσωπον· ταῖς δὲ δυσὶ κατεκάλυπτον τοὺς πόδας· καὶ ταῖς δυσὶν ἐπέταντο.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 3] Καὶ ἐκέκραγεν ἕτερος πρὸς τὸν ἕτερον, καὶ ἔλεγον, ἅγιος ἅγιος ἅγιος Κύριος σαβαὼθ, πλήρης πᾶσα ἡ γῆ τῆς δόξης αὐτοῦ.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 4] Καὶ ἐπῄρθη τὸ ὑπέρθυρον ἀπὸ τῆς φωνῆς ἧς ἐκέκραγον, καὶ ὁ οἶκος ἐνεπλήσθη καπνοῦ.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 5] Καὶ εἶπον, ὢ τάλας ἐγώ, ὅτι κατανένυγμαι, ὅτι ἄνθρωπος ὢν, καὶ ἀκάθαρτα χείλη ἔχων, ἐν μέσῳ λαοῦ ἀκάθαρτα χείλη ἔχοντος ἐγὼ οἰκῶ, καὶ τὸν βασιλέα Κύριον σαβαὼθ εἶδον τοῖς ὀφθαλμοῖς μου.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 6] Καὶ ἀπεστάλη πρὸς μὲ ἓν τῶν σεραφὶμ, καὶ ἐν τῇ χειρὶ εἶχεν ἄνθρακα, ὃν τῇ λαβίδι ἔλαβεν ἀπὸ τοῦ θυσιαστηρίου,
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 7] καὶ ἥψατο τοῦ στόματός μου, καὶ εἶπεν, ἰδοὺ ἥψατο τοῦτο τῶν χειλέων σου, καὶ ἀφελεῖ τὰς ἀνομίας σου, καὶ τὰς ἁμαρτίας σου περικαθαριεῖ.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 8] Καὶ ἤκουσα τῆς φωνῆς Κυρίου λέγοντος, τίνα ἀποστείλω, καὶ τίς πορεύσεται πρὸς τὸν λαὸν τοῦτον; καὶ εἶπα, ἰδοὺ ἐγώ εἰμι· ἀπόστειλόν με.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 9] Καὶ εἶπε, πορεύθητι, καὶ εἰπὸν τῷ λαῷ τούτῳ, ἀκοῇ ἀκούσετε, καὶ οὐ μὴ συνῆτε, καὶ βλέποντες βλέψετε, καὶ οὐ μὴ ἴδητε.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 10] Ἐπαχύνθη γὰρ ἡ καρδία τοῦ λαοῦ τούτου, καὶ τοῖς ὠσὶν αὐτῶν βαρέως ἤκουσαν, καὶ τοὺς ὀφθαλμοὺς ἐκάμμυσαν· μήποτε ἴδωσι τοῖς ὀφθαλμοῖς, καὶ τοῖς ὠσὶν ἀκούσωσι, καὶ τῇ καρδίᾳ συνῶσι καὶ ἐπιστρέψωσι, καὶ ἰάσομαι αὐτούς.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 11] Καὶ εἶπα, ἕως πότε Κύριε; καὶ εἶπεν, ἕως ἂν ἐρημωθῶσι πόλεις παρὰ τὸ μὴ κατοικεῖσθαι, καὶ οἶκοι παρὰ τὸ μὴ εἶναι ἀνθρώπους, καὶ ἡ γῆ καταλειφθήσεται ἔρημος.
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 12] Καὶ μετὰ ταῦτα μακρυνεῖ ὁ Θεὸς τοὺς ἀνθρώπους, καὶ πληθυνθήσονται οἱ ἐγκαταλειφθέντες ἐπὶ τῆς γῆς·
[LXX | EL | OT | Isaiah | Chapter 6 | Verse 13] καὶ ἔτι ἐπʼ αὐτῆς ἐστι τὸ ἐπιδέκατον, καὶ πάλιν ἔσται εἰς προνομὴν ὡς τερέβινθος, καὶ ὡς βάλανος ὅταν ἐκπέσῃ ἐκ τῆς θήκης αὐτῆς.
