[LXX | EL | OT | Isaiah | Chapter 47 | Verse 1] Κατάβηθι, κάθισον ἐπὶ τὴν γῆν παρθένος θυγάτηρ Βαβυλῶνος, κάθισον εἰς τὴν γῆν θυγάτηρ Χαλδαίων, ὅτι οὐκέτι προστεθήσῃ κληθῆναι ἁπαλὴ καὶ τρυφερά.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 2] Λάβε μύλον, ἄλεσον ἄλευρον, ἀποκὸλυψαι τὸ κατακάλυμμά σου, ἀνακάλυψαι τὰς πολιὰς, ἀνάσυρε τὰς κνήμας, διάβηθι ποταμούς.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 3] Ἀνακαλυφθήσεται ἡ αἰσχύνη σου, φανήσονται οἱ ὀνειδισμοί σου· τὸ δίκαιον ἐκ σοῦ λήμψομαι, οὐκέτι μὴ παραδῶ ἀνθρώποις.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 4] Ὁ ῥυσάμενός σε Κύριος σαβαὼθ, ὄνομα αὐτῷ Ἅγιος Ἰσραήλ.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 5] Κάθισον κατανενυγμένη, εἴσελθε εἰς τὸ σκότος θύγατεηρ Χαλδαίων, οὐκέτι μὴ κληθήσῃ ἰσχὺς βασιλείας.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 6] Παρωξύνθην ἐπὶ τῷ λαῷ μου, ἐμίανας τὴν κληρονομίαν μου· ἐγὼ ἔδωκα αὐτοὺς εἰς τὴν χεῖρά σου, σὺ δὲ οὐκ ἔδωκας αὐτοῖς ἔλεος, τοῦ πρεσβυτέρου ἐβάρυνας τὸν ζυγὸν σφόδρα,
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 7] καὶ εἶπας, εἰς τὸν αἰῶνα ἔσομαι ἄρχουσα· οὐκ ἐνόησας ταῦτα ἐν τῇ καρδίᾳ σου, οὐδὲ ἐμνήσθης τὰ ἔσχατα.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 8] Νῦν δὲ ἄκουε ταῦτα τρυφερὰ, ἡ καθημένη, ἡ πεποιθυῖα, ἡ λέγουσα ἐν καρδίᾳ αὐτῆς, ἐγώ εἰμι, καὶ οὐκ ἔστιν ἑτέρα, οὐ καθιῶ χήρα, οὐδὲ γνώσομαι ὀρφανίαν.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 9] Νῦν δὲ ἥξει ἐπὶ σὲ τὰ δύο ταῦτα ἐξαίφνης ἐν ἡμέρᾳ μιᾷ, ἀτεκνία καὶ χηρεία ἥξει ἐξαίφνης ἐπὶ σὲ, ἐν τῇ φαρμακείᾳ σου, ἐν τῇ ἰσχύϊ τῶν ἐπαοιδῶν σου σφόδρα,
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 10] τῇ ἐλπίδι τῆς πονηρίας σου· σὺ γὰρ εἶπας, ἐγώ εἰμι, καὶ οὐκ ἔστιν ἑτέρα· γνῶθι, ἡ σύνεσις τούτων ἔσται, καὶ ἡ πορνεία σου σοὶ αἰσχύνη· καὶ εἶπας τῇ καρδίᾳ σου, ἐγώ εἰμι, καὶ οὐκ ἔστιν ἑτέρα.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 11] Καὶ ἥξει ἐπὶ σὲ ἀπώλεια, καὶ οὐ μὴ γνῷς· βόθυνος, καὶ ἐμπεσῇ εἰς αὐτόν· καὶ ἥξει ἐπὶ σὲ ταλαιπωρία, καὶ οὐ μὴ δυνήσῃ καθαρὰ γενέσθαι· καὶ ἥξει ἐπὶ σὲ ἐξαπίνης ἀπώλεια, καὶ οὐ μὴ γνώσῃ.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 12] Στῆθι νῦν ἐν ταῖς ἐπαοιδαῖς σου, καὶ ἐν τῇ πολλῇ φαρμακείᾳ σου, ἃ ἐμάνθανες ἐκ νεότητός σου, εἰ δυνήσῃ ὠφεληθῆναι.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 13] Κεκοπίακας ἐν ταῖς βουλαῖς σου· στήτωσαν δὴ καὶ σωσάτωσάν σε οἱ ἀστρολόγοι τοῦ οὐρανοῦ, οἱ ὁρῶντες τοὺς ἀστέρας ἀναγγειλάτωσάν σοι, τί μέλλει ἐπὶ σὲ ἔρχεσθαι.
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 14] Ἰδοὺ πάντες ὡς φρύγανα ἐπὶ πυρὶ κατακαυθήσονται, καὶ οὐ μὴ ἐξέλωνται τὴν ψυχὴν αὐτῶν ἐκ φλογός· ὅτι ἔχεις ἄνθρακας πυρός· κάθισαι ἐπʼ αὐτοὺς,
[LXX | EL | OT | Isaiah | Chapter 47 | Verse 15] οὗτοι ἔσονταί σοι βοήθεια· ἐκοπίασας ἐν τῇ μεταβολῇ ἐκ νεότητος, ἄνθρωπος καθʼ ἑαυτὸν ἐπλανήθη, σοὶ δὲ οὐκ ἔσται σωτηρία.
