[LXX | EL | OT | Isaiah | Chapter 19 | Verse 1] Ἰδοὺ Κύριος κάθηται ἐπὶ νεφέλης κούφης, καὶ ἥξει εἰς Αἴγυπτον, καὶ σεισθήσεται τὰ χειροποίητα Αἰγύπτου ἀπὸ προσώπου αὐτοῦ· καὶ ἡ καρδία αὐτῶν ἡττηθήσεται ἐν αὐτοῖς.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 2] Καὶ ἐπεγερθήσονται Αἰγύπτιοι ἐπʼ Αἰγυπτίους, καὶ πολεμήσει ἄνθρωπος τὸν ἀδελφὸν αὐτοῦ, καὶ ἄνθρωπος τὸν πλησίον αὐτοῦ, πόλις ἐπὶ πόλιν, καὶ νὸμος ἐπὶ νὸμον.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 3] Καὶ ταραχθήσεται τὸ πνεῦμα τῶν Αἰγυπτίων ἐν αὐτοῖς, καὶ τὴν βουλὴν αὐτῶν διασκεδάσω, καὶ ἐπερωτήσουσι τοὺς θεοὺς αὐτῶν, καὶ τὰ ἀγάλματα αὐτῶν, καὶ τοὺς ἐκ τῆς γῆς φωνοῦντας, καὶ τοὺς ἐγγαστριμύθους.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 4] Καὶ παραδώσω τὴν Αἴγυπτον εἰς χεῖρας ἀνθρώπων, κυρίων σκληρῶν, καὶ βασιλεῖς σκληροὶ κυριεύσουσιν αὐτῶν. τάδε λέγει Κύριος σαβαώθ.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 5] Καὶ πίονται οἱ Αἰγύπτιοι ὕδωρ τὸ παρὰ θάλασσαν, ὁ δὲ ποταμὸς ἐκλείψει, καὶ ξηρανθήσεται.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 6] Καὶ ἐκλείψουσιν οἱ ποταμοὶ, καὶ αἱ διώρυχες τοῦ ποταμοῦ· καὶ ξηρανθήσεται πᾶσα συναγωγὴ ὕδατος, καὶ ἐν παντὶ ἕλει καλάμου καὶ παπύρου,
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 7] καὶ τὸ ἄχι τὸ χλωρὸν πᾶν τὸ κύκλῳ τοῦ ποταμοῦ, καὶ πᾶν τὸ σπειρόμενον διὰ τοῦ ποταμοῦ ξηρανθήσεται ἀνεμόφθορον.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 8] Καὶ στενάξουσιν οἱ ἁλιεῖς, καὶ στενάξουσι πάντες οἱ βάλλοντες ἄγκιστρον εἰς τὸν ποταμὸν, καὶ οἱ βάλλοντες σαγήνας, καὶ οἱ ἀμφιβολεῖς πενθήσουσι·
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 9] Καὶ αἰσχύνη λήψεται τοὺς ἐργαζομένους τὸ λίνον τὸ σχιστὸν, καὶ τοὺς ἐργαζομένους τὴν βύσσον.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 10] Καὶ ἔσονται οἱ ἐργαζόμενοι αὐτὰ ἐν ὀδύνῃ, καὶ πάντες οἱ ποιοῦντες τὸν ζῦθον λυπηθήσονται, καὶ τὰς ψυχὰς πονέσουσι.
[LXX | EL | OT | Isaiah | Chapter 19 | Verse 11] Καὶ μωροὶ ἔσονται οἱ ἄρχοντες Τάνεως, οἱ σοφοὶ σύμβουλοι τοῦ βασιλέως, ἡ βουλὴ σὐτῶν μωρανθήσεται· πῶς ἐρεῖτε τῷ βασιλεῖ, υἱοὶ συνετῶν ἡμεῖς, υἱοὶ βασιλέων τῶν ἐξ ἀρχῆς;
