[LXX | EL | OT | Isaiah | Chapter 58 | Verse 1] Ἀναβοήσον ἐν ἰσχύϊ, καὶ μὴ φείσῃ, ὡς σάλπιγγι ὕψωσον τὴν φωνήν σου καὶ ἀνάγγειλον τῷ λαῷ μου τὰ ἁμαρτήματα αὐτῶν, καὶ τῷ οἴκῳ Ἰακὼβ τὰς ἀνομίας αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 2] Ἐμὲ ἡμέραν ἐξ ἡμέρας ζητοῦσι, καὶ γνῶναί μου τὰς ὁδοὺς ἐπιθυμοῦσιν, ὡς λαὸς δικαιοσύνην πεποιηκὼς καὶ κρίσιν Θεοῦ αὐτοῦ μὴ ἐγκαταλελοιπώς· αἰτοῦσί με νῦν κρίσιν δικαίαν, καὶ ἐγγίζειν Θεῷ ἐπιθυμοῦσι,
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 3] λέγοντες, τί ὅτι ἐνηστεύσαμεν, καὶ οὐκ εἶδες; ἐταπεινώσαμεν τὰς ψυχὰς ἡμῶν, καὶ οὐκ ἔγνως; Ἐν γὰρ ταῖς ἡμέραις τῶν νηστειῶν ὑμῶν εὑρίσκετε τὰ θελήματα ὑμῶν, καὶ πάντας τοὺς ὑποχειρίους ὑμῶν ὑπονύσσετε.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 4] Εἰ εἰς κρίσεις καὶ μάχας νηστεύετε, καὶ τύπτετε πυγμαῖς ταπεινὸν, ἱνατί μοι νηστεύετε ὡς σήμερον, ἀκουσθῆναι ἐν κραυγῇ τὴν φωνὴν ὑμῶν;
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 5] Οὐ ταύτην τὴν νηστείαν ἐξελεξάμην, καὶ ἡμέραν ταπεινοῦν ἄνθρωπον τὴν ψυχὴν αὐτοῦ· οὐδʼ ἂν κάμψῃς ὡς κρίκον τὸν τράχηλόν σου, καὶ σάκκον καὶ σποδὸν ὑποστρώσῃ, οὐδʼ οὕτω καλέσετε νηστείαν δεκτήν.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 6] Οὐχὶ τοιαύτην νηστείαν ἐξελεξάμην, λέγει Κύριος· ἀλλὰ λύε πάντα σύνδεσμον ἀδικίας, διάλυε στραγγαλιὰς βιαίων συναλλαγμάτων, ἀπόστελλε τεθραυσμένους ἐν ἀφέσει, καὶ πᾶσαν συγγραφὴν ἄδικον διάσπα.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 7] Διάθρυπτε πεινῶντι τὸν ἄρτον σου, καὶ πτωχοὺς ἀστέγους εἴσαγε εἰς τὸν οἶκόν σου· ἐὰν ἴδῃς γυμνὸν, περίβαλε, καὶ ἀπὸ τῶν οἰκείων τοῦ σπέρματός σου οὐχ ὑπερόψει.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 8] Τότε ῥαγήσεται πρώϊμον τὸ φῶς σου, καὶ τὰ ἰάματά σου ταχὺ ἀνατελεῖ· καὶ προπορεύσεται ἔμπροσθέν σου ἡ δικαιοσύνη σου, καὶ ἡ δόξα τοῦ Θεοῦ περιστελεῖ σε.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 9] Τότε βοήσῃ, καὶ ὁ Θεὸς εἰσακούσεταί σου, ἔτι λαλοῦντός σου ἐρεῖ, ἰδοὺ, πάρειμι· ἐὰν ἀφέλῃς ἀπὸ σοῦ σύνδεσμον, καὶ χειροτονίαν, καὶ ῥῆμα γογγυσμοῦ,
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 10] καὶ δῷς πεινῶντι τὸν ἄρτον ἐκ ψυχῆς σου, καὶ ψυχὴν τεταπεινωμένην ἐμπλήσῃς, τότε ἀνατελεῖ ἐν τῷ σκότει τὸ φῶς σου, καὶ τὸ σκότος σου ὡς μεσημβρία,
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 11] καὶ ἔσται ὁ Θεός σου μετὰ σοῦ διαπαντός· καὶ ἐμπλησθήσῃ καθάπερ ἐπιθυμεῖ ἡ ψυχή σου, καὶ τὰ ὀστᾶ σου πιανθήσεται· καὶ ἔσται ὡς κῆπος μεθύων, καὶ ὡς πηγὴ ἣν μὴ ἐξέλιπεν ὕδωρ·
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 12] Καὶ οἰκοδομηθήσονταί σου αἱ ἔρημοι αἰώνιοι, καὶ ἔσται τὰ θεμέλιά σου αἰώνια γενεῶν γενεαῖς, καὶ κληθήσῃ οἰκοδόμος φραγμῶν, καὶ τὰς τρίβους σου ἀναμέσον παύσεις.
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 13] Ἐὰν ἀποστρέψῃς τὸν πόδα σου ἀπὸ τῶν σαββάτων τοῦ μὴ ποιεῖν τὰ θελήματά σου ἐν τῇ ἡμέρᾳ τῇ ἁγίᾳ, καὶ καλέσεις τὰ σάββατα τρυφερὰ, ἅγια τῷ Θεῷ· οὐκ ἀρεῖς τὸν πόδα σου ἐπʼ ἔργῳ, οὐδὲ λαλήσεις λόγον ἐν ὀργῇ ἐκ τοῦ στόματός σου,
[LXX | EL | OT | Isaiah | Chapter 58 | Verse 14] καὶ ἔσῃ πεποιθὼς ἐπὶ Κύριον, καὶ ἀναβιβάσει σε ἐπὶ τὰ ἀγαθὰ τῆς γῆς, καὶ ψωμιεῖ σε τὴν κληρονομίαν Ἰακὼβ τοῦ πατρός σου· τὸ γὰρ στόμα Κυρίου ἐλάλησε ταῦτα.
