[LXX | EL | OT | Isaiah | Chapter 26 | Verse 1] Τῇ ἡμέρᾳ ἐκείνῃ ᾂσονται τὸ ᾆσμα τοῦτο ἐπὶ γῆς τῆς Ἰουδαίας· ἰδοὺ πόλις ἰσχυρά, καὶ σωτήριον θήσει τὸ τεῖχος, καὶ περίτειχος.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 2] Ἀνοίξατε πύλας, εἰσελθέτω λαὸς φυλάσσων δικαιοσύνην, καὶ φυλάσσων ἀλήθειαν,
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 3] ἀντιλαμβανόμενος ἀληθείας, καὶ φυλάσσων εἰρήνην· ὅτι ἐπὶ σοὶ ἐλπίδι
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 4] ἤλπισαν Κύριε ἕως τοῦ αἰῶνος, ὁ Θεὸς ὁ μέγας, ὁ αἰώνιος,
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 5] ὃς ταπεινώσας κατήγαγες τοὺς ἐνοικοῦντας ἐν ὑψηλοῖς· πόλεις ὀχυρὰς καταβαλεῖς, καὶ κατάξεις ἕως ἐδάφους.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 6] Καὶ πατήσουσιν αὐτοὺς πόδες πρᾳέων καὶ ταπεινῶν.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 7] Ὁδὸς εὐσεβῶν εὐθεῖα ἐγένετο, ἡ ὁδὸς τῶν εὐσεβῶν καὶ παρεσκευασμένη.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 8] Ἡ γὰρ ὁδὸς Κυρίου κρίσις· ἠλπίσαμεν ἐπὶ τῷ ὀνόματί σου, καὶ ἐπὶ τῇ μνείᾳ
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 9] ᾗ ἐπιθυμεῖ ἡ ψυχὴ ἡμῶν· ἐκ νυκτὸς ὀρθρίζει τὸ πνεῦμά μου πρὸς σὲ ὁ Θεὸς, διότι φῶς τὰ προστάγματά σου ἐπὶ τῆς γῆς· δικαιοσύνην μάθετε οἱ ἐνοικοῦντες ἐπὶ τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 10] Πέπαυται γὰρ ὁ ἀσεβής· πᾶς ὃς οὐ μὴ μάθῃ δικαιοσύνην ἐπὶ τῆς γῆς, ἀλήθειαν οὐ μὴ ποιήσει· ἀρθήτω ὁ ἀσεβὴς, ἵνα μὴ ἴδῃ τὴν δόξαν Κυρίου.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 11] Κύριε ὑψηλός σου ὁ βραχίων, καὶ οὐκ ᾔδεισαν, γνόντες δὲ αἰσχυνθήσονται· ζῆλος λήψεται λαὸν ἀπαίδευτον, καὶ νῦν πῦρ τοὺς ὑπεναντίους ἔδεται.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 12] Κύριε ὁ Θεὸς ἡμῶν, εἰρήνην δὸς ἡμῖν, πάντα γὰρ ἀπέδωκας ἡμῖν.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 13] Κύριε ὁ Θεὸς ἡμῶν, κτῆσαι ἡμᾶς· Κύριε ἐκτός σου ἄλλον οὐκ οἴδαμεν· τὸ ὄνομά σου ὀνομάζομεν.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 14] Οἱ δὲ νεκροὶ ζωὴν οὐ μὴ ἴδωσιν, οὐδὲ ἰατροὶ οὐ μὴ ἀναστήσουσι· διατοῦτο ἐπήγαγες, καὶ ἀπώλεσας, καὶ ᾖρας πᾶν ἄρσεν αὐτῶν.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 15] Πρόσθες αὐτοῖς κακὰ Κύριε, πρόσθες κακὰ τοῖς ἐνδόξοις τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 16] Κύριε, ἐν θλίψει ἐμνήσθην σου, ἐν θλίψει μικρᾷ ἡ παιδεία σου ἡμῖν.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 17] Καὶ ὡς ἡ ὠδίνουσα ἐγγίζει τεκεῖν, ἐπὶ τῇ ὠδῖνι αὐτῆς ἐκέκραξεν, οὕτως ἐγενήθημεν τῷ ἀγαπητῷ σου.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 18] Διὰ τὸν φόβον σου Κύριε ἐν γαστρὶ ἐλάβομεν, καὶ ὠδινήσαμεν, καὶ ἐτέκομεν πνεῦμα σωτηρίας σου, ὃ ἐποιήσαμεν ἐπὶ τῆς γῆς· οὐ πεσούμεθα, ἀλλὰ πεσοῦνται πάντες οἱ ἐνοικοῦντες ἐπὶ τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 19] Ἀναστήσονται οἱ νεκροὶ, καὶ ἐγερθήσονται οἱ ἐν τοῖς μνημείοις, καὶ εὐφρανθήσονται οἱ ἐν τῇ γῇ· ἡ γὰρ δρόσος ἡ παρὰ σοῦ ἴαμα αὐτοῖς ἐστιν, ἡ δὲ γῆ τῶν ἀσεβῶν πεσεῖται.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 20] Βάδιζε λαός μου, εἴσελθε εἰς τὰ ταμεῖά σου, ἀπόκλεισον τὴν θύραν σου, ἀποκρύβηθι μικρὸν ὅσον ὅσον, ἕως ἂν παρέλθῃ ἡ ὀργὴ Κυρίου.
[LXX | EL | OT | Isaiah | Chapter 26 | Verse 21] Ἰδοὺ γὰρ Κύριος ἀπὸ τοῦ ἁγίου ἐπάγει τὴν ὀργὴν ἐπὶ τοὺς ἐνοικοῦντασἐ πὶ τῆς γῆς· καὶ ἀνακαλύψει ἡ γῆ τὸ αἷμα αὐτῆς, καὶ οὐ κατακαλύψει τοὺς ἀνῃρημένους.
