[LXX | EL | OT | Isaiah | Chapter 16 | Verse 1] Ἀποστέλω ὡς ἑρπετὰ ἐπὶ τὴν γῆν· μὴ πέτρα ἔρημός ἐστι τὸ ὄρος θυγατρὸς Σιών;
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 2] Ἔσῃ γὰρ ὡς πετεινοῦ ἀνιπταμένου νοσσὸς ἀφῃρημένος, ἔσῃ θυγάτηρ Μωὰβ, ἔπειτα δέ Ἀρνῶν πλείονα
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 3] βουλεύου, ποίει τε σκέπην πένθους αὕτη διαπαντὸς, ἐν μεσημβρινῇ σκοτίᾳ φεύγουσιν, ἐξέστησαν· μὴ ἀχθῇς,
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 4] παροικήσουσί σοι οἱ φυγάδες Μωάβ· ἔσονται σκέπη ὑμῖν ἀπὸ προσώπου διώκοντος, ὅτι ἤρθη ἡ συμμαχία σου, καὶ ὁ ἄρχων ἀπώλετο ὁ καταπατῶν ἀπὸ τῆς γῆς.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 5] Καὶ διορθωθήσεται μετʼ ἐλέους θρόνος, καὶ καθιεῖται ἐπʼ αὐτοῦ μετὰ ἀληθείας ἐν σκηνῇ Δαυὶδ, κρίνων καὶ ἐκζητῶν κρίμα καὶ σπεύδων δικαιοσύνην.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 6] Ἠκούσαμεν τὴν ὕβριν Μωὰβ, ὑβριστὴς σφόδρα τὴν ὑπερηφανίαν ἐξῇρα· οὐχ οὕτως ἡ μαντεία σου, οὐχ οὕτως.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 7] Ὀλολύξει Μωὰβ, ἐν γὰρ τῇ Μωαβίτιδι πάντες ὀλολύξουσι τοῖς κατοικοῦσι δέ Σεθ μελετήσεις, καὶ οὐκ ἐντραπήσῃ.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 8] Τὰ πεδία Ἑσεβὼν πενθήσει, ἄμπελος Σεβαμά· καταπίνοντες τὰ ἔθνη, καταπατήστε τὰς ἀμπέλους αὐτῆς, ἕως Ἰαζήρ· οὐ μὴ συνάψητε, πλανήθητε τὴν ἔρημον, οἱ ἀπεσταλμένοι ἐνκατελείφθησαν, διέβησαν γὰρ πρὸς τὴν θάλασσαν.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 9] Διατοῦτο κλαύσομαι ὡς τὸν κλαυθμὸν Ἰαζὴρ ἄμπελον Σεβαμά· τὰ δένδρα σου κατέβαλεν Ἐσεβὼν καὶ Ἐλεαλὴ, ὅτι ἐπὶ τῷ θερισμῷ καὶ ἐπὶ τῷ τρυγητῷ σου καταπατήσω, καὶ πάντα πεσοῦνται.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 10] Καὶ ἀρθήσεται εὐφροσύνη καὶ ἀγαλλίαμα ἐκ τῶν ἀμπελώνων, καὶ ἐν τοῖς ἀμπελῶσί σου οὐ μὴ εὐφρανθήσονται, καὶ οὐ μὴ πατήσουσιν οἶνον εἰς τὰ ὑπολήνια, πέπαυται γάρ.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 11] Διατοῦτο ἡ κοιλία μου ἐπὶ Μωὰβ ὡς κιθάρα ἠχήσει, καὶ τὰ ἐντός μου ὡς τεῖχος ἐνεκαίνισας.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 12] Καὶ ἔσται εἰς τὸ ἐντραπῆναί σε, ὅτι ἐκοπίασε Μωὰβ ἐπὶ τοῖς βωμοῖς, καὶ εἰσελεύσεται εἰς τὰ χειροποίητα αὐτῆς, ὥστε προσεύξασθαι, καὶ οὐ μὴ δύνηται ἐξελέσθαι αὐτόν.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 13] Τοῦτο τὸ ῥῆμα ὃ ἐλάλησε Κύριος ἐπὶ Μωὰβ, ὁπότε ἐλάλησε.
[LXX | EL | OT | Isaiah | Chapter 16 | Verse 14] Καὶ νῦν λέγῳ, ἐν τρισὶν ἔτεσιν ἐτῶν μισθωτοῦ ἀτιμασθήσεται ἡ δόξα Μωὰβ παντὶ τῷ πλούτῳ τῷ πολλῷ, καὶ καταλειφθήσεται ὀλιγοστὸς, καὶ οὐκ ἔντιμος. ΤΟ ῬΗΜΑ ΤΟ ΚΑΤΑ ΔΑΜΑΣΚΟΥ.
