[DARBY | EN | OT | Micah | Chapter 3 | Verse 1] And I said, Hear, I pray you, ye heads of Jacob, and princes of the house of Israel: Is it not for you to know judgment?
[DARBY | EN | OT | Micah | Chapter 3 | Verse 2] Ye who hate the good, and love evil; who pluck off their skin from them, and their flesh from off their bones;
[DARBY | EN | OT | Micah | Chapter 3 | Verse 3] and who eat the flesh of my people, and flay their skin from off them, and break their bones, and chop them in pieces as for the pot, and as flesh within the cauldron.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 4] Then shall they cry unto Jehovah, but he will not answer them; and he will hide his face from them at that time, according as they have wrought evil in their doings.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 5] Thus saith Jehovah concerning the prophets that cause my people to err, that bite with their teeth, and cry, Peace! but whoso putteth not into their mouths they prepare war against him:
[DARBY | EN | OT | Micah | Chapter 3 | Verse 6] therefore ye shall have night without a vision; and it shall be dark unto you, without divination; and the sun shall go down upon the prophets, and the day shall be black over them.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 7] And the seers shall be ashamed, and the diviners confounded; and they shall all cover their lips, for there will be no answer of God.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 8] But truly I am filled with power by the Spirit of Jehovah, and with judgment and with might, to declare unto Jacob his transgression, and to Israel his sin.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 9] Hear this, I pray you, ye heads of the house of Jacob, and princes of the house of Israel, that abhor judgment, and pervert all equity,
[DARBY | EN | OT | Micah | Chapter 3 | Verse 10] that build up Zion with blood, and Jerusalem with unrighteousness.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 11] The heads thereof judge for reward, and the priests thereof teach for hire, and the prophets thereof divine for money; yet do they lean upon Jehovah, and say, Is not Jehovah in the midst of us? no evil shall come upon us.
[DARBY | EN | OT | Micah | Chapter 3 | Verse 12] Therefore shall Zion for your sake be ploughed [as] a field, and Jerusalem shall become heaps, and the mountain of the house as the high places of a forest.
