[IRV | PA | OT | Genesis | Chapter 16 | Verse 1] ਅਬਰਾਮ ਦੀ ਪਤਨੀ ਸਾਰਈ ਦੇ ਕੋਈ ਸੰਤਾਨ ਨਹੀਂ ਸੀ। ਉਹ ਦੇ ਕੋਲ ਇੱਕ ਮਿਸਰੀ ਦਾਸੀ ਸੀ, ਜਿਸ ਦਾ ਨਾਮ ਹਾਜ਼ਰਾ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 2] ਸਾਰਈ ਨੇ ਅਬਰਾਮ ਨੂੰ ਆਖਿਆ, ਵੇਖ, ਯਹੋਵਾਹ ਨੇ ਮੇਰੀ ਕੁੱਖ ਨੂੰ ਬੰਦ ਕਰ ਰੱਖਿਆ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਮੇਰੀ ਦਾਸੀ ਕੋਲ ਜਾ, ਸ਼ਾਇਦ ਮੈਂ ਉਸ ਤੋਂ ਸੰਤਾਨ ਵਾਲੀ ਬਣ ਜਾਂਵਾਂ। ਅਬਰਾਮ ਨੇ ਸਾਰਈ ਦੀ ਗੱਲ ਮੰਨ ਲਈ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 3] ਜਦੋਂ ਅਬਰਾਮ ਨੂੰ ਕਨਾਨ ਦੇਸ਼ ਵਿੱਚ ਵੱਸਦਿਆਂ ਦੱਸ ਸਾਲ ਹੋ ਗਏ, ਤਦ ਅਬਰਾਮ ਦੀ ਪਤਨੀ ਸਾਰਈ ਨੇ ਆਪਣੀ ਮਿਸਰੀ ਦਾਸੀ ਹਾਜ਼ਰਾ ਨੂੰ ਲੈ ਕੇ ਆਪਣੇ ਪਤੀ ਅਬਰਾਮ ਨੂੰ ਦਿੱਤਾ, ਕਿ ਉਹ ਉਸ ਦੀ ਪਤਨੀ ਹੋਵੇ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 4] ਉਹ ਹਾਜ਼ਰਾ ਕੋਲ ਗਿਆ ਅਤੇ ਉਹ ਗਰਭਵਤੀ ਹੋਈ। ਜਦ ਉਸ ਨੇ ਜਾਣਿਆ ਕਿ ਉਹ ਗਰਭਵਤੀ ਹੈ, ਤਦ ਉਹ ਦੀ ਮਾਲਕਣ ਉਹ ਦੀਆਂ ਅੱਖਾਂ ਵਿੱਚ ਤੁੱਛ ਹੋ ਗਈ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 5] ਸਾਰਈ ਨੇ ਅਬਰਾਮ ਨੂੰ ਆਖਿਆ, ਜੋ ਮੇਰੇ ਨਾਲ ਹੋਇਆ ਉਸਦਾ ਕਾਰਨ ਤੂੰ ਹੈ। ਮੈਂ ਆਪਣੀ ਦਾਸੀ ਨੂੰ ਤੇਰੀ ਪਤਨੀ ਹੋਣ ਲਈ ਆਪ ਦਿੱਤਾ ਅਤੇ ਜਦ ਉਸ ਨੇ ਜਾਣਿਆ ਕਿ ਉਹ ਗਰਭਵਤੀ ਹੈ ਤਾਂ ਮੇਰੀ ਕਦਰ ਉਹ ਦੀਆਂ ਅੱਖਾਂ ਵਿੱਚ ਘੱਟ ਗਈ। ਇਸ ਲਈ ਯਹੋਵਾਹ ਮੇਰਾ ਅਤੇ ਤੇਰਾ ਨਿਆਂ ਕਰੇ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 6] ਅਬਰਾਮ ਨੇ ਸਾਰਈ ਨੂੰ ਆਖਿਆ, ਵੇਖ, ਤੇਰੀ ਦਾਸੀ ਤੇਰੇ ਵੱਸ ਵਿੱਚ ਹੈ, ਜੋ ਤੇਰੀ ਨਿਗਾਹ ਵਿੱਚ ਚੰਗਾ ਹੈ ਤੂੰ ਉਸ ਨਾਲ ਉਹੀ ਕਰ। ਉਪਰੰਤ ਸਾਰਈ ਨੇ ਉਸ ਨਾਲ ਸਖ਼ਤੀ ਕੀਤੀ ਅਤੇ ਉਹ ਉਸ ਦੇ ਕੋਲੋਂ ਭੱਜ ਗਈ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 7] ਪਰ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਉਹ ਨੂੰ ਸ਼ੂਰ ਵਾਲੇ ਰਾਹ ਤੇ ਪਾਣੀ ਦੇ ਚਸ਼ਮੇ ਕੋਲ ਉਜਾੜ ਵਿੱਚ ਲੱਭਿਆ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 8] ਉਸ ਨੇ ਆਖਿਆ, ਹੇ ਹਾਜ਼ਰਾ ਸਾਰਈ ਦੀ ਦਾਸੀ, ਤੂੰ ਕਿੱਥੋਂ ਆਈ ਹੈਂ? ਅਤੇ ਕਿੱਧਰ ਜਾਣਾ ਹੈ? ਤਦ ਉਸ ਨੇ ਆਖਿਆ ਮੈਂ ਆਪਣੀ ਮਾਲਕਣ ਸਾਰਈ ਕੋਲੋਂ ਭੱਜ ਆਈ ਹਾਂ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 9] ਫੇਰ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਆਪਣੀ ਮਾਲਕਣ ਕੋਲ ਮੁੜ ਜਾ ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਉਸ ਦੇ ਅਧੀਨ ਕਰ ਦੇ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 10] ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਉਹ ਨੂੰ ਇਹ ਵੀ ਆਖਿਆ, ਮੈਂ ਤੇਰੀ ਅੰਸ ਨੂੰ ਐਨਾ ਵਧਾਵਾਂਗਾ ਕਿ ਉਹ ਵਾਧੇ ਦੇ ਕਾਰਨ ਗਿਣੀ ਨਾ ਜਾਵੇਗੀ।
[IRV | PA | OT | Genesis | Chapter 16 | Verse 11] ਅਤੇ ਯਹੋਵਾਹ ਦੇ ਦੂਤ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਵੇਖ, ਤੂੰ ਗਰਭਵਤੀ ਹੈਂ ਅਤੇ ਪੁੱਤਰ ਜਣੇਂਗੀ। ਤੂੰ ਉਸ ਦਾ ਨਾਮ ਇਸਮਾਏਲ ਰੱਖੀਂ ਕਿਉਂ ਜੋ ਯਹੋਵਾਹ ਨੇ ਤੇਰੇ ਦੁੱਖ ਨੂੰ ਸੁਣਿਆ ਹੈ।
