[IRV | PA | OT | Genesis | Chapter 6 | Verse 1] ਫਿਰ ਜਦ ਮਨੁੱਖ ਧਰਤੀ ਉੱਤੇ ਵਧਣ ਲੱਗ ਪਏ ਅਤੇ ਉਨ੍ਹਾਂ ਤੋਂ ਧੀਆਂ ਜੰਮੀਆਂ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 2] ਤਦ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰਾਂ ਨੇ ਮਨੁੱਖ ਦੀਆਂ ਧੀਆਂ ਨੂੰ ਵੇਖਿਆ ਕਿ ਉਹ ਸੋਹਣੀਆਂ ਹਨ, ਤਦ ਉਨ੍ਹਾਂ ਨੇ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਵਿੱਚੋਂ ਆਪਣੇ ਲਈ ਚੁਣ ਕੇ ਉਹਨਾਂ ਨਾਲ ਵਿਆਹ ਕਰ ਲਏ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 3] ਯਹੋਵਾਹ ਨੇ ਆਖਿਆ, ਮੇਰਾ ਆਤਮਾ ਮਨੁੱਖ ਦੇ ਵਿਰੁੱਧ ਸਦਾ ਤੱਕ ਵਾਦ-ਵਿਵਾਦ ਨਹੀਂ ਕਰਦਾ ਰਹੇਗਾ ਕਿਉਂਕਿ ਉਹ ਸਰੀਰ ਹੀ ਹੈ, ਉਸ ਦੀ ਉਮਰ ਇੱਕ ਸੌ ਵੀਹ ਸਾਲਾਂ ਦੀ ਹੋਵੇਗੀ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 4] ਉਨ੍ਹਾਂ ਦਿਨਾਂ ਵਿੱਚ ਧਰਤੀ ਉੱਤੇ ਦੈਂਤ ਵੱਸਦੇ ਸਨ ਅਤੇ ਇਸ ਤੋਂ ਬਾਅਦ ਜਦ ਪਰਮੇਸ਼ੁਰ ਦੇ ਪੁੱਤਰ ਆਦਮੀ ਦੀਆਂ ਧੀਆਂ ਕੋਲ ਆਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਉਨ੍ਹਾਂ ਲਈ ਜੋ ਪੁੱਤਰ ਜਣੇ ਉਹ ਸੂਰਬੀਰ ਸਨ ਜਿਹੜੇ ਸ਼ੁਰੂ ਤੋਂ ਪ੍ਰਸਿੱਧ ਹੋਏ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 5] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਵੇਖਿਆ ਕਿ ਆਦਮੀ ਦੀ ਬੁਰਿਆਈ ਧਰਤੀ ਉੱਤੇ ਵੱਧ ਗਈ ਹੈ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਮਨ ਵਿੱਚ ਪੈਦਾ ਹੋਣ ਵਾਲਾ ਹਰੇਕ ਵਿਚਾਰ ਬੁਰਿਆਈ ਨਾਲ ਭਰਿਆ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 6] ਯਹੋਵਾਹ ਧਰਤੀ ਉੱਤੇ ਆਦਮੀ ਦੀ ਸਿਰਜਣਾ ਕਰਕੇ ਪਛਤਾਇਆ ਅਤੇ ਉਹ ਮਨ ਵਿੱਚ ਦੁਖੀ ਹੋਇਆ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 7] ਤਦ ਯਹੋਵਾਹ ਨੇ ਆਖਿਆ, ਮੈਂ ਆਦਮੀ ਨੂੰ ਜਿਸ ਦੀ ਮੈਂ ਰਚਨਾ ਕੀਤੀ, ਹੈ, ਆਦਮੀ, ਡੰਗਰ, ਘਿੱਸਰਨ ਵਾਲੇ ਅਤੇ ਅਕਾਸ਼ ਦੇ ਪੰਛੀਆਂ ਨੂੰ ਵੀ ਧਰਤੀ ਦੇ ਉੱਤੋਂ ਮਿਟਾ ਦਿਆਂਗਾ, ਕਿਉਂ ਜੋ ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਬਣਾ ਕੇ ਪਛਤਾਉਂਦਾ ਹਾਂ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 8] ਪਰ ਨੂਹ ਉੱਤੇ ਯਹੋਵਾਹ ਦੀ ਕਿਰਪਾ ਹੋਈ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 9] ਇਹ ਨੂਹ ਦੀ ਵੰਸ਼ਾਵਲੀ ਹੈ। ਨੂਹ ਇੱਕ ਧਰਮੀ ਮਨੁੱਖ ਸੀ, ਆਪਣੀ ਪੀੜ੍ਹੀ ਵਿੱਚ ਸੰਪੂਰਨ ਸੀ ਅਤੇ ਨੂਹ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਲ-ਨਾਲ ਚਲਦਾ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 10] ਨੂਹ ਦੇ ਤਿੰਨ ਪੁੱਤਰ ਸਨ ਅਰਥਾਤ ਸ਼ੇਮ, ਹਾਮ ਅਤੇ ਯਾਫ਼ਥ।
[IRV | PA | OT | Genesis | Chapter 6 | Verse 11] ਧਰਤੀ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਵਿਗੜੀ ਹੋਈ ਸੀ ਅਤੇ ਜ਼ੁਲਮ ਨਾਲ ਭਰੀ ਹੋਈ ਸੀ।
