[IRV | PA | OT | Genesis | Chapter 9 | Verse 1] ਪਰਮੇਸ਼ੁਰ ਨੇ ਨੂਹ ਅਤੇ ਉਹ ਦੇ ਪੁੱਤਰਾਂ ਨੂੰ ਇਹ ਆਖ ਕੇ ਅਸੀਸ ਦਿੱਤੀ, ਫਲੋ ਅਤੇ ਵਧੋ ਅਤੇ ਧਰਤੀ ਨੂੰ ਭਰ ਦਿਉ
[IRV | PA | OT | Genesis | Chapter 9 | Verse 2] ਤੁਹਾਡਾ ਡਰ ਅਤੇ ਭੈਅ ਧਰਤੀ ਦੇ ਹਰੇਕ ਜਾਨਵਰ, ਅਕਾਸ਼ ਦੇ ਹਰੇਕ ਪੰਛੀ, ਹਰੇਕ ਪ੍ਰਾਣੀ ਉੱਤੇ ਜਿਹੜਾ ਜ਼ਮੀਨ ਉੱਤੇ ਘਿੱਸਰਦਾ ਹੈ ਅਤੇ ਸਮੁੰਦਰ ਦੀਆਂ ਸਾਰੀਆਂ ਮੱਛੀਆਂ ਉੱਤੇ ਹੋਵੇਗਾ, ਕਿਉਂ ਜੋ ਉਹ ਤੁਹਾਡੇ ਵੱਸ ਵਿੱਚ ਕੀਤੇ ਗਏ ਹਨ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 3] ਹਰੇਕ ਚੱਲਣ ਵਾਲਾ ਪ੍ਰਾਣੀ ਜਿਸ ਦੇ ਵਿੱਚ ਜੀਵਨ ਹੈ, ਤੁਹਾਡੇ ਭੋਜਨ ਲਈ ਹੈ। ਜਿਵੇਂ ਮੈਂ ਤੁਹਾਨੂੰ ਸਾਗ ਪੱਤ ਦਿੱਤਾ ਸੀ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੁਣ ਸਭ ਕੁਝ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 4] ਪਰ ਮਾਸ ਨੂੰ ਪ੍ਰਾਣ ਸਮੇਤ ਅਰਥਾਤ ਲਹੂ ਸਮੇਤ ਤੁਸੀਂ ਨਾ ਖਾਇਓ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 5] ਮੈਂ ਜ਼ਰੂਰ ਹੀ ਤੁਹਾਡੇ ਲਹੂ ਅਰਥਾਤ ਪ੍ਰਾਣ ਦਾ ਬਦਲਾ ਲਵਾਂਗਾ, ਹਰ ਇੱਕ ਜੰਗਲੀ ਜਾਨਵਰ ਅਤੇ ਮਨੁੱਖ ਦੋਵਾਂ ਤੋਂ ਉਸ ਦਾ ਬਦਲਾ ਲਵਾਂਗਾ ਅਤੇ ਹਰੇਕ ਮਨੁੱਖ ਦੀ ਜਾਨ ਦਾ ਬਦਲਾ ਮੈਂ ਉਸ ਦੇ ਭਰਾ ਤੋਂ ਲਵਾਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 6] ਜੋ ਮਨੁੱਖ ਦਾ ਲਹੂ ਵਹਾਵੇਗਾ, ਉਸ ਦਾ ਲਹੂ ਮਨੁੱਖ ਦੇ ਹੱਥੋਂ ਵਹਾਇਆ ਜਾਵੇਗਾ ਕਿਉਂਕਿ ਪਰਮੇਸ਼ੁਰ ਨੇ ਮਨੁੱਖ ਨੂੰ ਆਪਣੇ ਹੀ ਸਰੂਪ ਵਿੱਚ ਰਚਿਆ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 7] ਤੁਸੀਂ ਫਲੋ ਅਤੇ ਵਧੋ ਅਤੇ ਧਰਤੀ ਉੱਤੇ ਆਪਣੀ ਸੰਤਾਨ ਨੂੰ ਪੈਦਾ ਕਰਕੇ ਉਸ ਨੂੰ ਭਰ ਦਿਉ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 8] ਪਰਮੇਸ਼ੁਰ ਨੂਹ ਅਤੇ ਉਸ ਦੇ ਪੁੱਤਰਾਂ ਨਾਲ ਬੋਲਿਆ,
[IRV | PA | OT | Genesis | Chapter 9 | Verse 9] ਮੈਂ, ਵੇਖੋ, ਮੈਂ ਹੀ ਆਪਣਾ ਨੇਮ ਤੁਹਾਡੇ ਨਾਲ ਅਤੇ ਤੁਹਾਡੇ ਬਾਅਦ ਤੁਹਾਡੀ ਅੰਸ ਨਾਲ ਬੰਨ੍ਹਾਂਗਾ,
[IRV | PA | OT | Genesis | Chapter 9 | Verse 10] ਅਤੇ ਹਰੇਕ ਜੀਉਂਦੇ ਪ੍ਰਾਣੀ ਨਾਲ ਜੋ ਤੁਹਾਡੇ ਸੰਗ ਹੈ, ਅਰਥਾਤ ਹਰੇਕ ਪੰਛੀ, ਪਸ਼ੂ, ਧਰਤੀ ਦੇ ਹਰੇਕ ਜਾਨਵਰ, ਸਗੋਂ ਹਰ ਇੱਕ ਦੇ ਨਾਲ ਜਿਹੜਾ ਕਿਸ਼ਤੀ ਤੋਂ ਨਿੱਕਲਿਆ ਹੈ।
[IRV | PA | OT | Genesis | Chapter 9 | Verse 11] ਮੈਂ ਆਪਣਾ ਨੇਮ ਤੁਹਾਡੇ ਨਾਲ ਬੰਨ੍ਹਦਾ ਹਾਂ ਕਿ ਸਾਰੇ ਪ੍ਰਾਣੀਆਂ ਦਾ ਨਾਸ ਫੇਰ ਕਦੇ ਜਲ ਪਰਲੋ ਨਾਲ ਨਹੀਂ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਧਰਤੀ ਦਾ ਨਾਸ ਕਰਨ ਲਈ ਫੇਰ ਕਦੇ ਜਲ ਪਰਲੋ ਨਾ ਆਵੇਗੀ।
