[IRV | PA | OT | Genesis | Chapter 39 | Verse 1] ਯੂਸੁਫ਼ ਮਿਸਰ ਵਿੱਚ ਲਿਆਂਦਾ ਗਿਆ ਅਤੇ ਪੋਟੀਫ਼ਰ ਮਿਸਰੀ ਨੇ ਜਿਹੜਾ ਫ਼ਿਰਊਨ ਦਾ ਹਾਕਮ ਅਤੇ ਅੰਗ-ਰੱਖਿਅਕਾਂ ਦਾ ਪ੍ਰਧਾਨ ਸੀ, ਉਸ ਨੂੰ ਇਸਮਾਏਲੀਆਂ ਦੇ ਹੱਥੋਂ ਮੁੱਲ ਲੈ ਲਿਆ, ਜਿਹੜੇ ਉਸ ਨੂੰ ਉੱਥੇ ਲਿਆਏ ਸਨ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 2] ਯਹੋਵਾਹ ਯੂਸੁਫ਼ ਦੇ ਅੰਗ-ਸੰਗ ਸੀ, ਇਸ ਲਈ ਉਹ ਵੱਡਭਾਗਾ ਮਨੁੱਖ ਹੋ ਗਿਆ ਅਤੇ ਉਹ ਆਪਣੇ ਮਿਸਰੀ ਸੁਆਮੀ ਦੇ ਘਰ ਰਹਿੰਦਾ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 3] ਤਦ ਉਸ ਦੇ ਸੁਆਮੀ ਨੇ ਵੇਖਿਆ ਕਿ ਯਹੋਵਾਹ ਉਸ ਦੇ ਅੰਗ-ਸੰਗ ਹੈ ਅਤੇ ਜੋ ਵੀ ਕੰਮ ਉਹ ਕਰਦਾ ਹੈ ਉਸ ਦੇ ਹੱਥੋਂ ਉਹ ਸਫ਼ਲ ਕਰਾਉਂਦਾ ਹੈ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 4] ਸੋ ਯੂਸੁਫ਼ ਉੱਤੇ ਉਹ ਦੀ ਦਯਾ ਦੀ ਨਿਗਾਹ ਹੋਈ। ਯੂਸੁਫ਼ ਨੇ ਉਹ ਦੀ ਸੇਵਾ ਕੀਤੀ ਅਤੇ ਉਸ ਨੇ ਉਹ ਨੂੰ ਆਪਣੇ ਘਰ ਦਾ ਮੁਖ਼ਤਿਆਰ ਬਣਾ ਦਿੱਤਾ ਅਤੇ ਜੋ ਕੁਝ ਉਹ ਦਾ ਸੀ ਉਸ ਦੇ ਹੱਥ ਵਿੱਚ ਦੇ ਦਿੱਤਾ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 5] ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਜਿਸ ਵੇਲੇ ਤੋਂ ਉਸ ਨੇ ਉਹ ਨੂੰ ਆਪਣੇ ਘਰ ਦਾ ਅਤੇ ਆਪਣੀਆਂ ਸਭ ਚੀਜ਼ਾਂ ਦਾ ਮੁਖ਼ਤਿਆਰ ਬਣਾ ਦਿੱਤਾ, ਯਹੋਵਾਹ ਨੇ ਉਸ ਮਿਸਰੀ ਦੇ ਘਰ ਉੱਤੇ ਯੂਸੁਫ਼ ਦੇ ਕਾਰਨ ਬਹੁਤ ਬਰਕਤ ਦਿੱਤੀ ਅਤੇ ਯਹੋਵਾਹ ਦੀ ਬਰਕਤ ਉਸ ਦੀਆਂ ਸਭ ਚੀਜ਼ਾਂ ਉੱਤੇ ਹੋਈ, ਭਾਵੇਂ ਉਹ ਘਰ ਵਿੱਚ ਸਨ ਭਾਵੇਂ ਖੇਤ ਵਿੱਚ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 6] ਉਸ ਨੇ ਸਭ ਕੁਝ ਯੂਸੁਫ਼ ਦੇ ਹੱਥ ਵਿੱਚ ਸੌਂਪ ਦਿੱਤਾ ਅਤੇ ਉਸ ਨੇ ਆਪਣੀ ਖਾਣ ਦੀ ਰੋਟੀ ਤੋਂ ਛੁੱਟ ਹੋਰ ਕਿਸੇ ਚੀਜ਼ ਦੀ ਖ਼ਬਰ ਨਾ ਰੱਖੀ ਅਤੇ ਯੂਸੁਫ਼ ਰੂਪਵੰਤ ਅਤੇ ਸੋਹਣਾ ਸੀ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 7] ਇਹਨਾਂ ਗੱਲਾਂ ਦੇ ਪਿੱਛੋਂ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਉਸ ਦੇ ਸੁਆਮੀ ਦੀ ਪਤਨੀ ਆਪਣੀਆਂ ਅੱਖਾਂ ਯੂਸੁਫ਼ ਨਾਲ ਲਾਉਣ ਲੱਗ ਪਈ ਅਤੇ ਉਸ ਨੇ ਉਹ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰੇ ਨਾਲ ਲੇਟ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 8] ਪਰ ਉਸ ਨੇ ਨਾ ਮੰਨਿਆ ਅਤੇ ਆਪਣੇ ਸੁਆਮੀ ਦੀ ਪਤਨੀ ਨੂੰ ਆਖਿਆ, ਵੇਖੋ, ਮੇਰਾ ਸੁਆਮੀ ਨਹੀਂ ਜਾਣਦਾ ਕਿ ਘਰ ਵਿੱਚ ਮੇਰੇ ਕੋਲ ਕੀ ਕੁਝ ਹੈ ਅਤੇ ਉਸ ਨੇ ਆਪਣਾ ਸਭ ਕੁਝ ਮੇਰੇ ਹੱਥ ਵਿੱਚ ਦੇ ਦਿੱਤਾ ਹੈ
[IRV | PA | OT | Genesis | Chapter 39 | Verse 9] ਅਤੇ ਇਸ ਘਰ ਵਿੱਚ ਮੈਥੋਂ ਵੱਡਾ ਵੀ ਕੋਈ ਨਹੀਂ ਅਤੇ ਉਸ ਨੇ ਤੁਹਾਥੋਂ ਬਿਨ੍ਹਾਂ ਕੋਈ ਚੀਜ਼ ਮੇਰੇ ਕੋਲੋਂ ਰੋਕ ਕੇ ਵੀ ਨਹੀਂ ਰੱਖੀ, ਕਿਉਂ ਜੋ ਤੁਸੀਂ ਉਸ ਦੀ ਪਤਨੀ ਹੋ। ਮੈਂ ਐਡੀ ਵੱਡੀ ਬੁਰਿਆਈ ਅਤੇ ਪਾਪ ਪਰਮੇਸ਼ੁਰ ਦੇ ਵਿਰੁੱਧ ਕਿਵੇਂ ਕਰਾਂ?
[IRV | PA | OT | Genesis | Chapter 39 | Verse 10] ਤਦ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਉਹ ਹਰ ਰੋਜ਼ ਯੂਸੁਫ਼ ਨੂੰ ਆਖਦੀ ਰਹੀ ਪਰ ਉਸ ਨੇ ਉਹ ਦੀ ਗੱਲ ਨਾ ਮੰਨੀ ਕਿ ਉਹ ਉਸ ਦੇ ਨਾਲ ਲੇਟੇ ਜਾਂ ਉਸ ਦੇ ਕੋਲ ਰਹੇ।
[IRV | PA | OT | Genesis | Chapter 39 | Verse 11] ਇੱਕ ਦਿਨ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਉਹ ਘਰ ਵਿੱਚ ਆਪਣਾ ਕੰਮ ਕਰਨ ਲਈ ਗਿਆ ਅਤੇ ਘਰ ਦੇ ਮਨੁੱਖਾਂ ਵਿੱਚੋਂ ਕੋਈ ਵੀ ਘਰ ਵਿੱਚ ਨਹੀਂ ਸੀ।
