[IRV | PA | OT | Genesis | Chapter 49 | Verse 1] ਯਾਕੂਬ ਨੇ ਆਪਣੇ ਪੁੱਤਰਾਂ ਨੂੰ ਸੱਦ ਕੇ ਆਖਿਆ, ਇਕੱਠੇ ਹੋ ਜਾਓ ਤਾਂ ਜੋ ਮੈਂ ਤੁਹਾਨੂੰ ਦੱਸਾਂ, ਜੋ ਤੁਹਾਡੇ ਉੱਤੇ ਆਉਣ ਵਾਲਿਆਂ ਦਿਨਾਂ ਵਿੱਚ ਬੀਤੇਗਾ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 2] ਯਾਕੂਬ ਦੇ ਪੁੱਤਰੋ ਇਕੱਠੇ ਹੋ ਜਾਓ, ਸੁਣੋ, ਅਤੇ ਆਪਣੇ ਪਿਤਾ ਇਸਰਾਏਲ ਦੀ ਸੁਣੋ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 3] ਰਊਬੇਨ ਤੂੰ ਮੇਰਾ ਪਹਿਲੌਠਾ ਪੁੱਤਰ ਹੈਂ, ਮੇਰਾ ਬਲ ਤੇ ਮੇਰੀ ਸ਼ਕਤੀ ਦਾ ਮੁੱਢ ਹੈਂ। ਤੂੰ ਇੱਜ਼ਤ ਵਿੱਚ ਉੱਤਮ ਤੇ ਜ਼ੋਰ ਵਿੱਚ ਵੀ ਉੱਤਮ ਹੈਂ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 4] ਤੂੰ ਪਾਣੀ ਵਾਂਗੂੰ ਉਬਲਣ ਵਾਲਾ ਹੈ, ਪਰ ਤੂੰ ਉੱਚੀ ਪਦਵੀ ਨਾ ਪਾਵੇਂਗਾ ਕਿਉਂ ਜੋ ਤੂੰ ਆਪਣੇ ਪਿਤਾ ਦੇ ਮੰਜੇ ਉੱਤੇ ਚੜ੍ਹ ਗਿਆ। ਤਦ ਤੂੰ ਉਹ ਨੂੰ ਭਰਿਸ਼ਟ ਕੀਤਾ। ਉਹ ਮੇਰੇ ਬਿਸਤਰੇ ਉੱਤੇ ਚੜ੍ਹ ਗਿਆ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 5] ਸ਼ਿਮਓਨ ਅਤੇ ਲੇਵੀ ਭਰਾ-ਭਰਾ ਹਨ, ਉਨ੍ਹਾਂ ਦੀਆਂ ਤਲਵਾਰਾਂ ਜ਼ੁਲਮ ਦੇ ਸ਼ਸਤਰ ਹਨ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 6] ਹੇ ਮੇਰੇ ਮਨ, ਉਨ੍ਹਾਂ ਦੀ ਸੰਗਤ ਵਿੱਚ ਨਾ ਜਾ। ਹੇ ਮੇਰੀ ਮਹਿਮਾ, ਉਨ੍ਹਾਂ ਦੀ ਸਭਾ ਵਿੱਚ ਨਾ ਰਲ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਨੇ ਆਪਣੇ ਕ੍ਰੋਧ ਵਿੱਚ ਮਨੁੱਖਾਂ ਨੂੰ ਵੱਢ ਛੱਡਿਆ ਅਤੇ ਆਪਣੇ ਢੀਠਪੁਣੇ ਵਿੱਚ ਬਲ਼ਦਾਂ ਦੀਆਂ ਸੜਾਂ ਵੱਢ ਦਿੱਤੀਆਂ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 7] ਉਨ੍ਹਾਂ ਦਾ ਕ੍ਰੋਧ ਸਰਾਪਿਆ ਜਾਵੇ, ਕਿਉਂ ਜੋ ਉਹ ਭਿਅੰਕਰ ਸੀ; ਨਾਲੇ ਉਨ੍ਹਾਂ ਦਾ ਰੋਹ, ਕਿਉਂ ਜੋ ਉਹ ਕਠੋਰ ਸੀ। ਮੈਂ ਉਨ੍ਹਾਂ ਨੂੰ ਯਾਕੂਬ ਵਿੱਚ ਅਲੱਗ-ਅਲੱਗ ਕਰ ਛੱਡਾਂਗਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਇਸਰਾਏਲ ਵਿੱਚ ਖਿੰਡਾ ਦਿਆਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 8] ਹੇ ਯਹੂਦਾਹ ਤੇਰੇ ਭਰਾ ਤੇਰਾ ਧੰਨਵਾਦ ਕਰਨਗੇ, ਤੇਰਾ ਹੱਥ ਤੇਰੇ ਵੈਰੀਆਂ ਦੀ ਧੌਣ ਉੱਤੇ ਹੋਵੇਗਾ; ਤੇਰੇ ਪਿਤਾ ਦੇ ਪੁੱਤਰ ਤੇਰੇ ਅੱਗੇ ਨੀਵੇਂ ਹੋਣਗੇ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 9] ਯਹੂਦਾਹ ਸ਼ੇਰ ਦਾ ਬੱਚਾ ਹੈ। ਮੇਰੇ ਪੁੱਤਰ ਤੂੰ ਸ਼ਿਕਾਰ ਮਾਰ ਕੇ ਆਇਆ। ਉਹ ਸ਼ੇਰ ਦੀ ਤਰ੍ਹਾਂ ਸਗੋਂ ਸ਼ੇਰਨੀ ਦੀ ਤਰ੍ਹਾਂ ਦੱਬ ਕੇ ਬੈਠ ਗਿਆ। ਫਿਰ ਕੌਣ ਉਹ ਨੂੰ ਛੇੜੇਗਾ?
[IRV | PA | OT | Genesis | Chapter 49 | Verse 10] ਯਹੂਦਾਹ ਤੋਂ ਆੱਸਾ ਅਲੱਗ ਨਾ ਹੋਵੇਗਾ ਨਾ ਉਸ ਦੇ ਪੈਰਾਂ ਦੇ ਵਿੱਚੋਂ ਹਾਕਮ ਦਾ ਸੋਟਾ, ਜਦ ਤੱਕ ਸ਼ਾਂਤੀ ਦਾਤਾ ਨਾ ਆਵੇ ਅਤੇ ਲੋਕਾਂ ਦੀ ਆਗਿਆਕਾਰੀ ਉਸੇ ਵੱਲ ਹੋਵੇਗੀ।
[IRV | PA | OT | Genesis | Chapter 49 | Verse 11] ਉਹ ਆਪਣੇ ਗਧੇ ਨੂੰ ਦਾਖ਼ ਦੀ ਬੇਲ ਨਾਲ ਅਤੇ ਆਪਣੀ ਗਧੀ ਦੇ ਬੱਚੇ ਨੂੰ ਦਾਖ਼ ਦੇ ਉੱਤਮ ਬੂਟੇ ਨਾਲ ਬੰਨ੍ਹੇਗਾ। ਉਸ ਨੇ ਆਪਣੇ ਬਸਤਰ ਨੂੰ ਮਧ ਵਿੱਚ ਅਤੇ ਆਪਣਾ ਪਹਿਰਾਵਾ ਅੰਗੂਰਾਂ ਦੇ ਰਸ ਵਿੱਚ ਧੋਤਾ ਹੈ।
