[IRV | PA | OT | Genesis | Chapter 8 | Verse 1] ਫੇਰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਨੂਹ ਨੂੰ, ਹਰ ਜੰਗਲੀ ਜਾਨਵਰ ਨੂੰ, ਹਰ ਡੰਗਰ ਨੂੰ ਅਤੇ ਜੋ ਵੀ ਉਸ ਦੇ ਨਾਲ ਕਿਸ਼ਤੀ ਵਿੱਚ ਸਨ, ਯਾਦ ਕੀਤਾ। ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਧਰਤੀ ਉੱਤੇ ਹਵਾ ਵਗਾਈ ਅਤੇ ਜਿਸ ਕਾਰਨ ਪਾਣੀ ਘਟਣ ਲੱਗ ਪਿਆ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 2] ਡੁੰਘਿਆਈ ਦੇ ਸੋਤੇ ਅਤੇ ਅਕਾਸ਼ ਦੀਆਂ ਖਿੜਕੀਆਂ ਬੰਦ ਹੋ ਗਈਆਂ ਅਤੇ ਵਰਖਾ ਰੁੱਕ ਗਈ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 3] ਪਾਣੀ ਧਰਤੀ ਉੱਤੋਂ ਡੇਢ ਸੌ ਦਿਨਾਂ ਤੋਂ ਬਾਅਦ ਘਟਣ ਲੱਗ ਪਿਆ
[IRV | PA | OT | Genesis | Chapter 8 | Verse 4] ਕਿਸ਼ਤੀ ਸੱਤਵੇਂ ਮਹੀਨੇ ਦੇ ਸਤਾਰਵੇਂ ਦਿਨ ਅਰਾਰਾਤ ਪਰਬਤ ਉੱਤੇ ਟਿੱਕ ਗਈ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 5] ਅਤੇ ਪਾਣੀ ਦਸਵੇਂ ਮਹੀਨੇ ਤੱਕ ਘਟਦੇ ਗਏ। ਦਸਵੇਂ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਪਹਾੜਾਂ ਦੀਆਂ ਟੀਸੀਆਂ ਦਿੱਸ ਪਈਆਂ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 6] ਫਿਰ ਅਜਿਹਾ ਹੋਇਆ ਕਿ ਚਾਲ੍ਹੀਆਂ ਦਿਨਾਂ ਦੇ ਬਾਅਦ ਨੂਹ ਨੇ ਕਿਸ਼ਤੀ ਦੀ ਖਿੜਕੀ ਨੂੰ ਖੋਲ੍ਹ ਦਿੱਤਾ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 7] ਉਸ ਨੇ ਇੱਕ ਪਹਾੜੀ ਕਾਂ ਛੱਡਿਆ ਅਤੇ ਜਦ ਤੱਕ ਪਾਣੀ ਧਰਤੀ ਤੋਂ ਨਾ ਸੁੱਕ ਗਏ, ਉਹ ਆਉਂਦਾ ਜਾਂਦਾ ਰਿਹਾ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 8] ਫੇਰ ਉਸ ਨੇ ਘੁੱਗੀ ਵੀ ਆਪਣੇ ਵੱਲੋਂ ਛੱਡੀ ਤਾਂ ਜੋ ਉਹ ਵੇਖੇ ਕਿ ਪਾਣੀ ਜ਼ਮੀਨ ਦੇ ਉੱਤੋਂ ਘੱਟ ਗਿਆ ਹੈ ਕਿ ਨਹੀਂ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 9] ਪਰ ਉਸ ਘੁੱਗੀ ਨੂੰ ਆਪਣੇ ਪੈਰ ਦੇ ਪੰਜੇ ਲਈ ਟਿਕਾਣਾ ਨਾ ਮਿਲਿਆ ਸੋ ਉਹ ਕਿਸ਼ਤੀ ਵਿੱਚ ਉਹ ਦੇ ਕੋਲ ਮੁੜ ਆਈ, ਕਿਉਂ ਜੋ ਪਾਣੀ ਸਾਰੀ ਧਰਤੀ ਉੱਤੇ ਸੀ ਤਾਂ ਉਸ ਨੇ ਆਪਣਾ ਹੱਥ ਵਧਾ ਕੇ ਉਹ ਨੂੰ ਫੜ ਲਿਆ ਅਤੇ ਆਪਣੇ ਕੋਲ ਕਿਸ਼ਤੀ ਵਿੱਚ ਰੱਖ ਲਿਆ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 10] ਤਦ ਉਹ ਨੇ ਸੱਤ ਦਿਨ ਬਾਅਦ ਫੇਰ ਕਿਸ਼ਤੀ ਤੋਂ ਉਸ ਘੁੱਗੀ ਨੂੰ ਛੱਡਿਆ।
[IRV | PA | OT | Genesis | Chapter 8 | Verse 11] ਉਹ ਘੁੱਗੀ ਸ਼ਾਮ ਨੂੰ ਉਹ ਦੇ ਕੋਲ ਆਈ ਅਤੇ ਵੇਖੋ ਉਹ ਦੀ ਚੁੰਝ ਵਿੱਚ ਜ਼ੈਤੂਨ ਦਾ ਸੱਜਰਾ ਪੱਤਾ ਸੀ, ਇਸ ਤੋਂ ਨੂਹ ਨੇ ਜਾਣ ਲਿਆ ਕਿ ਪਾਣੀ ਧਰਤੀ ਉੱਤੋਂ ਘੱਟ ਗਿਆ ਹੈ।
