[IRV | PA | OT | Genesis | Chapter 14 | Verse 1] ਸ਼ਿਨਾਰ ਦੇ ਰਾਜਾ ਅਮਰਾਫ਼ਲ, ਅੱਲਾਸਾਰ ਦੇ ਰਾਜਾ ਅਰਯੋਕ, ਏਲਾਮ ਦੇ ਰਾਜਾ ਕਦਾਰਲਾਓਮਰ ਅਤੇ ਗੋਈਮ ਦੇ ਰਾਜਾ ਤਿਦਾਲ ਦੇ ਦਿਨਾਂ ਵਿੱਚ ਅਜਿਹਾ ਹੋਇਆ
[IRV | PA | OT | Genesis | Chapter 14 | Verse 2] ਕਿ ਇਨ੍ਹਾਂ ਨੇ ਸਦੂਮ ਦੇ ਰਾਜਾ ਬਰਾ, ਅਮੂਰਾਹ ਦੇ ਰਾਜਾ ਬਿਰਸਾ, ਅਦਮਾਹ ਦੇ ਰਾਜਾ ਸਿਨਾਬ, ਸਬੋਈਮ ਦੇ ਰਾਜਾ ਸਮੇਬਰ ਅਤੇ ਬਲਾ ਅਰਥਾਤ ਸੋਆਰ ਦੇ ਰਾਜਾ ਨਾਲ ਯੁੱਧ ਕੀਤਾ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 3] ਇਹ ਸਾਰੇ ਸਿੱਦੀਮ ਦੀ ਘਾਟੀ ਵਿੱਚ ਜੋ ਖਾਰਾ ਸਮੁੰਦਰ ਹੈ, ਇਕੱਠੇ ਹੋਏ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 4] ਬਾਰਾਂ ਸਾਲ ਤੱਕ ਉਹ ਕਦਾਰਲਾਓਮਰ ਦੇ ਅਧੀਨ ਰਹੇ ਪਰ ਤੇਰ੍ਹਵੇਂ ਸਾਲ ਵਿੱਚ ਵਿਦਰੋਹੀ ਹੋ ਗਏ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 5] ਚੌਧਵੇਂ ਸਾਲ ਵਿੱਚ ਕਦਾਰਲਾਓਮਰ ਅਤੇ ਉਹ ਰਾਜੇ ਜੋ ਉਹ ਦੇ ਨਾਲ ਆਏ ਸਨ, ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਰਫ਼ਾਈਆਂ ਨੂੰ, ਅਸਤਰੋਥ-ਕਰਨਇਮ ਵਿੱਚ ਅਤੇ ਜ਼ੂਜ਼ੀਆਂ ਨੂੰ ਹਾਮ ਵਿੱਚ, ਅਤੇ ਏਮੀਆਂ ਨੂੰ ਸਾਵੇਹ ਕਿਰਯਾਤਾਇਮ ਵਿੱਚ,
[IRV | PA | OT | Genesis | Chapter 14 | Verse 6] ਅਤੇ ਹੋਰੀਆਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਪਰਬਤ ਸੇਈਰ ਵਿੱਚ ਏਲ-ਪਾਰਾਨ ਤੱਕ, ਜੋ ਉਜਾੜ ਕੋਲ ਹੈ, ਮਾਰਿਆ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 7] ਉਹ ਉੱਥੋਂ ਮੁੜ ਕੇ ਏਨ ਮਿਸਪਾਟ ਅਰਥਾਤ ਕਾਦੇਸ਼ ਨੂੰ ਆਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੇ ਅਮਾਲੇਕੀਆਂ ਦੇ ਸਾਰੇ ਦੇਸ਼ ਨੂੰ, ਅਤੇ ਅਮੋਰੀਆਂ ਨੂੰ ਵੀ ਜੋ ਹਸਸੋਨ ਤਾਮਾਰ ਵਿੱਚ ਵੱਸਦੇ ਸਨ, ਮਾਰਿਆ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 8] ਤਦ ਸਦੂਮ, ਅਮੂਰਾਹ, ਅਦਮਾਹ, ਸਬੋਈਮ, ਬਲਾ ਅਰਥਾਤ ਸੋਆਰ ਦੇ ਰਾਜੇ ਨਿੱਕਲੇ ਅਤੇ ਉਨ੍ਹਾਂ ਨਾਲ ਸਿੱਦੀਮ ਦੀ ਘਾਟੀ ਵਿੱਚ ਲੜਨ ਲਈ ਕਤਾਰਾਂ ਬੰਨ੍ਹੀਆਂ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 9] ਅਰਥਾਤ ਏਲਾਮ ਦੇ ਰਾਜਾ ਕਦਾਰਲਾਓਮਰ, ਗੋਈਮ ਦੇ ਰਾਜਾ ਤਿਦਾਲ, ਸ਼ਿਨਾਰ ਦੇ ਰਾਜਾ ਅਮਰਾਫ਼ਲ, ਅੱਲਾਸਾਰ ਦੇ ਰਾਜਾ ਅਰਯੋਕ, ਇਹਨਾਂ ਚਾਰ ਰਾਜਿਆਂ ਦੇ ਵਿਰੁੱਧ ਉਹਨਾਂ ਪੰਜਾਂ ਨੇ ਕਤਾਰ ਬੰਨ੍ਹੀ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 10] ਸਿੱਦੀਮ ਦੀ ਘਾਟੀ ਵਿੱਚ ਜਿੱਥੇ ਚਿੱਕੜ ਦੇ ਟੋਏ ਹੀ ਟੋਏ ਸਨ, ਸਦੂਮ ਅਤੇ ਅਮੂਰਾਹ ਦੇ ਰਾਜੇ ਭੱਜੇ ਅਤੇ ਉਹਨਾਂ ਵਿੱਚ ਡਿੱਗ ਪਏ ਅਤੇ ਜਿਹੜੇ ਬਚ ਗਏ ਉਹ ਪਰਬਤ ਵੱਲ ਨੂੰ ਭੱਜੇ।
[IRV | PA | OT | Genesis | Chapter 14 | Verse 11] ਤਦ ਉਹ ਸਦੂਮ ਅਤੇ ਅਮੂਰਾਹ ਦਾ ਸਾਰਾ ਮਾਲ ਧਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦੀਆਂ ਸਾਰੀਆਂ ਭੋਜਨ ਵਸਤਾਂ ਲੁੱਟ ਕੇ ਚਲੇ ਗਏ।
