[IRV | PA | OT | Genesis | Chapter 17 | Verse 1] ਜਦ ਅਬਰਾਮ ਨੜਿੰਨਵੇਂ ਸਾਲ ਦਾ ਹੋਇਆ ਤਦ ਯਹੋਵਾਹ ਨੇ ਅਬਰਾਮ ਨੂੰ ਦਰਸ਼ਣ ਦਿੱਤਾ ਅਤੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਸਰਬ ਸ਼ਕਤੀਮਾਨ ਪਰਮੇਸ਼ੁਰ ਹਾਂ। ਤੂੰ ਮੇਰੇ ਸਨਮੁਖ ਚੱਲ ਅਤੇ ਸੰਪੂਰਨ ਹੋ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 2] ਮੈਂ ਆਪਣਾ ਨੇਮ ਆਪਣੇ ਅਤੇ ਤੇਰੇ ਵਿੱਚ ਬੰਨ੍ਹਾਂਗਾ ਅਤੇ ਮੈਂ ਤੈਨੂੰ ਹੱਦੋਂ ਬਾਹਲਾ ਵਧਾਵਾਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 3] ਤਦ ਅਬਰਾਮ ਆਪਣੇ ਮੂੰਹ ਦੇ ਭਾਰ ਡਿੱਗਿਆ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਉਹ ਦੇ ਨਾਲ ਇਹ ਗੱਲ ਕੀਤੀ
[IRV | PA | OT | Genesis | Chapter 17 | Verse 4] ਭਈ ਵੇਖ ਮੇਰਾ ਨੇਮ ਤੇਰੇ ਨਾਲ ਹੈ ਅਤੇ ਤੂੰ ਬਹੁਤੀਆਂ ਕੌਮਾਂ ਦਾ ਪਿਤਾ ਹੋਵੇਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 5] ਤੇਰਾ ਨਾਮ ਫੇਰ ਅਬਰਾਮ ਨਹੀਂ ਸੱਦਿਆ ਜਾਵੇਗਾ, ਪਰ ਤੇਰਾ ਨਾਮ ਅਬਰਾਹਾਮ ਹੋਵੇਗਾ ਕਿਉਂਕਿ ਮੈਂ ਤੈਨੂੰ ਬਹੁਤੀਆਂ ਕੌਮਾਂ ਦਾ ਪਿਤਾ ਠਹਿਰਾ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 6] ਮੈਂ ਤੈਨੂੰ ਹੱਦੋਂ ਬਾਹਲਾ ਫਲਵੰਤ ਬਣਾਵਾਂਗਾ, ਮੈਂ ਤੈਥੋਂ ਕੌਮਾਂ ਬਣਾਵਾਂਗਾ ਅਤੇ ਤੇਰੀ ਪੀੜ੍ਹੀ ਤੋਂ ਰਾਜੇ ਨਿੱਕਲਣਗੇ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 7] ਮੈਂ ਆਪਣਾ ਨੇਮ ਆਪਣੇ ਅਤੇ ਤੇਰੀ ਅੰਸ ਦੇ ਵਿੱਚ ਜੋ ਤੇਰੇ ਬਾਅਦ ਹੋਵੇਗੀ ਸਗੋਂ ਉਨ੍ਹਾਂ ਦੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਇੱਕ ਅਨੰਤ ਨੇਮ ਕਰਕੇ ਬੰਨ੍ਹਾਂਗਾ, ਮੈਂ ਤੇਰਾ ਅਤੇ ਤੇਰੇ ਬਾਅਦ ਤੇਰੀ ਅੰਸ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹੋਵਾਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 8] ਮੈਂ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਬਾਅਦ ਤੇਰੇ ਵੰਸ਼ ਨੂੰ ਵੀ ਇਹ ਸਾਰਾ ਕਨਾਨ ਦੇਸ਼ ਜਿਸ ਵਿੱਚ ਤੂੰ ਪਰਦੇਸੀ ਹੋ ਕੇ ਰਹਿੰਦਾ ਹੈ, ਸਦਾ ਦੀ ਵਿਰਾਸਤ ਹੋਣ ਲਈ ਦੇ ਦਿਆਂਗਾ ਅਤੇ ਮੈਂ ਉਨ੍ਹਾਂ ਦਾ ਪਰਮੇਸ਼ੁਰ ਹੋਵਾਂਗਾ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 9] ਪਰਮੇਸ਼ੁਰ ਨੇ ਅਬਰਾਹਾਮ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰੇ ਨੇਮ ਦੀ ਪਾਲਣਾ ਕਰ, ਤੂੰ ਅਤੇ ਤੇਰੇ ਬਾਅਦ ਤੇਰੀ ਅੰਸ ਉਨ੍ਹਾਂ ਦੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੱਕ ਇਸ ਨੇਮ ਦੀ ਪਾਲਣਾ ਕਰਨ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 10] ਮੇਰਾ ਇਹ ਨੇਮ, ਜਿਸ ਦੀ ਪਾਲਣਾ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਬਾਅਦ ਅੰਸ ਨੂੰ ਕਰਨੀ ਹੈ, ਉਹ ਇਹ ਹੈ: ਤੁਹਾਡੇ ਵਿੱਚੋਂ ਹਰ ਇੱਕ ਪੁਰਖ ਦੀ ਸੁੰਨਤ ਕੀਤੀ ਜਾਵੇ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 11] ਤੁਸੀਂ ਆਪਣੇ ਬਦਨ ਦੀ ਖੱਲੜੀ ਦੀ ਸੁੰਨਤ ਕਰਾਓ ਅਤੇ ਇਹ ਮੇਰੇ ਅਤੇ ਤੁਹਾਡੇ ਵਿੱਚ ਉਸ ਨੇਮ ਦਾ ਨਿਸ਼ਾਨ ਹੋਵੇਗਾ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 12] ਤੁਹਾਡੇ ਵਿੱਚ ਹਰ ਇੱਕ ਅੱਠਾਂ ਦਿਨਾਂ ਦੇ ਨਰ ਦੀ ਸੁੰਨਤ ਪੀੜ੍ਹੀਓਂ ਪੀੜ੍ਹੀ ਕੀਤੀ ਜਾਵੇ, ਭਾਵੇਂ ਉਹ ਤੇਰੇ ਘਰਾਣੇ ਦਾ ਹੋਵੇ, ਭਾਵੇਂ ਉਹ ਕਿਸੇ ਪਰਦੇਸੀ ਤੋਂ ਜੋ ਤੇਰੀ ਅੰਸ ਦਾ ਨਹੀਂ ਹੈ ਚਾਂਦੀ ਨਾਲ ਮੁੱਲ ਲਿਆ ਹੋਵੇ।
[IRV | PA | OT | Genesis | Chapter 17 | Verse 13] ਜੋ ਤੇਰੇ ਘਰਾਣੇ ਵਿੱਚ ਪੈਦਾ ਹੋਵੇ ਅਤੇ ਚਾਂਦੀ ਨਾਲ ਮੁੱਲ ਲਏ ਹੋਣ, ਉਨ੍ਹਾਂ ਦੀ ਸੁੰਨਤ ਜ਼ਰੂਰ ਕੀਤੀ ਜਾਵੇ। ਇਸ ਤਰ੍ਹਾਂ ਮੇਰਾ ਨੇਮ ਜਿਸ ਦਾ ਨਿਸ਼ਾਨ ਤੁਹਾਡੇ ਸਰੀਰ ਵਿੱਚ ਹੋਵੇਗਾ ਉਹ ਇੱਕ ਅਨੰਤ ਨੇਮ ਹੋਵੇਗਾ।
