[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 1] But the Spirit distinctly says that in later times there will be some who will fall away from the faith, and devote their attention to misleading spirits, and to the teaching of demons,
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 2] who will make use of the hypocrisy of lying teachers. These people’s consciences are seared,
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 3] and they discourage marriage and enjoin abstinence from certain kinds of food; though God created these foods to be enjoyed thankfully by those who hold the faith and have attained a full knowledge of the truth.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 4] Everything created by God is good, and there in nothing that need be rejected – provided only that it is received thankfully;
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 5] for it is consecrated by God’s blessing and by prayer.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 6] Put all this before the followers, and you will be a good servant of Christ Jesus, sustained by the precepts of the faith and of that good teaching by which you have guided your life.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 7] As for profane legends and old wives’ tales, leave them alone. Train yourself to lead a religious life;
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 8] for while the training of the body is of service in some respects, religion is of service in all, carrying with it, as it does, a promise of life both here and hereafter.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 9] How true that saying is and worthy of the fullest acceptance!
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 10] With that aim we toil and struggle, for we have set our hopes on the living God, who is the Saviour of all, and especially of those who hold the faith.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 11] Remember these things in your teaching.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 12] Do not let anyone look down on you because you are young, but, by your conversation, your conduct, your love, your faith, and your purity, be an example to those who hold the faith.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 13] Until I come, apply yourself to public reading, preaching, and teaching.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 14] Do not neglect the divine gift within you, which was given you, amid many a prediction, when the hands of the church elders were laid on your head.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 15] Practice these things, devote yourself to them, so that your progress may be plain to everyone.
[OEB | EN | NT | 1 Timothy | Chapter 4 | Verse 16] Look to yourself as well as to your teaching. Persevere in this, for your doing so will mean salvation for yourself as well as for your hearers.
