[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 1] Do not reprimand an older man, but plead with him as if he were your father. Treat the young men as brothers,
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 2] the older women as mothers, and the younger women as sisters – with all purity.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 3] Show consideration for widows – I mean those who are really widowed.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 4] But, if a widow has children or grandchildren, they should learn to show proper regard for the members of their own family first, and to make some return to their parents; for that is pleasing in God’s sight.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 5] As for the woman who is really widowed and left quite alone, her hopes are fixed on God, and she devotes herself to prayers and supplications night and day.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 6] But the life of a widow who is devoted to pleasure is a living death.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 7] Those are the points you should teach, so that there may be no call for your censure.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 8] Anyone who fails to provide for their own relatives, and especially for those under their own roof, has disowned the faith, and is worse than an unbeliever.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 9] A widow, when her name is added to the list, should not be less than sixty years old; she should have been a faithful wife,
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 10] and be well spoken of for her kind actions. She should have brought up children, have shown hospitality to strangers, have washed the feet of her fellow Christians, have relieved those who were in distress, and devoted herself to every kind of good action.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 11] But you should exclude the younger widows from the list; for, when they grow restive under the yoke of the Christ, they want to marry,
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 12] and so they bring condemnation on themselves for having broken their previous promise.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 13] And not only that, but they learn to be idle as they go about from house to house. Nor are they merely idle, but they also become gossips and busybodies, and talk of what they ought not.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 14] Therefore I advise young widows to marry, bear children, and attend to their homes, and so avoid giving the enemy an opportunity for scandal.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 15] There are some who have already left us, to follow Satan.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 16] Any Christian woman, who has relatives who are widows, ought to relieve them and not allow them to become a burden to the church, so that the church may relieve those widows who are really widowed.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 17] Those church elders who fill their office well should be held deserving of especial consideration, particularly those whose work lies in preaching and teaching.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 18] The words of scripture are – “You should not muzzle the ox while it is treading out the grain.” and again – “The worker is worth their wages.”
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 19] Do not entertain a charge against an church elder, unless it is supported by two or three witnesses;
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 20] but rebuke offenders publicly, so that others may take warning.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 21] I charge you solemnly, before God and Christ Jesus and the chosen angels, to carry out these directions, unswayed by prejudice, never acting with partiality.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 22] Never ordain anyone hastily, and take no part in the wrongdoing of others. Keep your life pure.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 23] Do not continue to drink water only, but take a little wine because of the weakness of your stomach, and your frequent ailments.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 24] There are some people whose sins are conspicuous and lead on to judgment, while there are others whose sins dog their steps.
[OEB | EN | NT | 1 Timothy | Chapter 5 | Verse 25] In the same way noble deeds become conspicuous, and those which are otherwise cannot be concealed.
