[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 1] How true is this saying: “To aspire to be to be a supervisor in the church is to be ambitious for a noble task.”
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 2] The supervisor should be of blameless character; a faithful partner; living a temperate, discreet, and well-ordered life; hospitable, and a skilful teacher,
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 3] not addicted to drink or brawling, but of a forbearing and peaceable disposition, and not a lover of money;
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 4] they should provide for their own household well, and their children should kept under control and be well-behaved.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 5] If someone does not know how to provide for their own household, how can they take charge of the church of God?
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 6] The supervisor should not be a recent convert, or they might become blinded by pride and fall under the same judgement as the devil.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 7] They should also be well spoken of by outsiders, so that they may not incur censure and so fall into the devil’s trap.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 8] So, too, assistants should be serious and straightforward, not given to taking much drink or to questionable money-making,
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 9] but people who hold the deep truths of the faith and have a clear conscience.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 10] They should be tested first, and only appointed to their office if no objection is raised against them.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 11] It should be the same with the women in this office. They should be serious, not gossips, sober, and trustworthy in all respects.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 12] Assistants should be faithful partners who manage their children and their households well.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 13] Those who have filled that post with honour gain for themselves an honourable position, as well as great confidence through the faith that they place in Christ Jesus.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 14] I am writing this to you, though I hope that I will come to see you before long;
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 15] but in case I should be delayed, I want you to know what your conduct ought to be in the household of God, which is the church of the living God – the pillar and stay of the truth.
[OEB | EN | NT | 1 Timothy | Chapter 3 | Verse 16] Yes, and undeniably wonderful are the deep truths of our religion; for – “He was revealed in our nature, pronounced righteous in spirit, seen by angels, proclaimed among the Gentiles, believed on in the world, taken up into glory.”
