[IRV | ML | NT | Romans | Chapter 14 | Verse 1] സംശയവിചാരങ്ങളെ വിധിക്കാതെ വിശ്വാസത്തിൽ ബലഹീനനായവനെ ചേർത്തുകൊൾവിൻ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 2] ഒരുവൻ എല്ലാം തിന്നാമെന്നു വിശ്വസിക്കുന്നു; ബലഹീനനോ സസ്യാദികളെ തിന്നുന്നു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 3] തിന്നുന്നവൻ തിന്നാത്തവനെ ധിക്കരിക്കരുതു; തിന്നാത്തവൻ തിന്നുന്നവനെ വിധിക്കരുതു; ദൈവം അവനെ കൈക്കൊണ്ടിരിക്കുന്നുവല്ലോ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 4] മറ്റൊരുത്തന്റെ ദാസനെ വിധിപ്പാൻ നീ ആർ? അവൻ നില്ക്കുന്നതോ വീഴുന്നതോ സ്വന്തയജമാനന്നത്രേ; അവൻ നില്ക്കുംതാനും; അവനെ നില്ക്കുമാറാക്കുവാൻ കർത്താവിന്നു കഴിയുമല്ലോ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 5] ഒരുവൻ ഒരു ദിവസത്തെക്കാൾ മറ്റൊരു ദിവസത്തെ മാനിക്കുന്നു; വേറൊരുവൻ സകലദിവസങ്ങളെയും മാനിക്കുന്നു; ഓരോരുത്തൻ താന്താന്റെ മനസ്സിൽ ഉറെച്ചിരിക്കട്ടെ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 6] ദിവസത്തെ ആദരിക്കുന്നവൻ കർത്താവിന്നായി ആദരിക്കുന്നു; തിന്നുന്നവൻ കർത്താവിന്നായി തിന്നുന്നു; അവൻ ദൈവത്തെ സ്തുതിക്കുന്നുവല്ലോ; തിന്നാത്തവൻ കർത്താവിന്നായി തിന്നാതിരിക്കുന്നു; അവനും ദൈവത്തെ സ്തുതിക്കുന്നു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 7] നമ്മിൽ ആരും തനിക്കായി തന്നേ ജീവിക്കുന്നില്ല. ആരും തനിക്കായി തന്നേ മരിക്കുന്നതുമില്ല.
[IRV | ML | NT | Romans | Chapter 14 | Verse 8] ജീവിക്കുന്നു എങ്കിൽ നാം കർത്താവിന്നായി ജീവിക്കുന്നു; മരിക്കുന്നു എങ്കിൽ കർത്താവിന്നായി മരിക്കുന്നു; അതുകൊണ്ടു ജീവിക്കുന്നു എങ്കിലും മരിക്കുന്നു എങ്കിലും നാം കർത്താവിന്നുള്ളവർ തന്നേ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 9] മരിച്ചവർക്കും ജീവിച്ചിരിക്കുന്നവർക്കും കർത്താവു ആകേണ്ടതിന്നല്ലോ ക്രിസ്തു മരിക്കയും ഉയിർക്കയും ചെയ്തതു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 10] എന്നാൽ നീ സഹോദരനെ വിധിക്കുന്നതു എന്തു? അല്ല, നീ സഹോദരനെ ധിക്കരിക്കുന്നതു എന്തു? നാം എല്ലാവരും ദൈവത്തിന്റെ ന്യായാസനത്തിന്നു മുമ്പാകെ നിൽക്കേണ്ടിവരും.
[IRV | ML | NT | Romans | Chapter 14 | Verse 11] “എന്നാണ എന്റെ മുമ്പിൽ എല്ലാമുഴങ്കാലും മടങ്ങും, എല്ലാനാവും ദൈവത്തെ സ്തുതിക്കും എന്നു കർത്താവു അരുളിച്ചെയ്യുന്നു” എന്നു എഴുതിയിരിക്കുന്നുവല്ലോ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 12] ആകയാൽ നമ്മിൽ ഓരോരുത്തൻ ദൈവത്തോടു കണക്കു ബോധിപ്പിക്കേണ്ടിവരും.
[IRV | ML | NT | Romans | Chapter 14 | Verse 13] അതുകൊണ്ടു നാം ഇനി അന്യോന്യം വിധിക്കരുതു; സഹോദരന്നു ഇടർച്ചയോ തടങ്ങലോ വെക്കാതിരിപ്പാൻ മാത്രം ഉറെച്ചുകൊൾവിൻ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 14] യാതൊന്നും സ്വതവെ മലിനമല്ല എന്നു ഞാൻ കർത്താവായ യേശുവിൽ അറിഞ്ഞും ഉറെച്ചുമിരിക്കുന്നു. വല്ലതും മലിനം എന്നു എണ്ണുന്നവന്നു മാത്രം അതു മലിനം ആകുന്നു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 15] നിന്റെ ഭക്ഷണംനിമിത്തം സഹോദരനെ വ്യസനിപ്പിച്ചാൽ നീ സ്നേഹപ്രകാരം നടക്കുന്നില്ല. ആർക്കുവേണ്ടി ക്രിസ്തു മരിച്ചുവോ അവനെ നിന്റെ ഭക്ഷണംകൊണ്ടു നശിപ്പിക്കരുതു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 16] നിങ്ങളുടെ നന്മെക്കു ദൂഷണം വരുത്തരുതു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 17] ദൈവരാജ്യം ഭക്ഷണവും പാനീയവുമല്ല, നീതിയും സമാധാനവും പരിശുദ്ധാത്മാവിൽ സന്തോഷവും അത്രേ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 18] അതിൽ ക്രിസ്തുവിനെ സേവിക്കുന്നവൻ ദൈവത്തെ പ്രസാദിപ്പിക്കുന്നവനും മനുഷ്യർക്കു കൊള്ളാകുന്നവനും തന്നേ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 19] ആകയാൽ നാം സമാധാനത്തിന്നും അന്യോന്യം ആത്മികവർദ്ധനെക്കും ഉള്ളതിന്നു ശ്രമിച്ചുകൊൾക.
[IRV | ML | NT | Romans | Chapter 14 | Verse 20] ഭക്ഷണംനിമിത്തം ദൈവനിർമ്മാണത്തെ അഴിക്കരുതു. എല്ലാം ശുദ്ധം തന്നേ; എങ്കിലും ഇടർച്ച വരുത്തുമാറു തിന്നുന്ന മനുഷ്യനു അതു ദോഷമത്രേ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 21] മാംസം തിന്നാതെയും വീഞ്ഞു കുടിക്കാതെയും സഹോദരന്നു ഇടർച്ച വരുത്തുന്ന യാതൊന്നും ചെയ്യാതെയും ഇരിക്കുന്നതു നല്ലതു.
[IRV | ML | NT | Romans | Chapter 14 | Verse 22] നിനക്കുള്ള വിശ്വാസം ദൈവസന്നിധിയിൽ നിനക്കു തന്നേ ഇരിക്കട്ടെ; താൻ സ്വീകരിക്കുന്നതിൽ തന്നെത്താൻ വിധിക്കാത്തവൻ ഭാഗ്യവാൻ.
[IRV | ML | NT | Romans | Chapter 14 | Verse 23] എന്നാൽ സംശയിക്കുന്നവൻ തിന്നുന്നു എങ്കിൽ അതു വിശ്വാസത്തിൽ നിന്നു ഉത്ഭവിക്കായ്കകൊണ്ടു അവൻ കുറ്റക്കാരനായിരിക്കുന്നു. വിശ്വാസത്തിൽ നിന്നു ഉത്ഭവിക്കാത്തതൊക്കെയും പാപമത്രേ.
