[DRA | EN | OT | Malachi | Chapter 3 | Verse 1] Behold I send my angel, and he shall prepare the way before my face. And presently the Lord, whom you seek, and the angel of the testament, whom you desire, shall come to his temple. Behold he cometh, saith the Lord of hosts.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 2] And who shall be able to think of the day of his coming? and who shall stand to see him? for he is like a refining fire, and like the fuller’s herb:
[DRA | EN | OT | Malachi | Chapter 3 | Verse 3] And he shall sit refining and cleansing the silver, and he shall purify the sons of Levi, and shall refine them as gold, and as silver, and they shall offer sacrifices to the Lord in justice.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 4] And the sacrifice of Juda and of Jerusalem shall please the Lord, as in the days of old, and in the ancient years.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 5] And I will come to you in judgment, and will be a speedy witness against sorcerers, and adulterers, and false swearers, and them that oppress the hireling in his wages; the widows, and the fatherless: and oppress the stranger, and have not feared me, saith the Lord of hosts.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 6] For I am the Lord, and I change not: and you the sons of Jacob are not consumed.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 7] For from the days of your fathers you have departed from my ordinances, and have not kept them: Return to me, and I will return to you, saith the Lord of hosts. And you have said: Wherein shall we return?
[DRA | EN | OT | Malachi | Chapter 3 | Verse 8] Shall a man afflict God? for you afflict me. And you have said: Wherein do we afflict thee? in tithes and in firstfruits.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 9] And you are cursed with want, and you afflict me, even the whole nation of you.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 10] Bring all the tithes into the storehouse, that there may be meat in my house, and try me in this, saith the Lord: if I open not unto you the flood-gates of heaven, and pour you out a blessing even to abundance.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 11] And I will rebuke for your sakes the devourer, and he shall not spoil the fruit of your land: neither shall the vine in the field be barren, saith the Lord of hosts.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 12] And all nations shall call you blessed: for you shall be a delightful land, saith the Lord of hosts.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 13] Your words have been unsufferable to me, saith the Lord.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 14] And you have said: What have we spoken against thee? You have said: He laboureth in vain that serveth God, and what profit is it that we have kept his ordinances, and that we have walked sorrowful before the Lord of hosts?
[DRA | EN | OT | Malachi | Chapter 3 | Verse 15] Wherefore now we call the proud people happy, for they that work wickedness are built up, and they have tempted God and are preserved.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 16] Then they that feared the Lord spoke every one with his neighbour: and the Lord gave ear, and heard it: and a book of remembrance was written before him for them that fear the Lord, and think on his name.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 17] And they shall be my special possession, saith the Lord of hosts, in the day that I do judgment: and I will spare them, as a man spareth his son that serveth him.
[DRA | EN | OT | Malachi | Chapter 3 | Verse 18] And you shall return, and shall see the difference between the just and the wicked: and between him that serveth God, and him that serveth him not.
