[IRV | GU | OT | Numbers | Chapter 29 | Verse 1] સાતમાં મહિનાના પ્રથમ દિવસે તમારે યહોવાહના આદરમાં પવિત્રસભા રાખવી. રોજનું નિયત કામ કરવું નહિ. તે દિવસ તમારે માટે રણશિંગડાં વગાડવાનો છે.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 2] તે દિવસે તમે સુવાસને સારુ યહોવાહને દહનીયાર્પણ ચઢાવો. તમે ખામી વગરનો વાછરડો, એક ઘેટો, એક વર્ષની ઉંમરનાં સાત હલવાન ચઢાવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 3] તેઓનું ખાદ્યાર્પણ તેલથી મોહેલા મેંદાનું, વાછરડાની સાથે ત્રણ દશાંશ એફાહ અને ઘેટાંની સાથે બે દશાંશ એફાહ ચઢાવ.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 4] સાત હલવાનોમાંના દરેક હલવાનને સારુ એક એફાહ.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 5] પોતાના માટે પ્રાયશ્ચિત કરવા પાપાર્થાર્પણ તરીકે એક બકરો ચઢાવવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 6] દરેક મહિનાને પહેલું દહનીયાર્પણ, તેનું ખાદ્યાર્પણ, રોજનું ખાદ્યાર્પણ તથા તેનાં પેયાર્પણો ચઢાવવાં. જ્યારે તું આ અર્પણો ચઢાવે ત્યારે યહોવાહને સારુ સુવાસિત હોમયજ્ઞ ચઢાવવાના વિધિ તું પાળજે.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 7] સાતમા મહિનાને દસમે દિવસે યહોવાહના આદરમાં પવિત્રસભા રાખવી. તે દિવસે તમારે પોતાને નમ્ર કરવું અને કોઈ કામ ન કરવું.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 8] તમારે યહોવાહને સુવાસિત દહનીયાર્પણ ચઢાવવો. તમે ખામી વગરનો એક વાછરડો, એક ઘેટો તથા એક વર્ષની ઉંમરના સાત નર હલવાનો ચઢાવો.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 9] તમારે વાછરડા સાથે ત્રણ દશાંશ એફાહ તેલથી મોહેલો મેંદો અને ઘેટા સાથે બે દશાંશ એફાહ મેંદો ચઢાવવો,
[IRV | GU | OT | Numbers | Chapter 29 | Verse 10] એક દશાંશ એફાહ સાત હલવાનોમાંના દરેક હલવાન માટે.
[IRV | GU | OT | Numbers | Chapter 29 | Verse 11] વળી પાપાર્થાર્પણ માટે તમારે એક બકરાનું બલિદાન આપવું. પ્રાયશ્ચિતના દિવસનું પાપાર્થાર્પણ વર્ષમાં એક વખત તે પ્રાયશ્ચિતના દિવસે અર્પણ કરવામાં આવતું અને પ્રતિદિન થતાં દહનીયાર્પણ, ખાદ્યાર્પણો અને પેયાર્પણો ઉપરાંતનું આ અર્પણ છે.
