[LXX | EL | OT | Joshua | Chapter 24 | Verse 1] Καὶ συνήγαγεν Ἰησοῦς πάσας φυλὰς Ἰσραὴλ εἰς Σηλὼ, καὶ συνεκάλεσε τοὺς πρεσβυτέρους αὐτῶν καὶ τοὺς γραμματεῖς αὐτῶν καὶ τοὺς δικαστὰς αὐτῶν, καὶ ἔστησεν αὐτοὺς ἀπέναντι τοῦ Θεοῦ.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 2] Καὶ εἶπεν Ἰησοῦς πρὸς πάντα τὸν λαὸν, τάδε λέγει Κύριος ὁ Θεὸς Ἰσραὴλ, πέραν τοῦ ποταμοῦ παρῴκησαν οἱ πατέρες ὑμῶν τὸ ἀπαρχῆς, Θάρα ὁ πατὴρ Ἁβραὰμ, καὶ ὁ πατὴρ Ναχὼρ, καὶ ἐλάτρευσαν θεοῖς ἑτέροις.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 3] Καὶ ἔλαβον τὸν πατέρα ὑμῶν τὸν Ἁβραὰμ ἐκ τοῦ πέραν τοῦ ποταμοῦ, καὶ ὡδήγησα αὐτὸν ἐν πάσῃ τῇ γῇ· καὶ ἐπλήθυνα αὐτοῦ σπέρμα, καὶ ἔδωκα αὐτῷ τὸν Ἰσαὰκ,
[LXX | EL | OT | Joshua | Chapter 24 | Verse 4] καὶ τῷ Ἰσαὰκ τὸν Ἰακὼβ καὶ τὸν Ἡσαῦ· καὶ ἔδωκα τῷ Ἡσαῦ τὸ ὄρος τὸ Σηεὶρ κληρονομῆσαι αὐτῷ· καὶ Ἰακὼβ καὶ οἱ υἱοὶ αὐτοῦ κατέβησαν εἰς Αἴγυπτον, καὶ ἐγένοντο ἐκεῖ εἰς ἔθνος μέγα καὶ πολὺ καὶ κραταιόν· καὶ ἐκάκωσαν αὐτοὺς οἱ Αἰγύπτιοι.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 5] Καὶ ἐπάταξα τὴν Αἴγυπτον ἐν σημείοις οἷς ἐποίησα ἐν αὐτοῖς.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 6] Καὶ μετὰ ταῦτα ἐξήγαγε τοὺς πατέρας ἡμῶν ἐξ Αἰγύπτου, καὶ εἰσήλθατε εἰς τὴν θάλασσαν τὴν ἐρυθράν· καὶ κατεδίωξαν οἱ Αἰγύπτιοι ὀπίσω τῶν πατέρων ἡμῶν ἐν ἅρμασι καὶ ἐν ἵπποις εἰς τὴν θάλασσαν τὴν ἐρυθράν.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 7] Καὶ ἀνεβοήσαμεν πρὸς Κύριον· καὶ ἔδωκε νεφέλην καὶ γνόφον ἀναμέσον ἡμῶν καὶ ἀναμέσον τῶν Αἰγυπτίων, καὶ ἐπήγαγεν ἐπʼ αὐτοὺς τὴν θάλασσαν, καὶ ἐκάλυψεν αὐτούς· καὶ εἴδοσαν οἱ ὀφθαλμοὶ ὑμῶν ὅσα ἐποίησε Κύριος ἐν γῇ· Αἰγύπτῳ· καὶ ἦτε ἐν τῇ ἐρήμῳ ἡμέρας πλείους.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 8] Καὶ ἤγαγεν ἡμᾶς εἰς γῆν Ἀμοῤῥαίων τῶν κατοικούντων πέραν τοῦ Ἰορδάνου, καὶ παρέδωκεν αὐτοὺς Κύριος εἰς τὰς χεῖρας ἡμῶν· καὶ κατεκληρονομήσατε τὴν γῆν αὐτῶν, καὶ ἐξωλοθρεύσατε αὐτοὺς ἀπὸ προσώπου ὑμῶν.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 9] Καὶ ἀνέστη Βαλὰκ ὁ τοῦ Σεπφὼρ βασιλεὺς Μωὰβ, καὶ παρετάξατο τῷ Ἰσραὴλ, καὶ ἀποστείλας ἐκάλεσε τὸν Βαλαὰμ ἀράσασθαι ἡμῖν.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 10] Καὶ οὐκ ἠθέλησε Κύριος ὁ Θεός σου ἀπολέσαι σε· καὶ εὐλογίαις εὐλόγησεν ἡμᾶς, καὶ ἐξείλατο ἡμᾶς ἐκ χειρῶν αὐτῶν, καὶ παρέδωκεν αὐτούς.
[LXX | EL | OT | Joshua | Chapter 24 | Verse 11] Καὶ διέβητε τὸν Ἰορδάνην, καὶ παρεγενήθητε εἰς Ἱεριχώ· καὶ ἐπολέμησαν πρὸς ἡμᾶς οἱ κατοικοῦντες Ἱεριχὼ ὁ Ἀμοῤῥαῖος, καὶ ὁ Χαναναῖος, καὶ ὁ Φερεζαῖος, καὶ ὁ Εὑαῖος, καὶ ὁ Ἰεβουσαῖος, καὶ ὁ Χετταῖος, καὶ ὁ Γεργεσαῖος· καὶ παρέδωκεν αὐτοὺς Κύριος εἰς τὰς χεῖρας ἡμῶν.
