[LXX | EL | OT | Joshua | Chapter 14 | Verse 1] Καὶ οὗτοι οἱ κατακληρονομήσαντες υἱῶν Ἰσραὴλ ἐν τῇ γῇ Χαναὰν, οἷς κατεκληρονόμησαν αὐτοῖς Ἐλεάζαρ ὁ ἱερεὺς, καὶ Ἰησοῦς ὁ τοῦ Ναυῆ, καὶ οἱ ἄρχοντες πατριῶν φυλῶν τῶν υἱῶν Ἰσραήλ.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 2] Κατὰ κλήρους ἐκληρονόμησαν, ὃν τρόπον ἐνετείλατο Κύριος ἐν χειρὶ Ἰησοῦ ταῖς ἐννέα φυλαῖς, καὶ τῷ ἡμίσει φυλῆς
[LXX | EL | OT | Joshua | Chapter 14 | Verse 3] ἀπὸ τοῦ πέραν τοῦ Ἰορδάνου. Καὶ τοῖς Λευίταις οὐκ ἔδωκε κλῆρον ἐν αὐτοῖς,
[LXX | EL | OT | Joshua | Chapter 14 | Verse 4] ὅτι ἦσαν οἱ υἱοὶ Ἰωσὴφ δύο φυλαὶ Μανασσὴ καὶ Ἐφραΐμ· καὶ οὐκ ἐδόθη μερὶς ἐν τῇ γῇ τοῖς Λευίταις, ἀλλʼ ἤ πόλεις κατοικεῖν, καὶ τὰ ἀφωρισμένα αὐτῶν τοῖς κτήνεσι, καὶ τὰ κτήνη αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 5] Ὃν τρόπον ἐνετείλατο Κύριος τῷ Μωυσῇ, οὕτως ἐποίησαν οἱ υἱοὶ Ἰσραὴλ, καὶ ἐμέρισαν τὴν γῆν.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 6] Καὶ προσήλθοσαν οἱ υἱοῖ Ἰούδα πρὸς Ἰησοῦν ἐν Γαλγάλ· καὶ εἶπε πρὸς αὐτὸν Χάλεβ ὁ τοῦ Ἰεφονὴ ὁ Κενεζαῖος, σὺ ἐπίστῃ τὸ ῥῆμα, ὃ ἐλάλησε Κύριος πρὸς Μωυσῆν ἄνθρωπον τοῦ Θεοῦ περὶ ἐμοῦ καὶ σοῦ ἐν Κάδης Βαρνῆ.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 7] Τεσσαράκοντα γὰρ ἐτῶν ἤμην ὅτε ἀπέστειλέ με Μωυσῆς ὁ παῖς τοῦ Θεοῦ ἐκ Κάδης Βαρνῆ κατασκοπεῦσαι τὴν γῆν· καὶ ἀπεκρίθην αὐτῷ λόγον κατὰ τὸν νοῦν αὐτοῦ.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 8] Οἱ ἀδελφοί μου οἱ ἀναβάντες μετʼ ἐμοῦ μετέστησαν τὴν καρδίαν τοῦ λαοῦ, ἐγὼ δὲ προσετέθην ἐπακολουθῆσαι Κυρίῳ τῷ Θεῷ μου.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 9] Καὶ ὤμοσε Μωυσῆς ἐν ἐκείνῃ τῇ ἡμέρᾳ, λέγων, ἡ γῆ ἐφʼ ἣν ἐπέβης, σοὶ ἔσται ἐν κλήρῳ καὶ τοῖς τέκνοις σου εἰς τὸν αἰῶνα, ὅτι προσετέθης ἐπακολουθῆσαι ὀπίσω Κυρίου τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Joshua | Chapter 14 | Verse 10] Καὶ νῦν διέθρεψέ με Κύριος ὃν τρόπον εἶπε· τοῦτο τεσσαρακοστὸν καὶ πέμπτον ἔτος, ἀφʼ οὗ ἐλάλησε Κύριος τὸ ῥῆμα τοῦτο πρὸς Μωυσῆν· καὶ ἐπορεύθη Ἰσραὴλ ἐν τῇ ἐρήμῳ· καὶ νῦν ἰδοὺ ἐγὼ σήμερον ὀγδοήκοντα καὶ πέντε ἐτῶν·
[LXX | EL | OT | Joshua | Chapter 14 | Verse 11] Ἔτι εἰμὶ σήμερον ἰσχύων, ὡσεὶ ὅτε ἀπέστειλέ με Μωυσῆς, ὡσαύτως ἰσχύω νῦν ἐζελθεῖν καὶ εἰσελθεῖν εἰς τὸν πόλεμον.
