[LXX | EL | OT | Joshua | Chapter 7 | Verse 1] Καὶ ἐπλημμέλησαν οἱ υἱοὶ Ἰσραὴλ πλημμέλιαν μεγάλην, καὶ ἐνοσφίσαντο ἀπὸ τοῦ ἀναθέματος· καὶ ἔλαβεν Ἄχαρ υἱὸς Χαρμὶ υἱοῦ Ζαμβρὶ υἱοῦ Ζαρὰ ἐκ τῆς φυλῆς Ἰούδα ἀπὸ τοῦ ἀναθέματος· καὶ ἐθυμώθη Κύριος ὀργῇ τοῖς υἱοῖς Ἰσραήλ.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 2] Καὶ ἀπέστειλεν Ἰησοῦς ἄνδρας εἰς Γαὶ, ἥ ἐστι κατὰ Βαιθὴλ, λέγων, κατασκέψασθε τὴν Γαί
[LXX | EL | OT | Joshua | Chapter 7 | Verse 3] καὶ ἀνέβησαν οἱ ἄνδρες καὶ κατεσκέψαντο τὴν Γαί· Καὶ ἀνέστρεψαν πρὸς Ἰησοῦν, καὶ εἶπαν πρὸς αὐτὸν, μὴ ἀναβήτω πᾶς ὁ λαὸς, ἀλλʼ ὡσεὶ δισχίλιοι ἢ τρισχίλιοι ἄνδρες ἀναβήτωσαν καὶ ἐκπολιορκησάτωσαν τὴν πόλιν· μὴ ἀναγάγῃς ἐκεῖ τὸν λαὸν ἅπαντα, ὀλίγοι γάρ εἰσι.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 4] Καὶ ἀνέβησαν ὡσεὶ τρισχίλιοι ἄνδρες, καὶ ἔφυγον ἀπὸ προσώπου ἀνδρῶν Γαί.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 5] Καὶ ἀπέκτειναν ἀπʼ αὐτῶν ἄνδρες Γαὶ εἰς τριακονταὲξ ἄνδρας, καὶ κατεδίωξαν αὐτοὺς ἀπὸ τῆς πύλης, καὶ συνέτριψαν αὐτοὺς ἀπὸ τοῦ καταφεροῦς· καὶ ἐπτοήθη ἡ καρδία τοῦ λαοῦ, καὶ ἐγένετο ὥσπερ ὕδωρ.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 6] Καὶ διέῤῥηξεν Ἰησοῦς τὰ ἱμάτια αὐτοῦ· καὶ ἔπεσεν Ἰησοῦς ἐπὶ τὴν γῆν ἐπὶ πρόσωπον ἐναντίον Κυρίου ἕως ἑσπέρας, αὐτὸς καὶ οἱ πρεσβύτεροι Ἰσραήλ· καὶ ἐπεβάλοντο χοῦν ἐπὶ τὰς κεφαλὰς αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 7] Καὶ εἶπεν Ἰησοῦς, δέομαι Κύριε· ἱνατί διεβίβασεν ὁ παῖς σου τὸν λαὸν τοῦτον τὸν Ἰορδάνην παραδοῦναι αὐτὸν τῷ Ἀμοῤῥαίῳ, ἀπολέσαι ἡμᾶς; καὶ εἰ κατεμείναμεν καὶ κατῳκίσθημεν παρὰ τὸν Ἰορδάνην.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 8] Καὶ τί ἐρῶ ἐπεὶ μετέβαλεν Ἰσραὴλ αὐχένα ἀπέναντι τοῦ ἐχθροῦ αὐτοῦ;
[LXX | EL | OT | Joshua | Chapter 7 | Verse 9] Καὶ ἀκούσας ὁ Χαναναῖος καὶ πάντες οἱ κατοικοῦντες τὴν γῆν, περικυκλώσουσιν ἡμᾶς, καὶ ἐκτρίψουσιν ἡμᾶς ἀπὸ τῆς γῆς· καὶ τί ποιήσεις τὸ ὄνομά σου τὸ μέγα;
[LXX | EL | OT | Joshua | Chapter 7 | Verse 10] Καὶ εἶπε Κύριος πρὸς Ἰησοῦν, ἀνάστηθι, ἱνατί τοῦτο σὺ πέπτωκας ἐπὶ πρόσωπόν σου;
[LXX | EL | OT | Joshua | Chapter 7 | Verse 11] Ἡμάρτηκεν ὁ λαὸς καὶ παρέβη τὴν διαθήκην, ἣν διεθέμην πρὸς αὐτοὺς, κλέψαντες ἀπὸ τοῦ ἀναθέματος ἐνέβαλον εἰς τὰ σκεύη αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 12] Καὶ οὐ μὴ δύνωνται οἱ υἱοὶ Ἰσραὴλ ὑποστῆναι κατὰ πρόσωπον τῶν ἐχθρῶν αὐτῶν· αὐχένα ὑποστρέψουσιν ἔναντι τῶν ἐχθρῶν αὐτῶν, ὅτι ἐγενήθησαν ἀνάθεμα· οὐ προσθήσω ἔτι εἶναι μεθʼ ὑμῶν, ἐὰν μὴ ἐξάρητε τὸ ἀνάθεμα ἐξ ὑμῶν αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 7 | Verse 13] Ἀναστὰς ἁγίασον τὸν λαὸν, καὶ εἶπον ἁγιασθῆναι εἰσαύριον· τάδε λέγει Κύριος ὁ Θεὸς Ἰσραὴλ, τὸ ἀνάθεμά ἐστιν ἐν ὑμῖν· οὐ δυνήσεσθε ἀντιστῆναι ἀπέναντι τῶν ἐχθρῶν ὑμῶν, ἕως ἂν ἐξάρητε τὸ ἀνάθεμα ἐξ ὑμῶν.
