[LXX | EL | OT | Joshua | Chapter 3 | Verse 1] Καὶ ὤρθρισεν Ἰησοῦς τοπρωῒ, καὶ ἀπῇρεν ἐκ Σαττὶν, καὶ ἤλθοσαν ἕως τοῦ Ἰορδάνου, καὶ κατέλυσαν ἐκεῖ πρὸ τοῦ διαβῆναι.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 2] Καὶ ἐγένετο μετὰ τρεῖς ἡμέρας διῆλθον οἱ γραμματεῖς διὰ τῆς παρεμβολῆς,
[LXX | EL | OT | Joshua | Chapter 3 | Verse 3] καὶ ἐνετείλαντο τῷ λαῷ, λέγοντες, ὅταν ἴδητε τὴν κιβωτὸν τῆς διαθήκης Κυρίου τοῦ Θεοῦ ἡμῶν, καὶ τοὺς ἱερεῖς ἡμῶν καὶ τοὺς Λευίτας αἴροντας αὐτὴν, ἀπαρεῖτε ἀπὸ τῶν τόπων ὑμῶν, καὶ πορεύσεσθε ὀπίσω αὐτῆς.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 4] Ἀλλὰ μακρὰν ἔστω ἀναμέσον ὑμῶν καὶ ἐκείνης, ὅσον δισχιλίους πήχεις στήσεσθε· μὴ προσεγγίσητε αὐτῇ, ἵνα ἐπίστησθε τὴν ὁδὸν, ἣν πορεύσεσθε αὐτήν· οὐ γὰρ πεπόρευσθε τὴν ὁδὸν ἀπʼ ἐχθὲς καὶ τρίτης ἡμέρας.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 5] Καὶ εἶπεν Ἰησοῦς τῷ λαῷ, ἁγνίσασθε εἰς αὔριον, ὅτι αὔριον ποιήσει Κύριος ἐν ὑμῖν θαυμαστά.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 6] Καὶ εἶπεν Ἰησοῦς τοῖς ἱερεῦσιν, ἄρατε τὴν κιβωτὸν τῆς διαθήκης Κυρίου, καὶ προπορεύεσθε τοῦ λαοῦ· καὶ ᾖραν οἱ ἱερεῖς τὴν κιβωτὸν τῆς διαθήκης Κυρίου, καὶ ἐπορεύοντο ἔμπροσθεν τοῦ λαοῦ.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 7] Καὶ εἶπε Κύριος πρὸς Ἰησοῦν, ἐν τῇ ἡμέρᾳ ταύτῃ ἄρχομαι ὑψῶσαί σε κατενώπιον πάντων υἱῶν Ἰσραὴλ, ἵνα γνῶσιν ὅτι καθότι ἤμην μετὰ Μωυσῆ, οὕτως ἔσομαι καὶ μετὰ σοῦ.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 8] Καὶ νῦν ἔντειλαι τοῖς ἱερεῦσι τοῖς αἴρουσι τὴν κιβωτὸν τῆς διαθήκης, λέγων, ὠς ἂν εἰσέλθητε ἐπὶ μέρους τοῦ ὕδατος τοῦ Ἰορδάνου, καὶ ἐν τῷ Ἰορδάνῃ στήσεσθε.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 9] Καὶ εἶπεν Ἰησοῦς τοῖς υἱοῖς Ἰσραὴλ, προσαγάγετε ὧδε, καὶ ἀκούσατε τὸ ῥῆμα Κυρίου τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 10] Ἐν τούτῳ γνώσεσθε, ὅτι Θεὸς ζῶν ἐν ὑμῖν, καὶ ὀλοθρεύων ὀλοθρεύσει ἀπὸ προσώπου ἡμῶν τὸν Χαναναῖον, καὶ τὸν Χετταῖον, καὶ τὸν Φερεζαῖον, καὶ τὸν Εὐαῖον, καὶ τὸν Ἀμοῤῥαῖον, καὶ τὸν Γεργεσαῖον, καὶ τὸν Ἰεβουσαῖον.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 11] Ἰδοὺ ἡ κιβωτὸς διαθήκης Κυρίου πάσης τῆς γῆς διαβαίνει τὸν Ἰορδάνην.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 12] Προχειρίσασθε ὑμῖν δώδεκα ἄνδρας ἀπὸ τῶν υἱῶν Ἰσραὴλ, ἕνα ἀφʼ ἑκάστης φυλῆς.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 13] Καὶ ἔσται, ὡς ἂν καταπαύσωσιν οἱ πόδες τῶν ἱερέων τῶν αἰρόντων τὴν κιβωτὸν τῆς διαθήκης Κυρίου πάσης τῆς γῆς ἐν τῷ ὕδατι τοῦ Ἰορδάνου, τὸ ὕδωρ τοῦ Ἰορδάνου ἐκλείψει, τὸ δὲ ὕδωρ τὸ καταβαῖνον στήσεται.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 14] Καὶ ἀπῇρεν ὁ λαὸς ἐκ τῶν σκηνωμάτων αὐτῶν διαβῆναι τὸν Ἰορδάνην, οἱ δὲ ἱερεῖς ᾔροσαν τὴν κιβωτὸν τῆς διαθήκης Κυρίου πρότεροι τοῦ λαοῦ.
[LXX | EL | OT | Joshua | Chapter 3 | Verse 15] Ὡς δὲ εἰσεπορεύοντο οἱ ἱερεῖς οἱ αἴροντες τὴν κιβωτὸν τῆς διαθήκης ἐπὶ τὸν Ἰορδάνην, καὶ οἱ πόδες τῶν ἱερέων τῶν αἰρόντων τὴν κιβωτὸν τῆς διαθήκης Κυρίου ἐβάφησαν εἰς μέρος τοῦ ὕδατος τοῦ Ἰορδάνου· ὁ δὲ Ἰορδάνης ἐπληροῦτο καθʼ ὅλην τὴν κρηπίδα αὐτοῦ, ὡσεὶ ἡμέραι θερισμοῦ πυρῶν·
