[LXX | EL | OT | Joshua | Chapter 4 | Verse 1] Καὶ ἐπεὶ συνετέλεσε πᾶς ὁ λαὸς διαβαίνων τὸν Ἰορδανην, καὶ εἶπε, Κύριος τῷ Ἰησοῖ, λέγων,
[LXX | EL | OT | Joshua | Chapter 4 | Verse 2] ταραλαβὼν ἄνδρας ἀπὸ τοῦ λαοῦ, ἕνα ἀφʼ ἑκάστης φυλῆς,
[LXX | EL | OT | Joshua | Chapter 4 | Verse 3] σύνταξον αὐτοῖς· καὶ ἀνέλεσθε ἐκ μέσου τοῦ Ἰορδάνου ἑτοίμους δώδεκα λίθους, καὶ τούτους διακομίσαντες ἅμα ὑμῖν αὐτοῖς, θέτε αὐτοὺς ἐν τῇ στρατοπεδίᾳ ὑμῶν, οὗ ἐὰν παρεμβάλητε ἐκεῖ τὴν νύκτα.
[LXX | EL | OT | Joshua | Chapter 4 | Verse 4] Καὶ ἀνακαλεσάμενος Ἰησοῦς δώδεκα ἄνδρας τῶν ἐνδόξων ἀπὸ τῶν υἱῶν Ἰσραὴλ, ἕνα ἀφʼ ἑκάστης φυλῆς,
[LXX | EL | OT | Joshua | Chapter 4 | Verse 5] εἶπεν αὐτοῖς, προσαγάγετε ἔμπροσθέν μου πρὸ προσώπου Κυρίου εἰς μέσον τοῦ Ἰροδάνου· καὶ ἀνελόμενος ἐκεῖθεν ἕκαστος λίθον, ἀράτω ἐπὶ τῶν ὤμων αὐτοῦ κατὰ τὸν ἀριθμὸν τῶν δώδεκα φυλῶν τοῦ Ἰσραὴλ,
[LXX | EL | OT | Joshua | Chapter 4 | Verse 6] ἵνα ὑπάρχωσιν ὑμῖν οὗτοι εἰς σημεῖον κείμενον διαπαντός· ἵνα ὅταν ἐρωτᾷ σε ὁ υἱός σου αὔριον λέγων, τί εἰσιν οἱ λιθοι οὗτοι ἡμῖν;
[LXX | EL | OT | Joshua | Chapter 4 | Verse 7] Καὶ σὺ δηλώσεις τῷ υἱῷ σου, λέγων, ὅτι ἐξέλιπεν ὁ Ἰορδάνης ποταμὸς ἀπὸ προσώπου κιβωτοῦ διαθήκης Κυρίου πάσης τῆς γῆς, ὡς διέβαινεν αὐτόν· καὶ ἔσονται οἱ λίθοι οὗτοι ὑμῖν μνημόσυνον τοῖς υἱοῖς Ἰσραὴλ ἕως τοῦ αἰῶνος.
[LXX | EL | OT | Joshua | Chapter 4 | Verse 8] Καὶ ἐποίησαν οὕτως οἱ υἱοὶ Ἰσραὴλ, καθότι ἐνετείλατο Κύριος τῷ Ἰησοῖ· καὶ ἀναλαβόντες δώδεκα λίθους ἐκ μέσου τοῦ Ἰορδάνου, καθάπερ συνέταξε Κύριος τῷ Ἰησοῖ ἐν τῇ συντελείᾳ τῆς διαβάσεως τῶν υἱῶν Ἰσραὴλ, καὶ διεκόμισαν ἅμα ἑαυτοῖς εἰς τὴν παρεμβολὴν, καὶ ἀπέθηκαν ἐκεῖ.
[LXX | EL | OT | Joshua | Chapter 4 | Verse 9] Ἔστησε δὲ Ἰησοῦς καὶ ἄλλους δώδεκα λίθους ἐν αὐτῷ τῷ Ἰορδάνῃ, ἐν τῷ γενομένῳ τόπῳ ὑπὸ τοὺς πόδας τῶν ἱερέων τῶν αἰρόντων τὴν κιβωτὸν τῆς διαθήκης Κυρίου· καὶ εἰσὶν ἐκεῖ ἕως τῆς σήμερον ἡμέρας.
[LXX | EL | OT | Joshua | Chapter 4 | Verse 10] Εἱστήκεισαν δὲ οἱ ἱερεῖς οἱ αἴροντες τὴν κιβωτὸν τῆς διαθήκης ἐν τῷ Ἰορδάνῃ, ἕως οὗ συνετέλεσεν Ἰησοῦς πάντα ἃ ἐνετείλατο Κύριος ἀναγγεῖλαι τῷ λαῷ· καὶ ἔσπευσεν ὁ λαὸς, καὶ διέβησαν.
[LXX | EL | OT | Joshua | Chapter 4 | Verse 11] Καὶ ἐγένετο ὡς συνετέλεσε πᾶς ὁ λαὸς διαβῆναι, καὶ διέβη ἡ κιβωτὸς τῆς διαθήκης Κυρίου, καὶ οἱ λίθοι ἔμπροσθεν αὐτῶν.
