[LXX | EL | OT | Joshua | Chapter 22 | Verse 1] Τότε συνεκάλεσεν Ἰησοῦς τοὺς υἱοὺς Ῥουβὴν, καὶ τοὺς υἱοὺς Γὰδ, καὶ τὸ ἥμισυ φυλῆς Μανασσῆ,
[LXX | EL | OT | Joshua | Chapter 22 | Verse 2] καὶ εἶπεν αὐτοῖς, ὑμεῖς ἀκηκόατε πάντα ὅσα ἐνετείλατο ὑμῖν Μωυσῆς ὁ παῖς Κυρίου, καὶ ὑπηκούσατε τῆς φωνῆς μου κατὰ πάντα ὅσα ἐνετείλατο ὑμῖν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 3] Οὐκ ἐγκαταλελοίπατε τοὺς ἀδελφοὺς ὑμῶν ταύτας τὰς ἡμέρας πλείους· ἕως τῆς σήμερον ἡυμέρας ἐφυλάξατε τὴν ἐντολὴν Κυρίου τοῦ Θεοῦ ὑμῶν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 4] Νῦν δὲ κατέπαυσε Κύριος ὁ Θεὸς ἡμῶν τοὺς ἀδελφοὺς ἡμῶν, ὃν τρόπον εἶπεν αὐτοῖς· νῦν οὖν ἀποστραφέντες, ἀπέλθατε εἰς τοὺς οἴκους ὑμῶν, καὶ εἰς τὴν γῆν τῆς κατασχέσεως ὑμῶν, ἣν ἔδωκεν ὑμῖν Μωυσῆς ἐν τῷ πέραν τοῦ Ἰορδάνου.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 5] Ἀλλὰ φυλάξασθε σφόδρα ποιεῖν τὰς ἐντολὰς καὶ τὸν νόμον, ὃν ἐνετείλατο ἡμῖν ποιεῖν Μωυσῆς ὁ παῖς Κυρίου· ἀγαπᾷν Κύριον τὸν Θεὸν ἡμῶν, πορεύεσθαι πάσαις ταῖς ὁδοῖς αὐτοῦ, φυλάξασθαι τὰς ἐντολὰς αὐτοῦ, καὶ προσκεῖσθαι αὐτῷ, καὶ λατρεύειν αὐτῷ ἐξ ὅλης τῆς διανοίας ὑμῶν, καὶ ἐξ ὅλης τῆς ψυχῆς ὑμῶν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 6] Καὶ εὐλόγησεν αὐτοὺς Ἰησοῦς, καὶ ἐξαπέστειλεν αὐτούς· καὶ ἐπορεύθησαν εἰς τοὺς οἴκους αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 7] Καὶ τῷ ἡμίσει φυλῆς Μανασσῆ ἔδωκε Μωυσῆς ἐν τῇ Βασανίτιδι, καὶ τῷ ἡμίσει ἔδωκεν Ἰησοῦς μετὰ τῶν ἀδελφῶν αὐτοῦ ἐν τῷ πέραν τοῦ Ἰορδάνου παρὰ θάλασσαν· καὶ ἡνίκα ἐξαπέστειλεν αὐτοὺς Ἰησοῦς εἰς τοὺς οἴκους αὐτῶν καὶ εὐλόγησεν αὐτούς.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 8] Καὶ ἐν χρήμασι πολλοῖς ἀπήλθοσαν εἰς τοὺς οἴκους αὐτῶν· καὶ κτήνη πολλὰ σφόδρα, καὶ ἀργύριον, καὶ χρυσίον, καὶ σίδηρον, καὶ ἱματισμὸν πολὺν, διείλαντο τὴν προνομὴν τῶν ἐχθρῶν μετὰ τῶν ἀδελφῶν αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 9] Καὶ ἐπορεύθησαν οἱ υἱοὶ Ῥουβὴν, καὶ οἱ υἱοὶ Γὰδ, καὶ τὸ ἥμισυ φυλῆς Μανασσῆ ἀπὸ τῶν υἱῶν Ἰσραὴλ ἐν Σηλὼ ἐν γῇ Χαναὰν ἀπελθεῖν εἰς τὴν Γαλαὰδ εἰς γῆν κατασχέσεως αὐτῶν, ἣν ἐκληρονόμησαν αὐτὴν διὰ προστάγματος Κυρίου ἐν χειρὶ Μωυσῆ.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 10] Καὶ ἦλθον εἰς Γαλαὰδ τοῦ Ἰορδάνου, ἥ ἐστιν ἐν γῇ Χαναάν· καὶ ᾠκοδόμησαν οἱ υἱοὶ Ῥουβὴν, καὶ οἱ υἱοὶ Γὰδ, καὶ τὸ ἥμισυ φυλῆς Μανασσῆ ἐκεῖ βωμὸν ἐπὶ τοῦ Ἰορδάνου, βωμὸν μέγαν τοῦ ἰδεῖν.
[LXX | EL | OT | Joshua | Chapter 22 | Verse 11] Καὶ ἤκουσαν οἱ υἱοὶ Ἰσραὴλ λεγόντων, Ἰδοῦ ᾠκοδομήκασιν οἱ υἱοὶ Ῥουβὴν, καὶ οἱ υἱοὶ Γὰδ, καὶ τὸ ἥμισυ φυλῆς Μανασσῆ βωμὸν ἐφʼ ὁρίων γῆς Χαναὰν ἐπὶ τοῦ Γαλαὰδ τοῦ Ἰορδάνου ἐν τῷ πέραν υἱῶν Ἰσραήλ.
