[LXX | EL | OT | Joshua | Chapter 18 | Verse 1] Καὶ ἐξεκκλησιάσθη πᾶσα συναγωγὴ υἱῶν Ἰσραὴλ εἰς Σηλὼ, καὶ ἔπηξαν ἐκεῖ τὴν σκηνὴν τοῦ μαρτυρίου· καὶ ἡ γῆ ἐκρατήθη ὑπʼ αὐτῶν.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 2] Καὶ κατελείφθησαν οἱ υἱοὶ Ἰσραὴλ, οἳ οὐκ ἐκληρονόμησαν, ἑπτὰ φυλαί.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 3] Καὶ εἶπεν Ἰησοῦς τοῖς υἱοῖς Ἰσραὴλ, ἕως τίνος ἐκλυθήσεσθε κληρονομῆσαι τὴν γῆν, ἣν ἔδωκε Κύριος ὁ Θεὸς ἡμῶν;
[LXX | EL | OT | Joshua | Chapter 18 | Verse 4] Δότε ἐξ ὑμῶν ἄνδρας τρεῖς ἐκ φυλῆς, καὶ ἀναστάντες διελθέτωσαν τὴν γῆν, καὶ διαγραψάτωσαν αὐτὴν ἐναντίον μου, καθὰ δεήσει διελεῖν αὐτήν. Καὶ διέλθοσαν πρὸς αὐτόν·
[LXX | EL | OT | Joshua | Chapter 18 | Verse 5] καὶ διεῖλεν αὐτοῖς ἑπτὰ μερίδας· Ἰούδας στήσεται αὐτοῖς ὅριον ἀπὸ Λιβὸς, καὶ οἱ υἱοὶ Ἰωσὴφ στήσονται αὐτοῖς ἀπὸ Βοῤῥᾶ.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 6] Ὑμεῖς δὲ μερίσατε τὴν γῆν ἑπτὰ μερίδας, καὶ ἐνέγκατε ὧδε πρὸς μὲ, καὶ ἐξοίσω ὑμῖν κλῆρον ἔναντι Κυρίου τοῦ Θεοῦ ἡμῶν.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 7] Οὐ γάρ ἐστι μερὶς τοῖς υἱοῖς Λευὶ ἐν ὑμῖν· ἱερατεία γὰρ Κυρίου μερὶς αὐτοῦ· καὶ Γὰδ καὶ Ῥουβὴν καὶ τὸ ἥμισυ φυλῆς Μανασσῆ ἐλάβοσαν τὴν κληρονομίαν αὐτῶν πέραν τοῦ Ἰορδάνου ἐπʼ ἀνατολῆς, ἣν ἔδωκεν αὐτοῖς Μωυσῆς ὁ παῖς Κυρίου.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 8] Καὶ ἀναστάντες οἱ ἄνδρες ἐπορεύθησαν· καὶ ἐνετείλατο Ἰησοῦς τοῖς ἀνδράσι τοῖς πορευομένοις χωροβατῆσαι τὴν γῆν, λέγων, πορεύεσθε καὶ χωροβατήσατε τὴν γῆν, καὶ παραγενήθητε πρὸς μὲ, καὶ ὧδε ἐξοίσω ὑμῖν κλῆρον ἔναντι Κυρίου ἐν Σηλώ.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 9] Καὶ ἐπορεύθησαν, καὶ ἐχωροβάτησαν τὴν γῆν· καὶ εἴδοσαν αὐτὴν, καὶ ἔγραψαν αὐτὴν κατὰ πόλεις, ἑπτα μερίδας εἰς βιβλίον, καὶ ἤνεγκαν πρὸς Ἰησοῦν.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 10] Καὶ ἐνέβαλεν αὐτοῖς Ἰησοῦς κλῆρον ἐν Σηλὼ ἔναντι Κυρίου.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 11] Καὶ ἐξῆλθεν ὁ κλῆρος φυλῆς Βενιαμὶν πρῶτος κατὰ δήμους αὐτῶν· καὶ ἐξῆλθεν ὅρια τοῦ κλήρου αὐτῶν ἀναμέσον υἱῶν Ἰούδα καὶ ἀναμέσον τῶν υἱῶν Ἰωσήφ.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 12] Καὶ ἐγενήθη αὐτῶν τὰ ὅρια ἀπὸ Βοῤῥᾶ· ἀπὸ τοῦ Ἱορδάνου προσαναβήσεται τὰ ὅρια κατὰ νὼτου Ἱεριχὼ ἀπὸ Βοῤῥᾶ, καὶ ἀναβήσεται ἐπὶ τὸ ὄρος ἐπὶ τὴν θάλασσαν, καὶ ἔσται αὐτοῦ ἡ διέξοδος ἡ Μαβδαρίτις Βαιθών.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 13] Καὶ διελεύσεται ἐκεῖθεν τὰ ὅρια Λοῦζὰ ἐπὶ νώτου Λουζὰ ἀπὸ Λιβὸς αὐτῆς· αὕτη ἐστὶ Βαιθήλ· καὶ καταβήσεται τὰ ὅρια Μααταρὼβ Ὀρὲχ ἐπὶ τὴν ὀρεινὴν, ἥ ἐστι πρὸς Λίβα Βαιθωρὼν ἡ κάτω.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 14] Καὶ διελεύσεται τὰ ὅρια καὶ παρελεύσεται ἐπὶ τὸ μέρος τὸ βλέπον παρὰ θάλασσαν ἀπὸ Λιβὸς ἀπὸ τοῦ ὄρους ἐπὶ πρόσωπον Βαιθωρὼν Λίβα· καὶ ἔσται αὐτοῦ ἡ διέξοδος εἰς Καριὰθ Βαάλ· αὕτη ἐστὶ Καριαθιαρὶν, πόλις υἱῶν Ἰούδα· τοῦτό ἐστι τὸ μέρος τὸ πρὸς θάλασσαν.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 15] Καὶ μέρος τὸ πρὸς Λίβα ἀπὸ μέρους Καριὰθ Βαάλ· καὶ διελεύσεται ὅρια εἰς Γασὶν, ἐπὶ πηγὴν ὕδατος Ναφθώ.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 16] Καὶ καταβήσεται τὰ ὅρια ἐπὶ μέρους, τοῦτό ἐστι κατὰ πρόσωπον νάπης Σοννὰμ, ὅ ἐστιν ἐκ μέρους Ἐμὲκ Ῥαφαῒν ἀπὸ Βοῤῥᾶ, καὶ καταβήσεται Γαίεννα ἐπὶ νῶτον Ἰεβουσαὶ ἀπὸ Λιβός· καταβήσεται ἐπὶ πηγὴν Ῥωγήλ·
[LXX | EL | OT | Joshua | Chapter 18 | Verse 17] Καὶ διελεύσεται ἐπὶ πηγὴν Βαιθσαμύς· καὶ παρελεύσεται ἐπὶ Γαλιλὼθ, ἥ ἐστιν ἀπέναντι πρὸς ἀνάβασις Αἰθαμίν· καὶ καταβήσεται ἐπὶ λίθον Βαιὼν υἱῶν Ῥουβήν·
[LXX | EL | OT | Joshua | Chapter 18 | Verse 18] καὶ διελεύσεται κατὰ νώτου Βαιθάραβα ἀπὸ Βοῤῥᾶ, καὶ καταβήσεται ἐπὶ τὰ ὅρια ἐπὶ νῶτον θάλασσαν ἀπὸ Βοῤῥᾶ.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 19] Καὶ ἔσται ἡ διέξοδος τῶν ὁρίων ἐπὶ λοφιὰν τῆς θαλάσσης τῶν ἁλῶν ἐπὶ Βοῤῥᾶν εἰς μέρος τοῦ Ἰορδάνου ἀπὸ Λιβός· ταῦτα τὰ ὅριά ἐστιν ἀπὸ Λιβός.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 20] Καὶ ὁ Ἰορδάνης ὁριεῖ ἀπὸ μέρους ἀνατολῶν· αὕτη ἡ κληρονομία υἱῶν Βενιαμὶν, τὰ ὅρια αὐτῆς κύκλῳ κατὰ δήμους.
[LXX | EL | OT | Joshua | Chapter 18 | Verse 21] Καὶ ἐγενήθησαν αἱ πόλεις τῶν υιῶν Βενιαμὶν κατὰ δήμους αὐτῶν Ἱερειχὼ, καὶ Βεθεγαιὼ, καὶ Ἀμεκασὶς,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 22] καὶ Βαιθαβαρὰ, καὶ Σαρὰ, καὶ Βησανὰ,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 23] καὶ Αἰεὶν, καὶ Φαρὰ, καὶ Ἐφραθὰ,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 24] καὶ Καραφὰ, καὶ Κεφιρὰ, καὶ Μονὶ, καὶ Γαβαὰ, πόλεις δώδεκα· καὶ αἱ κῶμαι αὐτῶν,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 25] Γαβαὼν, καὶ Ῥαμὰ, καὶ Βεηρωθὰ,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 26] καὶ Μασσημὰ, καὶ Μιρὼν, καὶ Ἀμωκὴ,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 27] καὶ Φιρὰ, καὶ Καφὰν, καὶ Νακὰν, καὶ Ζεληκὰν, καὶ Θαρεηλὰ,
[LXX | EL | OT | Joshua | Chapter 18 | Verse 28] καὶ Ἰηβοῦς· αὕτη ἐστὶν Ἱερουσαλήμ· καὶ Γαβαὼθ, Ἰαρὶμ, πόλεις δεκατρεῖς, καὶ αἱ κῶμαι αὐτῶν· αὕτη ἡ κληρονομία υἱῶν Βενιαμὶν κατὰ δήμους αὐτῶν.
