[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 1] In the eighth month, in the second year of Darius, came the word of Jehovah unto Zechariah the prophet, the son of Berechiah, the son of Iddo, saying,
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 2] Jehovah hath been very wroth with your fathers.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 3] And thou shalt say unto them, Thus saith Jehovah of hosts: Return unto me, saith Jehovah of hosts, and I will return unto you, saith Jehovah of hosts.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 4] Be ye not as your fathers, unto whom the former prophets cried, saying, Thus saith Jehovah of hosts: Turn ye now from your evil ways, and from your evil doings; but they did not hearken nor attend unto me, saith Jehovah.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 5] Your fathers, where are they? and the prophets, do they live for ever?
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 6] But my words and my statutes, which I commanded my servants the prophets, did they not overtake your fathers? And they turned and said, Like as Jehovah of hosts thought to do unto us, according to our ways and according to our doings, so hath he dealt with us.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 7] Upon the four and twentieth day of the eleventh month, which is the month Shebat, in the second year of Darius, came the word of Jehovah unto Zechariah the prophet, the son of Berechiah, the son of Iddo, saying,
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 8] I saw by night, and behold, a man riding upon a red horse, and he stood among the myrtle-trees that were in the low valley; and behind him were red, bay, and white horses.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 9] And I said, My lord, what are these? And the angel that talked with me said unto me, I will shew thee what these are.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 10] And the man that stood among the myrtle-trees answered and said, These are they whom Jehovah hath sent to walk to and fro through the earth.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 11] And they answered the angel of Jehovah that stood among the myrtle-trees, and said, We have walked to and fro through the earth, and behold, all the earth sitteth still and is at rest.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 12] And the angel of Jehovah answered and said, Jehovah of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these seventy years?
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 13] And Jehovah answered the angel that talked with me good words, comforting words.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 14] And the angel that talked with me said unto me, Cry, saying, Thus saith Jehovah of hosts: I am jealous for Jerusalem and for Zion with a great jealousy,
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 15] and I am wroth exceedingly with the nations that are at ease; for I was but a little wroth, and they helped forward the affliction.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 16] Therefore thus saith Jehovah: I am returned to Jerusalem with mercies: my house shall be built in it, saith Jehovah of hosts, and the line shall be stretched forth upon Jerusalem.
[DARBY | EN | OT | Zechariah | Chapter 1 | Verse 17] Cry further, saying, Thus saith Jehovah of hosts: My cities shall yet overflow with prosperity, and Jehovah shall yet comfort Zion, and shall yet choose Jerusalem.
