[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 1] माझी इच्छा आहे की, तुम्ही माझा थोडासा मूर्खपणा माझ्यासाठी सहन करावा. पण तो तुम्ही सहन करीतच आहात.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 2] कारण मी देवाच्या आवेशाने तुम्हाविषयी आवेशी आहे, मी एका पतीबरोबर तुमची मागणी केली आहे, अशा हेतूने की, तुम्हास शुद्ध कुमारी असे ख्रिस्ताला सादर करावे.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 3] पण मला भीती वाटते की जसे हव्वेला सर्पाने कपट करून फसवले तसे तुमचे विचार कसे तरी बिघडून ती ख्रिस्ताची शुद्ध भक्ती व सरळपण ह्यापासून भ्रष्ट होतील.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 4] कारण, जर कोणीही येऊन, आम्ही ज्याची घोषणा केली नाही अशी दुसर्‍या येशूची घोषणा केली किंवा तुम्हास मिळाला नव्हता असा दुसरा आत्मा तुम्ही स्वीकारता किंवा तुम्ही स्वीकारले नाही असे दुसरे शुभवर्तमान तुम्ही स्वीकारता तर तुम्ही त्यांचे सहन करता.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 5] पण मला वाटते मी अतिश्रेष्ठ प्रेषितांपेक्षा कुठल्या प्रकारे कमी नाही.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 6] आणि मी भाषण करण्यात अशिक्षित असलो तरी ज्ञानात नाही. आम्ही हे तुम्हास सर्व गोष्टीत, सर्व प्रकारे, प्रकट केले.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 7] तुम्ही उंच व्हावे म्हणून मी आपणाला नीच केले म्हणजे मी देवाचे शुभवर्तमान तुम्हास फुकट सांगितले यामध्ये मी पाप केले काय?
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 8] तुमची सेवा करण्यासाठी मी दुसऱ्या मंडळ्यांकडून वेतन घेऊन त्यांना लुटले.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 9] आणि मी तुम्हाजवळ होतो तेव्हा मला कमी पडले असतानाही मी कोणाला भार असा झालो नाही कारण मासेदोनियाहून जे बंधू आले त्यांनी माझी गरज पुरविली आणि सर्व गोष्टीत मी तुम्हास ओझे होऊ नये म्हणून मी स्वतःस ठेवले आणि यापुढेही ठेवीन.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 10] ख्रिस्ताचे सत्य माझ्यामध्ये आहे म्हणून मी सांगतो की, अखया प्रांतात कोणीही माझ्या आभिमानास विरोध करणार नाही.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 11] आणि का? कारण मी तुम्हावर प्रिती करीत नाही काय? देव जाणतो की, मी तुमच्यावर प्रीती करतो.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 12] आणि मी जे करतो ते मी करीत राहीन यासाठी की, जे कारण पाहिजे आहे ते मी त्यांच्यासाठी ठेवू नये. ते त्यांना ह्यासाठी हवे आहे की, ते ज्या कामात अभिमान मिरवतात त्यामध्ये ते आमच्यासारखे दिसावेत.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 13] कारण असे लोक खोटे प्रेषित आहेत, ते फसविणारे कामगार आहेत, ख्रिस्ताच्या प्रेषितांचे सोंग घेणारी अशी आहेत.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 14] आणि यामध्ये आश्चर्य नाही कारण सैतानदेखील तेजस्वी दूताचे रुप धारण करतो.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 15] म्हणून त्याचे सेवकही जर न्यायीपणाच्या सेवकाचे रुप धारण करतात त्यामुळे त्यामध्ये आश्चर्य वाटण्यासारखे काही नाही, त्यांचा शेवट त्यांच्या कार्याप्रमाणे होईल.
[IRV | MR | NT | 2 Corinthians | Chapter 11 | Verse 16] मी पुन्हा म्हणतोः कोणीही मला मूढ समजू नये, पण जर तुम्ही समजता तर जसा मूढाचा तसा माझा स्वीकार करा. यासाठी की मी थोडासा अभिमान बाळगीन.
