[ASV | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came out for Simeon, even for the tribe of the children of Simeon according to their families: and their inheritance was in the midst of the inheritance of the children of Judah.
[ASV | EN | OT | Joshua | Chapter 19 | Verse 2] And they had for their inheritance Beer-sheba, or Sheba, and Moladah,
[ASV | EN | OT | Joshua | Chapter 19 | Verse 3] and Hazar-shual, and Balah, and Ezem,
[ASV | EN | OT | Joshua | Chapter 19 | Verse 4] and Eltolad, and Bethul, and Hormah,
[ASV | EN | OT | Joshua | Chapter 19 | Verse 5] and Ziklag, and Beth-marcaboth, and Hazar-susah,
[ASV | EN | OT | Joshua | Chapter 19 | Verse 6] and Beth-lebaoth, and Sharuhen; thirteen cities with their villages:
[ASV | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Rimmon, and Ether, and Ashan; four cities with their villages:
[ASV | EN | OT | Joshua | Chapter 19 | Verse 8] and all the villages that were round about these cities to Baalath-beer, Ramah of the South. This is the inheritance of the tribe of the children of Simeon according to their families.
[ASV | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the part of the children of Judah was the inheritance of the children of Simeon; for the portion of the children of Judah was too much for them: therefore the children of Simeon had inheritance in the midst of their inheritance.
[ASV | EN | OT | Joshua | Chapter 19 | Verse 10] And the third lot came up for the children of Zebulun according to their families. And the border of their inheritance was unto Sarid;
[ASV | EN | OT | Joshua | Chapter 19 | Verse 11] and their border went up westward, even to Maralah, and reached to Dabbesheth; and it reached to the brook that is before Jokneam;
[ASV | EN | OT | Joshua | Chapter 19 | Verse 12] and it turned from Sarid eastward toward the sunrising unto the border of Chisloth-tabor; and it went out to Daberath, and went up to Japhia;
[ASV | EN | OT | Joshua | Chapter 19 | Verse 13] and from thence it passed along eastward to Gath-hepher, to Eth-kazin; and it went out at Rimmon which stretcheth unto Neah;
[ASV | EN | OT | Joshua | Chapter 19 | Verse 14] and the border turned about it on the north to Hannathon; and the goings out thereof were at the valley of Iphtah-el;
