[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 1] Though I speak in the “tongues” of people, or even of angels, yet have not love, I have become mere echoing brass, or a clanging cymbal!
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 2] Even though I have the gift of preaching, and fathom all hidden truths and all the depths of knowledge; even though I have such faith as might move mountains, yet have not love, I am nothing!
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 3] Even though I dole my substance to the poor, even though I sacrifice my body in order to boast, yet have not love, it avails me nothing!
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 4] Love is long-suffering, and kind; love is never envious, never boastful, never conceited, never behaves unbecomingly;
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 5] love is never self-seeking, never provoked, never reckons up her wrongs;
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 6] love never rejoices at evil, but rejoices in the triumph of truth;
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 7] love bears with all things, ever trustful, ever hopeful, ever patient.
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 8] Love never fails. But, whether it be the gift of preaching, it will end; whether it be the gift of “tongues,” it will cease; whether it be knowledge, it, too, will vanish.
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 9] For our knowledge is incomplete, and our preaching is incomplete,
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 10] but, when the perfect has come, that which is incomplete will end.
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 11] When I was a child, I talked as a child, I felt as a child, I reasoned as a child; now that I am a man, I have done with childish ways.
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 12] As yet we see, in a mirror, dimly, but then – face to face! As yet my knowledge is incomplete, but then I will know in full, as I have been fully known.
[OEB | EN | NT | 1 Corinthians | Chapter 13 | Verse 13] Meanwhile faith, hope, and love endure – these three, but the greatest of these is love.
