[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 1] Let people look on us as Christ’s servants, and as stewards of the hidden truths of God.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 2] Now what we look for in stewards is that they should be trustworthy.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 3] But it weighs very little with me that I am judged by you or by any human tribunal. No, I do not even judge myself;
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 4] for, though I am conscious of nothing against myself, that does not prove me innocent. It is the Lord who is my judge.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 5] Therefore do not pass judgment before the time, but wait until the Lord comes. He will throw light on what is now dark and obscure, and will reveal the motives in people’s minds; and then everyone will receive due praise from God.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 6] All this, friends, I have, for your sakes, applied to Apollos and myself, so that, from our example, you may learn to observe the precept – “Keep to what is written,” that none of you may speak boastfully of one teacher to the disparagement of another.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 7] For who makes any one of you superior to others? And what have you that was not given you? But if you received it as a gift, why do you boast as if you had not?
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 8] Are you all so soon satisfied? Are you so soon rich? Have you begun to reign without us? Would indeed that you had, so that we also might reign with you!
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 9] For, as it seems to me, God has exhibited us, the apostles, last of all, as people doomed to death. We are made a spectacle to the universe, both to angels and to people!
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 10] We, for Christ’s sake, are fools, but you, by your union with Christ, are people of discernment. We are weak, but you are strong. You are honoured, but we are despised.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 11] To this very hour we go hungry, thirsty, and naked; we are beaten; we are homeless;
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 12] we work hard, toiling with our own hands. We meet abuse with blessings, we meet persecution with endurance,
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 13] we meet slander with gentle appeals. We have been treated as the scum of the earth, the vilest of the vile, to this very hour.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 14] It is with no wish to shame you that I am writing like this; but to warn you as my own dear children.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 15] Though you may have thousands of instructors in the faith of Christ, yet you have not many fathers. It was I who, through union with Christ Jesus, became your father by means of the good news.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 16] Therefore I entreat you – Follow my example.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 17] This is my reason for sending Timothy to you. He is my own dear faithful child in the Master’s service, and he will remind you of my methods of teaching the faith of Christ Jesus – methods which I follow everywhere in every church.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 18] Some, I hear, are puffed up with pride, thinking that I am not coming to you.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 19] But come to you I will, and that soon, if it please the Lord; and then I will find out, not what words these people use who are so puffed up, but what power they possess;
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 20] for the kingdom of God is based, not on words, but on power.
[OEB | EN | NT | 1 Corinthians | Chapter 4 | Verse 21] What do you wish? Am I to come to you with a rod, or in a loving and gentle spirit?
