[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 1] For my own part, friends, when I came to you, it was with no display of eloquence or philosophy that I came to tell the hidden purpose of God;
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 2] for I had determined that, while with you, I would forget everything except Jesus Christ – and him crucified!
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 3] Indeed, when I came among you, I was weak, and full of fears, and in great anxiety.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 4] My message and my proclamation were not delivered in the persuasive language of philosophy, but were accompanied by the manifestation of spiritual power,
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 5] so that your faith should be based, not on the human wisdom, but on the power of God.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 6] Yet there is a philosophy that we teach to those whose faith is matured, but it is not the philosophy of today, or of the leaders of today – whose downfall is at hand.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 7] No, it is a divine philosophy that we teach, one concerned with the hidden purpose of God – that long hidden philosophy which God, before time began, destined for our glory.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 8] This philosophy is clearly not known to any of the leaders of today, since, had they known it, they would never have crucified our glorious Lord!
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 9] It is what scripture speaks of as – “What eye never saw, nor ear ever heard, what never entered people’s minds – all these things God has prepared for those who love him.”
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 10] Yet to us God revealed it through his Spirit; for the Spirit fathoms all things, even the inmost depths of God’s being.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 11] For what person is there who knows what a person is, except the person’s own spirit within them? So, also, no one comprehends what God is, except the Spirit of God.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 12] And as for us, it is not the spirit of the world that we have received, but the Spirit that comes from God, so that we may realize the blessings given to us by him.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 13] And we speak of these gifts, not in language taught by human philosophy, but in language taught by the Spirit, explaining spiritual things in spiritual words.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 14] The merely intellectual person rejects the teaching of the Spirit of God; for to them it is mere folly; they cannot grasp it, because it is to be understood only by spiritual insight.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 15] But the person with spiritual insight is able to understand everything, although they themselves are understood by no one.
[OEB | EN | NT | 1 Corinthians | Chapter 2 | Verse 16] For who has so comprehended the mind of the Lord as to be able to instruct him? We, however, have the mind of Christ.
