[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 1] In the next place, friends, I do not want you to be ignorant about spiritual gifts.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 2] You know that there was a time when you were Gentiles, going astray after idols that could not speak, just as you happened to be led.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 3] Therefore I tell you plainly that no one who speaks under the influence of the Spirit of God says “JESUS IS ACCURSED,” and that no one can say “JESUS IS LORD,” except under the influence of the Holy Spirit.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 4] Gifts differ, but the Spirit is the same;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 5] ways of serving differ, yet the Master is the same;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 6] results differ, yet the God who brings about every result is in every case the same.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 7] To each of us there is given spiritual illumination for the general good.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 8] To one is given the power to speak with wisdom through the Spirit; to another the power to speak with knowledge, due to the same Spirit;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 9] to another faith by the same Spirit; to another power to cure diseases by the one Spirit; to another supernatural powers;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 10] to another the gift of preaching; to another the gift of distinguishing between true and false inspiration; to another varieties of the gift of “tongues”; to another the power to interpret “tongues.”
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 11] All these result from one and the same Spirit, who distributes his gifts to each individually as he wills.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 12] For just as the human body is one whole, and yet has many parts, and all its parts, many though they are, form but one body, so it is with the Christ;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 13] for it was by one Spirit that we were all baptized to form one body, whether Jews or Greeks, slaves or free, and were all imbued with one Spirit.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 14] The human body, I repeat, consists not of one part, but of many.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 15] If the foot says “Since I am not a hand, I do not belong to the body,” it does not because of that cease to belong to the body.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 16] Or if the ear says “Since I am not an eye, I do not belong to the body,” it does not because of that cease to belong to the body.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 17] If all the body were an eye, where would the hearing be? If it were all hearing, where would the sense of smell be?
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 18] But in fact God has placed each individual part just where he thought fit in the body.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 19] If, however, they all made up only one part, where would the body be?
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 20] But in fact, although it has many parts, there is only one body.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 21] The eye cannot say to the hand “I do not need you,” nor, again, the head to the feet “I do not need you.”
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 22] No! Those parts of the body that seem naturally the weaker are indispensable;
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 23] and those parts which we deem less honourable we surround with special honour; and our ungraceful parts receive a special grace which our graceful parts do not require.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 24] Yes, God has so constructed the body – by giving a special honour to the part that lacks it –
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 25] As to secure that there should be no disunion in the body, but that the parts should show the same care for one another.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 26] If one part suffers, all the others suffer with it, and if one part has honour done to it, all the others share its joy.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 27] Together you are the body of Christ, and individually its parts.
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 28] In the church God has appointed, first, apostles, secondly preachers, thirdly teachers; then he has given supernatural powers, then power to cure diseases, aptness for helping others, capacity to govern, varieties of the gift of “tongues.”
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 29] Can everyone be an apostle? Can everyone be a preacher? Can everyone be a teacher? Can everyone have supernatural powers?
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 30] Can everyone have power to cure diseases? Can everyone speak in “tongues”? Can everyone interpret them?
[OEB | EN | NT | 1 Corinthians | Chapter 12 | Verse 31] Strive for the greater gifts. Yet I can still show you a way beyond all comparison the best.
