[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 1] With reference to food that has been offered in sacrifice to idols – We are aware that all of us have knowledge! Knowledge breeds conceit, while love builds up character.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 2] If someone thinks that they know anything, they have not yet reached that knowledge which they ought to have reached.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 3] On the other hand, if a person loves God, they are known by God.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 4] With reference, then, to eating food that has been offered to idols – we are aware that an idol is nothing in the world, and that there is no God but one.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 5] Even supposing that there are so-called “gods” either in heaven or on earth – and there are many such “gods” and “lords” –
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 6] Yet for us there is only one God, the Father, from whom all things come (and for him we live), and one Lord, Jesus Christ, through whom all things come (and through him we live).
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 7] Still, it is not everyone that has this knowledge. Some people, because of their association with idols, continued down to the present time, eat the food as food offered to an idol; and their consciences, while still weak, are dulled.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 8] What we eat, however, will not bring us nearer to God. We lose nothing by not eating this food, and we gain nothing by eating it.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 9] But take care that this right of yours does not become in any way a stumbling-block to the weak.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 10] For if someone should see you who possess this knowledge, feasting in an idol’s temple, will not their conscience, if they are weak, become so hardened that they, too, will eat food offered to idols?
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 11] And so, through this knowledge of yours, the weak person is ruined – someone for whose sake Christ died!
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 12] In this way, by sinning against your fellow followers of the Lord and injuring their consciences, while still weak, you sin against Christ.
[OEB | EN | NT | 1 Corinthians | Chapter 8 | Verse 13] Therefore, if what I eat makes a follower of the Lord fall, rather than make them fall, I will never eat meat again.
