[IRV | KN | OT | Job | Chapter 11 | Verse 1] ಆಗ ನಾಮಾಥ್ಯನಾದ ಚೋಫರನು ಹೀಗೆಂದನು,
[IRV | KN | OT | Job | Chapter 11 | Verse 2] “ಬಹಳ ಮಾತುಗಳಿಗೆ ಉತ್ತರ ಕೊಡಬಾರದೋ? ವ್ಯರ್ಥವಾಗಿ ಮಾತನಾಡುವವ ನೀತಿವಂತನೆಂದು ಹೇಳಿಸಿಕೊಂಡಾನೇ?
[IRV | KN | OT | Job | Chapter 11 | Verse 3] ನೀನು ಬಡಾಯಿಕೊಚ್ಚಿದರೆ ಮನುಷ್ಯರು ಸುಮ್ಮನಿರಬೇಕೋ? ನೀನು ಕುಚೋದ್ಯವಾಗಿ ಮಾತನಾಡುವಾಗ ನಿನ್ನನ್ನು ಯಾರೂ ನಾಚಿಕೆಗೆ ಒಳಪಡಿಸಬಾರದೋ?
[IRV | KN | OT | Job | Chapter 11 | Verse 4] ‘ನನ್ನ ಬೋಧನೆಯು ನಿರ್ಮಲವಾದದ್ದು, ದೇವದೃಷ್ಟಿಯಲ್ಲಿ ಶುದ್ಧನಾಗಿದ್ದೇನೆ’ ಎಂದು ನೀನು ಹೇಳಿದ್ದೀಯಲ್ಲಾ.
[IRV | KN | OT | Job | Chapter 11 | Verse 5] ಆಹಾ, ದೇವರು ಬಾಯ್ದೆರೆದು ನಿನ್ನ ವಿರುದ್ಧವಾಗಿ ಮಾತನಾಡಿದರೆ ಎಷ್ಟೋ ಉತ್ತಮ!
[IRV | KN | OT | Job | Chapter 11 | Verse 6] ಆತನು ಜ್ಞಾನದ ರಹಸ್ಯಗಳನ್ನು ನಿನಗೆ ತಿಳಿಸಿ, ಸುಜ್ಞಾನವು ಬಹುಮುಖವಾಗಿದೆ ಎಂದು ತೋರಿಸಿಕೊಟ್ಟರೆ ಎಷ್ಟೋ ಲೇಸು! ದೇವರು ನಿನ್ನ ಅಧರ್ಮವನ್ನೆಲ್ಲಾ ಗಣನೆಗೆ ತರಲಿಲ್ಲವೆಂದು ತಿಳಿದುಕೋ!
[IRV | KN | OT | Job | Chapter 11 | Verse 7] ದೇವರ ಅಗಾಧಗಳನ್ನು ಕಂಡುಕೊಳ್ಳಬಲ್ಲೆಯಾ? ಸರ್ವಶಕ್ತನಾದ ದೇವರನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಗ್ರಹಿಸಿಕೊಳ್ಳಬಹುದೋ?
[IRV | KN | OT | Job | Chapter 11 | Verse 8] ಆಹಾ, (ಆತನ ಜ್ಞಾನವು) ಆಕಾಶದ ಹಾಗೆ ಉನ್ನತವಾಗಿದೆ; ನೀನು ಮಾಡುವುದೇನು? ಪಾತಾಳಕ್ಕಿಂತ ಆಳವಾಗಿದೆ; ನೀನು ತಿಳಿದುಕೊಳ್ಳುವುದೇನು?
[IRV | KN | OT | Job | Chapter 11 | Verse 9] ಅದರ ಅಳತೆಯು ಭೂಮಿಗಿಂತಲೂ ಉದ್ದವಾಗಿದೆ, ಸಮುದ್ರಕ್ಕಿಂತಲೂ ಅಗಲವಾಗಿದೆ.
[IRV | KN | OT | Job | Chapter 11 | Verse 10] ಆತನು ಹಾದುಹೋದರೂ, ಸೆರೆಯಲ್ಲಿಟ್ಟರೂ, ನ್ಯಾಯವಿಚಾರಣೆಗೆ ಕರೆದರೂ ಆತನನ್ನು ತಳ್ಳಿಬಿಡುವವರು ಯಾರು?
[IRV | KN | OT | Job | Chapter 11 | Verse 11] ಆತನೇ ವ್ಯರ್ಥ ಜನರನ್ನು ತಿಳಿದುಕೊಳ್ಳುವನು; ಯಾವ ವಿಮರ್ಶೆಯೂ ಇಲ್ಲದೆ ಅಧರ್ಮವನ್ನು ಕಂಡು ಹಿಡಿಯುವನು.
