[IRV | KN | OT | Job | Chapter 6 | Verse 1] ಆ ಮೇಲೆ ಯೋಬನು ಮತ್ತೆ ಇಂತೆಂದನು,
[IRV | KN | OT | Job | Chapter 6 | Verse 2] “ಆಹಾ, ತ್ರಾಸಿನಲ್ಲಿ ನನ್ನ ವಿಪತ್ತನ್ನು ಇಟ್ಟು; ಅದರಿಂದ ನನ್ನ ಕರಕರೆಯ ಭಾರವನ್ನು ತೂಕ ಮಾಡುವುದಾದರೆ ಎಷ್ಟೋ ಒಳ್ಳೆಯದು.
[IRV | KN | OT | Job | Chapter 6 | Verse 3] ಆಗ ನನ್ನ ವಿಪತ್ತು ಸಮುದ್ರದ ಮರಳಿಗಿಂತಲೂ ಹೆಚ್ಚು ಭಾರವುಳ್ಳದ್ದೆಂದು ಗೊತ್ತಾಗುವುದು ಎಂದು ದುಡುಕಿನಿಂದ ಮಾತನಾಡಿದ್ದೇನೆ.
[IRV | KN | OT | Job | Chapter 6 | Verse 4] ಸರ್ವಶಕ್ತನಾದ ದೇವರ ಬಾಣಗಳು ನನ್ನಲ್ಲಿ ನಾಟಿರುತ್ತವೆ, ನನ್ನ ಆತ್ಮವು ಅವುಗಳ ವಿಷವನ್ನು ಹೀರಿಕೊಳ್ಳುತ್ತದೆ; ದೇವರು ಕಳುಹಿಸಿದ ಅಪಾಯಗಳು ನನಗೆ ವಿರುದ್ಧವಾಗಿ ವ್ಯೂಹಕಟ್ಟಿವೆ.
[IRV | KN | OT | Job | Chapter 6 | Verse 5] ಕಾಡುಕತ್ತೆಗೆ ಹುಲ್ಲಿರಲು ಅರಚೀತೇ? ಎತ್ತಿಗೆ ಮೇವಿರಲು ಕೂಗೀತೇ?
[IRV | KN | OT | Job | Chapter 6 | Verse 6] ಸಪ್ಪೆಯನ್ನು ಉಪ್ಪಿಲ್ಲದೆ ತಿನ್ನಬಹುದೇ? ಮೊಟ್ಟೆಯಲ್ಲಿರುವ ಲೋಳೆಯು ರುಚಿಯೇ?
[IRV | KN | OT | Job | Chapter 6 | Verse 7] ಇಂಥಾ ಆಹಾರವು ನನಗೆ ಅಸಹ್ಯವಾಗಿದೆ; ಮುಟ್ಟಲಾರೆನು.
[IRV | KN | OT | Job | Chapter 6 | Verse 8] ಅಯ್ಯೋ, ನನ್ನ ವಿಜ್ಞಾಪನೆಯು ನೆರವೇರುವುದಿಲ್ಲವೇ, ನಾನು ಬಯಸುವುದನ್ನು ದೇವರು ಕೊಡುವುದಿಲ್ಲವೇ?
[IRV | KN | OT | Job | Chapter 6 | Verse 9] ನಾನು ನಾಶವಾಗುವುದು ದೇವರಿಗೆ ಮೆಚ್ಚಿಕೆಯಾಗುವುದಾದರೆ, ತನ್ನ ಕೈ ಚಾಚಿ ನನ್ನನ್ನು ಸಂಹರಿಸಿದರೆ ಒಳ್ಳೆಯದು.
[IRV | KN | OT | Job | Chapter 6 | Verse 10] ಆಗ ನಾನು ಆದರಣೆ ಹೊಂದಿ ಮಿತಿಯಿಲ್ಲದ ಯಾತನೆಯಲ್ಲಿಯೂ ಉಲ್ಲಾಸಿಸುವೆನು. ಪರಿಶುದ್ಧ ದೇವರ ಆಜ್ಞೆಗಳನ್ನು ನಾನು ತೊರೆದುಬಿಟ್ಟವನಲ್ಲ.
[IRV | KN | OT | Job | Chapter 6 | Verse 11] ನನ್ನ ಬಲವು ಎಷ್ಟರದು, ನಾನು ಹೇಗೆ ಕಾದುಕೊಳ್ಳಲಿ? ನನ್ನ ಅಂತ್ಯಸ್ಥಿತಿಯೇನು, ನಾನು ತಾಳ್ಮೆಯಿಂದಿರುವುದೇಕೆ?
[IRV | KN | OT | Job | Chapter 6 | Verse 12] ನನ್ನ ಬಲವು ಕಲ್ಲಿನ ಬಲವೋ? ಅಥವಾ ನನ್ನ ಶರೀರವು ತಾಮ್ರದ್ದೋ?
