[IRV | KN | OT | Job | Chapter 15 | Verse 1] ಆಗ ತೇಮಾನ್ಯನಾದ ಎಲೀಫಜನು ಮತ್ತೆ ಹೀಗೆಂದನು,
[IRV | KN | OT | Job | Chapter 15 | Verse 2] “ಜ್ಞಾನಿಯು ತನ್ನ ಹೊಟ್ಟೆಯಲ್ಲಿ ಮೂಡಣ ಗಾಳಿಯನ್ನು ತುಂಬಿಕೊಂಡು, ಶೂನ್ಯವಾದ ತಿಳಿವಳಿಕೆಯಿಂದ ಮಾತನಾಡಬಹುದೇ?
[IRV | KN | OT | Job | Chapter 15 | Verse 3] ಪ್ರಯೋಜನವಿಲ್ಲದ ನುಡಿಯಿಂದಲೂ, ಫಲವಿಲ್ಲದ ವಾಕ್ಯಗಳಿಂದಲೂ ತರ್ಕಿಸುವುದು ಯುಕ್ತವೋ?
[IRV | KN | OT | Job | Chapter 15 | Verse 4] ಇದಲ್ಲದೆ ನೀನು ದೇವರ ಭಯವನ್ನು ಹಾಳುಮಾಡುತ್ತಿರುವೆ, ನೀನು ನನ್ನನ್ನು ಪಾತಾಳಕ್ಕೆ ತಳ್ಳಿ ನನ್ನ ದೇವಭಕ್ತಿಯನ್ನು ಕ್ಷಯಗೊಳಿಸುತ್ತೀ.
[IRV | KN | OT | Job | Chapter 15 | Verse 5] ನಿನ್ನ ಪಾಪವೇ ನಿನಗೆ ಮಾತುಗಳನ್ನು ಕಲಿಸಿಕೊಡುತ್ತದೆ. ಕಪಟಿಗಳು ಆಡುವ ಭಾಷೆಯನ್ನು ಆರಿಸಿಕೊಂಡಿದ್ದಿ.
[IRV | KN | OT | Job | Chapter 15 | Verse 6] ನಿನ್ನನ್ನು ಅಪರಾಧಿಯೆಂದು ನಿರ್ಣಯಿಸುವವನು ನಾನಲ್ಲ, ನಿನ್ನ ಮಾತುಗಳು ಕೂಡ ನಿನಗೆ ವಿರುದ್ಧವಾಗಿ ಸಾಕ್ಷಿ ಕೊಡುತ್ತವೆ, ನಿನ್ನನ್ನು ಅಪರಾಧಿಯನ್ನಾಗಿಸುತ್ತದೆ.
[IRV | KN | OT | Job | Chapter 15 | Verse 7] ನೀನು ಆದಿಪುರುಷನೋ? ಬೆಟ್ಟಗಳಿಗಿಂತ ಮುಂಚೆ ಹುಟ್ಟಿದವನೋ?
[IRV | KN | OT | Job | Chapter 15 | Verse 8] ದೇವರ ಆಲೋಚನಾ ಸಭೆಯಲ್ಲಿದ್ದುಕೊಂಡು ಅಲ್ಲಿ ಹೇಳಿದ್ದನ್ನು ಕೇಳಿದ್ದೀಯಾ? ಜ್ಞಾನವನ್ನೆಲ್ಲಾ ನಿನ್ನ ಕಡೆಗೆ ಸೆಳೆದುಕೊಂಡಿದ್ದೀಯಾ?
[IRV | KN | OT | Job | Chapter 15 | Verse 9] ನಮಗೆ ತಿಳಿಯದಿರುವ ಯಾವ ವಿಷಯ ಗೊತ್ತಿದೆ? ನಮ್ಮಲ್ಲಿಲ್ಲದ ಯಾವ ಸಂಗತಿಯನ್ನು ಗ್ರಹಿಸಿದ್ದೀ?
[IRV | KN | OT | Job | Chapter 15 | Verse 10] ತಲೆನರೆತು ನಿನ್ನ ತಂದೆಗಿಂತ ವೃದ್ಧನಾದ ಮುದುಕನು ನಮ್ಮಲ್ಲಿದ್ದಾನೆ.
[IRV | KN | OT | Job | Chapter 15 | Verse 11] ದೇವರ ಆದರಣೆಗಳೂ, ನಿನಗೆ ದೊರೆತ ಶಾಂತಿಯ ಮಾತುಗಳೂ ಸಾಲುವುದಿಲ್ಲವೇ?
[IRV | KN | OT | Job | Chapter 15 | Verse 12] ನಿನ್ನ ಹೃದಯವು ಏಕೆ ನಿನ್ನನ್ನು ಸೆಳೆದುಕೊಂಡು ಹೋಗುವುದು? ನಿನ್ನ ಕಣ್ಣುಗಳು ಕಿಡಿಕಿಡಿಯಾಗುವುದೇಕೆ?
[IRV | KN | OT | Job | Chapter 15 | Verse 13] ನೀನು ದೇವರಿಗೆ ವಿರುದ್ಧವಾಗಿ ತಿರುಗಿಬಿದ್ದು ವ್ಯರ್ಥವಾದ ಮಾತುಗಳನ್ನು ಸುಮ್ಮನೆ ಸುರಿಸುತ್ತೀಯಲ್ಲಾ!
[IRV | KN | OT | Job | Chapter 15 | Verse 14] ನರನು ಎಷ್ಟರವನು! ಅವನು ಪರಿಶುದ್ಧನಾಗಿರುವುದು ಸಾಧ್ಯವೋ? ಮಾನವನಾಗಿ ಹುಟ್ಟಿದವನು ನೀತಿವಂತನಾಗಿರಬಹುದೇ?
[IRV | KN | OT | Job | Chapter 15 | Verse 15] ಆಹಾ, ತನ್ನ ದೂತರಲ್ಲಿಯೂ ಆತನು ನಂಬಿಕೆಯಿಡುವುದಿಲ್ಲ, ಆಕಾಶವೂ ಆತನ ದೃಷ್ಟಿಯಲ್ಲಿ ನಿರ್ಮಲವಾಗಿರದು.
[IRV | KN | OT | Job | Chapter 15 | Verse 16] ಹೀಗಿರಲು ಅಧರ್ಮವನ್ನು ನೀರಿನಂತೆ ಕುಡಿಯುತ್ತಾ ಅಸಹ್ಯನೂ, ಕೆಟ್ಟವನೂ ಆದ ನರಜನ್ಮದವನು ಮತ್ತೂ ಅಶುದ್ಧನಲ್ಲವೇ!
[IRV | KN | OT | Job | Chapter 15 | Verse 17] ಕೇಳು, ನಾನು ಒಂದು ಸಂಗತಿಯನ್ನು ತಿಳಿಸುವೆನು, ಕಂಡದ್ದನ್ನೇ ವಿವರಿಸುವೆನು.
