[IRV | KN | OT | Job | Chapter 41 | Verse 1] ಲಿವ್ಯಾತಾನ್ ಮೊಸಳೆಯನ್ನು ಮೀನು ಗಾಳದಿಂದ ಎಳೆಯುವಿಯೋ? ಹುರಿಯಿಂದ ಅದರ ನಾಲಿಗೆಯನ್ನು ಅದುಮಿ ಬಿಗಿಯುವಿಯೋ?
[IRV | KN | OT | Job | Chapter 41 | Verse 2] ಅದರ ಮೂಗಿಗೆ ಗಾಳವನ್ನು ಇಡುವೆಯೋ? ಅದರ ದವಡೆಗೆ ಮುಳ್ಳನ್ನು ಚುಚ್ಚುವಿಯೋ?
[IRV | KN | OT | Job | Chapter 41 | Verse 3] ಅದು ನಿನ್ನ ಬಳಿ ವಿಜ್ಞಾಪಿಸುವುದೋ? ನಿನ್ನ ಸಂಗಡ ಸವಿಮಾತನಾಡೀತೇ?
[IRV | KN | OT | Job | Chapter 41 | Verse 4] ಅದನ್ನು ನೀನು ಸದಾ ಆಳಾಗಿ ಸೇರಿಸಿಕೊಳ್ಳುವಂತೆ, ನಿನ್ನೊಂದಿಗೆ ಒಪ್ಪಂದ ಮಾಡಿಕೊಳ್ಳುವುದೋ?
[IRV | KN | OT | Job | Chapter 41 | Verse 5] ಅದನ್ನು ಪಕ್ಷಿಯಂತೆ ಆಡಿಸುವೆಯಾ? ನಿನ್ನ ಹುಡುಗಿಯರ ವಿನೋದಕ್ಕಾಗಿ ಅದನ್ನು ಕಟ್ಟುವೆಯಾ?
[IRV | KN | OT | Job | Chapter 41 | Verse 6] ಪಾಲುಗಾರರಾದ ಬೆಸ್ತರು ಅದನ್ನು ವ್ಯಾಪಾರಕ್ಕೆ ಇಡುವರೋ? ವರ್ತಕರಿಗೆ ಹಂಚಿ ಮಾರುವರೋ?
[IRV | KN | OT | Job | Chapter 41 | Verse 7] ಅದರ ಚರ್ಮವನ್ನೆಲ್ಲ ಕೊಂಡಿಗಳಿಂದಲೂ ಅಥವಾ ತಲೆಯನ್ನೆಲ್ಲ ಮೀನಿನ ಈಟಿಗಳಿಂದಲೂ ಚುಚ್ಚಬಲ್ಲೆಯಾ?
[IRV | KN | OT | Job | Chapter 41 | Verse 8] ಅದರ ಮೇಲೆ ಕೈಹಾಕಿ ನೋಡು! ಆ ಜಗಳವನ್ನು ನೆನಸಿಕೊಂಡರೆ ನೀನು ಮತ್ತೆ ಅದನ್ನು ಮುಟ್ಟುವುದೇ ಇಲ್ಲ.
[IRV | KN | OT | Job | Chapter 41 | Verse 9] ಆಹಾ, ಅದನ್ನು ಹಿಡಿಯಬೇಕೆಂಬ ನಿರೀಕ್ಷೆಯು ವ್ಯರ್ಥ! ಹಿಡಿಯಲು ಬಂದವನು ನೋಡಿದ ಮಾತ್ರಕ್ಕೆ ಬಿದ್ದು ಹೋಗುವನು.
[IRV | KN | OT | Job | Chapter 41 | Verse 10] ಅದನ್ನು ಕೆಣಕಲು ಧೈರ್ಯಗೊಳ್ಳುವಷ್ಟು ಉಗ್ರತೆ ಯಾರಲ್ಲಿಯೂ ಇಲ್ಲ; ಹೀಗಿರಲು ನನ್ನ ಮುಂದೆ ನಿಲ್ಲಬಲ್ಲವರು ಯಾರು?
[IRV | KN | OT | Job | Chapter 41 | Verse 11] ನಾನು ಸಾಲ ತೀರಿಸಬೇಕಾದರೆ ಮೊದಲು ಅದನ್ನು ನನಗೆ ಕೊಟ್ಟವರು ಯಾರು? ಆಕಾಶಮಂಡಲದ ಕೆಳಗಿರುವ ಸರ್ವಸ್ವವೂ ನನ್ನದೇ.
[IRV | KN | OT | Job | Chapter 41 | Verse 12] ನಾನು ಅದರ ಅಂಗಗಳನ್ನೂ ಶಕ್ತಿವಿಧಾನವನ್ನೂ ಸೊಗಸಾದ ಜೋಡಣೆಯನ್ನೂ ವರ್ಣಿಸದೆ ಸುಮ್ಮನಿರಲಾರೆನು.
[IRV | KN | OT | Job | Chapter 41 | Verse 13] ಅದರ ಹೊರಕವಚವನ್ನು ಯಾರು ತೆಗೆಯುವರು? ಜೋಡು ದವಡೆಗಳೊಳಗೆ ಪ್ರವೇಶಿಸುವವರು ಯಾರು?
[IRV | KN | OT | Job | Chapter 41 | Verse 14] ಮುಖದ ಕದಗಳನ್ನು ಯಾರು ತೆರೆದಾರು? ಭಯವು ಅದರ ಹಲ್ಲುಗಳನ್ನು ಆವರಿಸಿಕೊಂಡಿದೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 15] ಗುರಾಣಿಗಳ ಸಾಲುಗಳು ಅದರ ಹೆಚ್ಚಳಕ್ಕೆ ಆಸ್ಪದವಾಗಿದೆ. ಅವು ಬಿಗಿದು ಮುದ್ರಿಸಲ್ಪಟ್ಟಿವೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 16] ಗಾಳಿಯು ಕೂಡ ನುಗ್ಗದಂತೆ ಅವು ಒಂದಕ್ಕೊಂದು ಹೊಂದಿಕೊಂಡಿವೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 17] ಪರಸ್ಪರ ಅಂಟಿಕೊಂಡು ವಿಂಗಡಿಸದ ಹಾಗೆ ಹಿಡಿದುಕೊಂಡಿವೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 18] ಅದರ ಸೀನಿನ ತುಂತುರುಗಳು ತಳತಳಿಸುವವು, ಕಣ್ಣು ಅರುಣನೇತ್ರಕ್ಕೆ ಸಮಾನವಾಗಿದೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 19] ಬಾಯೊಳಗಿಂದ ಕೊಳ್ಳಿಗಳು ಹೊರಡುವವು, ಬೆಂಕಿಕಿಡಿಗಳು ಹಾರುವವು.
[IRV | KN | OT | Job | Chapter 41 | Verse 20] ಆಪುಹುಲ್ಲಿಗೆ ಬೆಂಕಿಯಿಟ್ಟು ಊದಿ ಕಾಯಿಸಿದ ಕೊಪ್ಪರಿಗೆಯಿಂದಲೋ ಎಂಬಂತೆ ಮೂಗಿನೊಳಗಿಂದ ಹೊಗೆ ಹಾಯುವುದು.
[IRV | KN | OT | Job | Chapter 41 | Verse 21] ಅದರ ಉಸಿರೇ ಇದ್ದಲನ್ನು ಹೊತ್ತಿಸುವುದು, ಜ್ವಾಲೆಯು ಬಾಯಿಂದೇಳುವುದು.
[IRV | KN | OT | Job | Chapter 41 | Verse 22] ಬಲವು ಕುತ್ತಿಗೆಯಲ್ಲಿ ನೆಲೆಗೊಂಡಿದೆ, ಅದರ ಮುಂದೆ ಭಯವು ಕುಣಿದಾಡುವುದು.
[IRV | KN | OT | Job | Chapter 41 | Verse 23] ಅದರ ಮಾಂಸದ ಖಂಡಗಳು ಸಡಿಲವಿಲ್ಲದೆ ಅದಕ್ಕೆ ಗಟ್ಟಿಯಾಗಿ ಅಂಟಿಕೊಂಡಿವೆ.
[IRV | KN | OT | Job | Chapter 41 | Verse 24] ಅದರ ಹೃದಯವು ಬಂಡೆಯ ಹಾಗೂ ಬೀಸುವ ಕೆಳಗಲ್ಲಿನಂತೆಯೂ ಗಟ್ಟಿಯಾಗಿದೆ.
