[ERV | EN | OT | Zechariah | Chapter 6 | Verse 1] And again I lifted up mine eyes, and saw, and behold, there came four chariots out from between two mountains; and the mountains were mountains of brass.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 2] In the first chariot were red horses; and in the second chariot black horses;
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 3] and in the third chariot white horses; and in the fourth chariot grisled bay horses.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 4] Then I answered and said unto the angel that talked with me, What are these, my lord?
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 5] And the angel answered and said unto me, These are the four winds of heaven, which go forth from standing before the Lord of all the earth.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 6] The chariot wherein are the black horses goeth forth toward the north country; and the white went forth after them; and the grisled went forth toward the south country.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 7] And the bay went forth, and sought to go that they might walk to and fro through the earth: and he said, Get you hence, walk to and fro through the earth. So they walked to and fro through the earth.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 8] Then cried he upon me, and spake unto me, saying, Behold, they that go toward the north country have quieted my spirit in the north country.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 9] And the word of the LORD came unto me, saying,
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 10] Take of them of the captivity, even of Heldai, of Tobijah, and of Jedaiah; and come thou the same day, and go into the house of Josiah the son of Zephaniah, whither they are come from Babylon;
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 11] yea, take of them silver and gold, and make crowns, and set them upon the head of Joshua the son of Jehozadak, the high priest;
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 12] and speak unto him, saying, Thus speaketh the LORD of hosts, saying, Behold, the man whose name is the Branch; and he shall grow up out of his place, and he shall build the temple of the LORD:
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 13] even he shall build the temple of the LORD; and he shall bear the glory, and shall sit and rule upon his throne; and he shall be a priest upon his throne: and the counsel of peace shall be between them both.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 14] And the crowns shall be to Helem, and to Tobijah, and to Jedaiah, and to Hen the son of Zephaniah, for a memorial in the temple of the LORD.
[ERV | EN | OT | Zechariah | Chapter 6 | Verse 15] And they that are far off shall come and build in the temple of the LORD, and ye shall know that the LORD of hosts hath sent me unto you. And this shall come to pass, if ye will diligently obey the voice of the LORD your God.
