[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom hath built her house, she hath hewn out her seven pillars;
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 2] she hath slaughtered her cattle, she hath mingled her wine, she hath also prepared her table;
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 3] she hath sent forth her maidens: she crieth upon the summits of the high places of the city,
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 4] Whoso is simple, let him turn in hither. To him that is void of understanding, she saith,
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 5] Come, eat ye of my bread, and drink of the wine that I have mingled.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 6] Forsake follies and live, and go in the way of intelligence.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 7] He that instructeth a scorner getteth to himself shame; and he that reproveth a wicked [man] [getteth] to himself a blot.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 8] Reprove not a scorner, lest he hate thee; reprove a wise [man], and he will love thee.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 9] Impart to a wise [man], and he will become yet wiser; teach a righteous [man], and he will increase learning.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of Jehovah is the beginning of wisdom; and the knowledge of the Holy is intelligence.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 11] For by me thy days shall be multiplied, and years of life shall be added to thee.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 12] If thou art wise, thou shalt be wise for thyself; and if thou scornest, thou alone shalt bear it.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 13] The foolish woman is clamorous; she is stupid, and knoweth nothing.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 14] And she sitteth at the entry of her house, on a seat in the high places of the city,
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 15] to call passers-by who go right on their ways:
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 16] Whoso is simple, let him turn in hither. And to him that is void of understanding she saith,
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 17] Stolen waters are sweet, and the bread of secrecy is pleasant.
[DARBY | EN | OT | Proverbs | Chapter 9 | Verse 18] But he knoweth not that the dead are there; [that] her guests are in the depths of Sheol.
