[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 1] The Proverbs of Solomon. A wise son maketh a glad father; but a foolish son is the grief of his mother.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 2] Treasures of wickedness profit nothing; but righteousness delivereth from death.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 3] Jehovah suffereth not the soul of the righteous [man] to famish; but he repelleth the craving of the wicked.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 4] He cometh to want that dealeth with a slack hand; but the hand of the diligent maketh rich.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 5] He that gathereth in summer is a wise son; he that sleepeth in harvest is a son that causeth shame.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 6] Blessings are upon the head of a righteous [man]; but the mouth of the wicked covereth violence.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 7] The memory of the righteous [man] shall be blessed; but the name of the wicked shall rot.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 8] The wise in heart receiveth commandments; but a prating fool shall fall.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 9] He that walketh in integrity walketh securely; but he that perverteth his ways shall be known.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 10] He that winketh with the eye causeth grief, and a prating fool shall fall.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 11] The mouth of a righteous [man] is a fountain of life; but the mouth of the wicked covereth violence.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 12] Hatred stirreth up strifes; but love covereth all transgressions.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 13] In the lips of an intelligent [man] wisdom is found; but a rod is for the back of him that is void of understanding.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 14] The wise lay up knowledge; but the mouth of the fool is near destruction.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 15] The rich man's wealth is his strong city; the destruction of the poor is their poverty.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 16] The labour of a righteous [man] [tendeth] to life; the revenue of a wicked [man], to sin.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 17] Keeping instruction is the path to life; but he that forsaketh reproof goeth astray.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 18] He that covereth hatred hath lying lips, and he that sendeth forth a slander is a fool.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 19] In the multitude of words there wanteth not transgression; but he that restraineth his lips doeth wisely.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 20] The tongue of the righteous [man] is [as] choice silver; the heart of the wicked is little worth.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 21] The lips of a righteous [man] feed many; but fools die for want of understanding.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 22] The blessing of Jehovah, it maketh rich, and he addeth no sorrow to it.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 23] It is as sport to a foolish [man] to do wickedness; but a man of understanding hath wisdom.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 24] The fear of a wicked [man], it shall come upon him; but the desire of the righteous shall be granted.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 25] As a whirlwind passeth, so is the wicked no [more]; but the righteous is an everlasting foundation.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 26] As vinegar to the teeth, and as smoke to the eyes, so is the sluggard to them that send him.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 27] The fear of Jehovah prolongeth days; but the years of the wicked shall be shortened.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 28] The hope of the righteous is joy; but the expectation of the wicked shall perish.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 29] The way of Jehovah is strength to the perfect [man], but destruction to the workers of iniquity.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 30] The righteous [man] shall never be moved; but the wicked shall not inhabit the land.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 31] The mouth of a righteous [man] putteth forth wisdom; but the froward tongue shall be cut out.
[DARBY | EN | OT | Proverbs | Chapter 10 | Verse 32] The lips of a righteous [man] know what is acceptable; but the mouth of the wicked is frowardness.
