[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 1] The words of king Lemuel, the prophecy that his mother taught him:
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 2] What, my son? and what, O son of my womb? and what, O son of my vows?
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 3] Give not thy strength unto women, nor thy ways to them that destroy kings.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, Lemuel, it is not for kings to drink wine, nor for rulers [to say], Where is the strong drink?
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 5] — lest they drink and forget the law, and pervert the judgment of any of the children of affliction.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink unto him that is ready to perish, and wine unto the bitter of soul:
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 7] let him drink, and forget his poverty, and remember his misery no more.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 8] Open thy mouth for the dumb, for the cause of all those that are left desolate.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 9] Open thy mouth, judge righteously, and minister justice to the afflicted and needy.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 10] Who can find a woman of worth? for her price is far above rubies.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband confideth in her, and he shall have no lack of spoil.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 12] She doeth him good, and not evil, all the days of her life.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 13] She seeketh wool and flax, and worketh willingly with her hands.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the merchants' ships: she bringeth her food from afar;
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 15] And she riseth while it is yet night, and giveth meat to her household, and the day's work to her maidens.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 16] She considereth a field, and acquireth it; of the fruit of her hands she planteth a vineyard.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 17] She girdeth her loins with strength, and maketh strong her arms.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 18] She perceiveth that her earning is good; her lamp goeth not out by night.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 19] She putteth her hands to the distaff, and her hands hold the spindle.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 20] She stretcheth out her hand to the afflicted, and she reacheth forth her hands to the needy.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 21] She is not afraid of the snow for her household; for all her household are clothed with scarlet.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 22] She maketh herself coverlets; her clothing is byssus and purple.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is known in the gates, when he sitteth among the elders of the land.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 24] She maketh body linen and selleth it, and delivereth girdles unto the merchant.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and dignity are her clothing, and she laugheth [at] the coming day.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 26] She openeth her mouth with wisdom; and upon her tongue is the law of kindness.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 27] She surveyeth the ways of her household, and eateth not the bread of idleness.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise up and call her blessed; her husband [also], and he praiseth her:
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 29] Many daughters have done worthily, but thou excellest them all.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 30] Gracefulness is deceitful and beauty is vain; a woman [that] feareth Jehovah, she shall be praised.
[DARBY | EN | OT | Proverbs | Chapter 31 | Verse 31] Give her of the fruit of her hands, and let her own works praise her in the gates.
