[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 1] He that separateth himself seeketh [his] pleasure, he is vehement against all sound wisdom.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 2] A fool hath no delight in understanding, but only that his heart may reveal itself.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 3] When the wicked cometh, there cometh also contempt, and with ignominy reproach.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 4] The words of a man's mouth are deep waters, [and] the fountain of wisdom is a gushing brook.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 5] It is not good to accept the person of the wicked, to wrong the righteous in judgment.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 6] A fool's lips enter into contention, and his mouth calleth for stripes.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 7] A fool's mouth is destruction to him, and his lips are a snare to his soul.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 8] The words of a talebearer are as dainty morsels, and they go down into the innermost parts of the belly.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 9] He also who is indolent in his work is brother of the destroyer.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 10] The name of Jehovah is a strong tower: the righteous runneth into it, and is safe.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 11] The rich man's wealth is his strong city, and as a high wall in his own imagination.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 12] Before destruction the heart of man is haughty; and before honour [goeth] humility.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 13] He that giveth answer before he heareth, it is folly and shame unto him.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 14] The spirit of a man sustaineth his infirmity; but a broken spirit who can bear?
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 15] The heart of an intelligent [man] getteth knowledge, and the ear of the wise seeketh knowledge.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 16] A man's gift maketh room for him, and bringeth him before great men.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 17] He that is first in his own cause [seemeth] just; but his neighbour cometh and searcheth him.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 18] The lot causeth contentions to cease, and parteth between the mighty.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 19] A brother offended is [harder to be won] than a strong city; and contentions are as the bars of a palace.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 20] A man's belly is satisfied with the fruit of his mouth; with the increase of his lips is he satisfied.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 21] Death and life are in the power of the tongue, and they that love it shall eat the fruit thereof.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 22] Whoso hath found a wife hath found a good thing, and hath obtained favour from Jehovah.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 23] He that is poor speaketh with supplications, but the rich answereth roughly.
[DARBY | EN | OT | Proverbs | Chapter 18 | Verse 24] A man of [many] friends will come to ruin but there is a friend [that] sticketh closer than a brother.
