[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 1] A false balance is an abomination to Jehovah; but a just weight is his delight.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 2] [When] pride cometh, then cometh shame; but with the lowly is wisdom.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 3] The integrity of the upright guideth them; but the crookedness of the unfaithful destroyeth them.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 4] Wealth profiteth not in the day of wrath; but righteousness delivereth from death.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousness of the perfect maketh plain his way; but the wicked falleth by his own wickedness.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousness of the upright delivereth them; but the treacherous are taken in their own craving.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 7] When a wicked man dieth, [his] expectation shall perish; and the hope of evil [men] perisheth.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous is delivered out of trouble, and the wicked cometh in his stead.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 9] With his mouth a hypocrite destroyeth his neighbour; but through knowledge are the righteous delivered.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 10] When it goeth well with the righteous, the city rejoiceth; and when the wicked perish, there is shouting.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the upright the city is exalted; but it is overthrown by the mouth of the wicked.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 12] He that despiseth his neighbour is void of heart; but a man of understanding holdeth his peace.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 13] He that goeth about talebearing revealeth secrets; but he that is of a faithful spirit concealeth the matter.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 14] Where no advice is, the people fall; but in the multitude of counsellors there is safety.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 15] It goeth ill with him that is surety for another; but he that hateth suretyship is secure.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman retaineth honour; and the violent retain riches.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 17] The merciful man doeth good to his own soul; but the cruel troubleth his own flesh.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked worketh a deceitful work; but he that soweth righteousness hath a sure reward.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 19] As righteousness [tendeth] to life, so he that pursueth evil [doeth it] to his own death.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 20] The perverse in heart are abomination to Jehovah; but they that are perfect in [their] way are his delight.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 21] Hand for hand! an evil [man] shall not be held innocent; but the seed of the righteous shall be delivered.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 22] A fair woman who is without discretion, is [as] a gold ring in a swine's snout.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous is only good; the expectation of the wicked is wrath.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 24] There is that scattereth, and yet increaseth; and there is that withholdeth more than is right, but [it tendeth] only to want.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 25] The liberal soul shall be made fat, and he that watereth shall be watered also himself.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 26] He that withholdeth corn, the people curse him; but blessing shall be upon the head of him that selleth it.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 27] He that is earnest after good seeketh favour; but he that searcheth for mischief, it shall come upon him.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 28] He that trusteth in his riches shall fall; but the righteous shall flourish as a leaf.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 29] He that troubleth his own house shall inherit wind; and the fool shall be servant to the wise of heart.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the righteous is a tree of life; and the wise winneth souls.
[DARBY | EN | OT | Proverbs | Chapter 11 | Verse 31] Behold, the righteous shall be requited on the earth: how much more the wicked and the sinner.
