[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 1] My son, forget not my teaching, and let thy heart observe my commandments;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 2] for length of days, and years of life, and peace shall they add to thee.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 3] Let not loving-kindness and truth forsake thee; bind them about thy neck, write them upon the tablet of thy heart:
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 4] and thou shalt find favour and good understanding in the sight of God and man.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 5] Confide in Jehovah with all thy heart, and lean not unto thine own intelligence;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 6] in all thy ways acknowledge him, and he will make plain thy paths.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 7] Be not wise in thine own eyes; fear Jehovah, and depart from evil:
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 8] it shall be health for thy navel, and moisture for thy bones.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 9] Honour Jehovah with thy substance, and with the first-fruits of all thine increase;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 10] so shall thy barns be filled with plenty, and thy vats shall overflow with new wine.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 11] My son, despise not the instruction of Jehovah, neither be weary of his chastisement;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 12] for whom Jehovah loveth he chasteneth, even as a father the son in whom he delighteth.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 13] Blessed is the man that findeth wisdom, and the man that getteth understanding.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 14] For the gain thereof is better than the gain of silver, and her revenue than fine gold.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 15] She is more precious than rubies; and all the things thou canst desire are not equal unto her.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 16] Length of days is in her right hand; in her left hand riches and honour.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 17] Her ways are ways of pleasantness, and all her paths are peace.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 18] She is a tree of life to them that lay hold upon her; and happy is he that retaineth her.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 19] Jehovah by wisdom founded the earth; by understanding he established the heavens.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 20] By his knowledge the deeps were broken up, and the skies drop down the dew.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 21] My son, let them not depart from thine eyes; keep sound wisdom and discretion:
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 22] so shall they be life unto thy soul, and grace unto thy neck.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 23] Then shalt thou walk in thy way securely, and thy foot shall not stumble;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 24] when thou liest down, thou shalt not be afraid, but thou shalt lie down and thy sleep shall be sweet.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 25] Be not afraid of sudden fear, neither of the destruction of the wicked, when it cometh;
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 26] for Jehovah shall be thy confidence, and he will keep thy foot from being taken.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 27] Withhold not good from them to whom it is due, when it is in the power of thy hand to do it.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 28] Say not unto thy neighbour, Go, and come again, and to-morrow I will give, when thou hast it by thee.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 29] Devise not evil against thy neighbour, seeing he dwelleth securely by thee.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 30] Strive not with a man without cause, if he have done thee no harm.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 31] Envy not the man of violence, and choose none of his ways.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 32] For the perverse is an abomination to Jehovah; but his secret is with the upright.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 33] The curse of Jehovah is in the house of the wicked; but he blesseth the habitation of the righteous.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 34] He indeed scorneth the scorners; but he giveth grace unto the lowly.
[DARBY | EN | OT | Proverbs | Chapter 3 | Verse 35] The wise shall inherit glory; but shame shall be the promotion of the foolish.
