[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 1] The wisdom of women buildeth their house; but folly plucketh it down with her hands.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 2] He that walketh in his uprightness feareth Jehovah; but he that is perverted in his ways despiseth him.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 3] In the fool's mouth is a rod of pride; but the lips of the wise shall preserve them.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 4] Where no oxen are, the crib is clean; but much increase is by the strength of the ox.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 5] A faithful witness will not lie; but a false witness uttereth lies.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 6] A scorner seeketh wisdom, and there is none [for him]; but knowledge is easy unto the intelligent.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 7] Go from the presence of a foolish man, in whom thou perceivest not the lips of knowledge.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 8] The wisdom of the prudent is to discern his way; but the folly of the foolish is deceit.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 9] Fools make a mock at trespass; but for the upright there is favour.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 10] The heart knoweth its own bitterness, and a stranger doth not intermeddle with its joy.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 11] The house of the wicked shall be overthrown; but the tent of the upright shall flourish.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 12] There is a way that seemeth right unto a man, but the end thereof is the ways of death.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 13] Even in laughter the heart is sorrowful, and the end of mirth is sadness.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 14] The backslider in heart shall be filled with his own ways, and the good man from what is in himself.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 15] The simple believeth every word; but the prudent [man] heedeth his going.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 16] A wise [man] feareth and departeth from evil; but the foolish is overbearing and confident.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 17] He that is soon angry dealeth foolishly, and a man of mischievous devices is hated.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 18] The simple inherit folly; but the prudent are crowned with knowledge.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 19] The evil bow before the good, and the wicked at the gates of the righteous [man].
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 20] He that is poor is hated even of his own neighbour; but the rich hath many friends.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 21] He that despiseth his neighbour sinneth; but he that is gracious to the afflicted, happy is he.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 22] Do they not err that devise evil? but loving-kindness and truth are for those that devise good.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 23] In all labour there is profit; but the talk of the lips [tendeth] only to want.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 24] The crown of the wise is their riches; the folly of the foolish is folly.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 25] A true witness delivereth souls; but deceit uttereth lies.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 26] In the fear of Jehovah is strong confidence, and his children shall have a place of refuge.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 27] The fear of Jehovah is a fountain of life, to turn away from the snares of death.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 28] In the multitude of people is the king's glory; but in the lack of people is the ruin of a prince.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 29] He that is slow to anger is of great understanding; but he that is hasty of spirit exalteth folly.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 30] A sound heart is the life of the flesh; but envy the rottenness of the bones.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 31] He that oppresseth the poor reproacheth his Maker; but he that honoureth Him is gracious to the needy.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 32] The wicked is driven away by his evil-doing; but the righteous trusteth, [even] in his death.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 33] Wisdom resteth in the heart of the intelligent [man]; but that which is in the foolish maketh itself known.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 34] Righteousness exalteth a nation; but sin is a reproach to peoples.
[DARBY | EN | OT | Proverbs | Chapter 14 | Verse 35] The king's favour is toward a wise servant; but his wrath is [against] him that causeth shame.
