[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 1] My son, keep my words, and lay up my commandments with thee.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 2] Keep my commandments, and live; and my teaching, as the apple of thine eye.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 3] Bind them upon thy fingers, write them upon the tablet of thy heart.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 4] Say unto wisdom, Thou art my sister, and call intelligence [thy] kinswoman:
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 5] that they may keep thee from the strange woman, from the stranger who flattereth with her words.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 6] For at the window of my house, I looked forth through my lattice,
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 7] and I beheld among the simple ones, I discerned among the sons, a young man void of understanding,
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 8] passing through the street near her corner; and he went the way to her house,
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 9] in the twilight, in the evening of the day, in the blackness of night and the darkness.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 10] And behold, there met him a woman in the attire of a harlot, and subtle of heart.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 11] She is clamorous and unmanageable; her feet abide not in her house:
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 12] now without, now in the broadways, — and she lieth in wait at every corner.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 13] And she caught him and kissed him, and with an impudent face said unto him,
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 14] I have peace-offerings with me; this day have I paid my vows:
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 15] therefore came I forth to meet thee, to seek earnestly thy face, and I have found thee.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 16] I have decked my bed with tapestry coverlets of variegated linen from Egypt;
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 17] I have perfumed my couch with myrrh, aloes, and cinnamon.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 18] Come, let us revel in love until the morning, let us delight ourselves with loves.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 19] For the husband is not at home, he is gone a long journey;
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 20] he hath taken the money-bag with him, he will come home on the day of the full moon.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 21] With her much enticement she beguiled him; with the smoothness of her lips she constrained him.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 22] He went after her straightway, as an ox goeth to the slaughter, and as stocks [serve] for the correction of the fool;
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 23] till an arrow strike through his liver: as a bird hasteth to the snare, and knoweth not that it is for its life.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 24] And now, ye sons, hearken unto me, and attend to the words of my mouth.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 25] Let not thy heart decline to her ways, go not astray in her paths:
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 26] for she hath cast down many wounded, and all slain by her were strong.
[DARBY | EN | OT | Proverbs | Chapter 7 | Verse 27] Her house is the way to Sheol, going down to the chambers of death.
